% Model,Parametric search.mph
% Version,COMSOL 6.0.0.318
% Date,"Jan 9 2024, 16:10"
% Table,Table 1 - Global Evaluation 1
% Time (s),fsens_KH,fsens_Kd,fsens_Ke,fsens_Kp,fsens_Kph,fsens_KqH,fsens_Kr,fsens_KrD,fsens_Ks
0,5.1199999835212233E-42,-1.151999996553589E-45,-3.999999994399986E-8,2.04595096679381E-62,1.1999999983999924E-16,3.8399964010527824E-53,5.119999977948082E-62,-1.0239999952870245E-61,3.8399999804919725E-53
2.0000000000000002E-7,3.2122915861276643E-28,-6.425097611464811E-29,-2.0039983967915948E-5,2.061206709753986E-34,4.0080087919751575E-11,5.156117663901276E-28,5.1602415602832586E-37,-1.0320480401162318E-36,5.160238168278618E-28
4.0000000000000003E-7,2.1633867086645943E-27,-5.134639676349316E-28,-4.0039951935874325E-5,5.959988770938514E-33,1.2015998375927436E-10,1.4393121376872842E-26,1.4884059945385469E-35,-2.88100817108088E-35,1.440503543744375E-26
8.000000000000001E-7,1.5279192252581095E-26,-6.647078058772096E-27,-8.003985053847515E-5,5.557532101313492E-31,3.7365280191771243E-10,1.0276109126662266E-24,1.3902010037335372E-33,-2.0574447035127485E-33,1.028721876013467E-24
1.6000000000000001E-6,-4.870304881459725E-25,-1.629383380377214E-25,-1.6003944895614475E-4,1.6229592142800012E-28,1.3776058045996731E-9,1.854777753531072E-22,7.0744535641479265E-31,-3.7160542747632508E-31,1.8580235605875852E-22
3.2000000000000003E-6,-2.932042361105437E-22,-1.7248596797826796E-23,-3.2003790408725196E-4,4.2472314322067005E-25,5.239765728646335E-9,1.987718286049536E-19,3.263546695711297E-27,-3.9929187440734076E-28,1.9962334865294795E-19
6.4000000000000006E-6,-8.260403023218602E-20,-1.1269717410324818E-21,-6.40031742232984E-4,4.275780998354884E-22,2.0644393309617805E-8,9.976699769632596E-17,1.4449910500538505E-23,-2.0557792793664463E-25,1.0065031240174353E-16
9.600000000000001E-6,-1.0537675229918147E-18,-7.406191235752824E-21,-9.600214963408746E-4,6.309880158012839E-21,4.6259629827548836E-8,1.3406122086792085E-15,6.61256952231532E-22,-3.482031822429585E-24,1.3547565304290048E-15
1.6000000000000003E-5,-5.655132470904029E-17,-1.5214923323538602E-19,-0.0015999887356270555,1.2042349632986308E-18,1.2819855885300914E-7,1.391045805149636E-13,3.0982287743961425E-19,-3.176727379373508E-21,1.4282599162796E-13
2.1760000000000002E-5,-3.271153226551469E-16,-6.612115750013632E-19,-0.00217594531130303,8.659276446071462E-18,2.369498002254095E-7,9.180019779767813E-13,4.0409171256256284E-18,-8.548594825822826E-20,9.545790500791028E-13
2.752E-5,-1.2320498644682549E-15,-2.066598731010262E-18,-0.0027518888112936413,4.2145303723971565E-17,3.788712994884283E-7,4.0464569963664646E-12,2.907483782365286E-17,-1.0716303514925663E-18,4.287193589202462E-12
3.328E-5,-3.4600748001115636E-15,-5.270604160651316E-18,-0.0033278194749971394,1.5550657823205194E-16,5.539646327401894E-7,1.3435325519128247E-11,1.3667544411843928E-16,-7.656791596499043E-18,1.4579123127140217E-11
3.833330049933728E-5,-7.121382589498462E-15,-1.0544176831671336E-17,-0.003833078370628346,4.0061828194121467E-16,7.348922645434842E-7,3.1771208268491844E-11,3.9952534583402226E-16,-2.8996429203005783E-17,3.525190547042098E-11
4.288127094874083E-5,-1.2251014139198229E-14,-1.8295146486319618E-17,-0.004287803349031811,8.432113034019096E-16,9.195561567696539E-7,6.192611342350896E-11,9.053102169730004E-16,-8.00608260660756E-17,7.022844133678989E-11
4.697444435320403E-5,-1.861536121661833E-14,-2.8663275744333746E-17,-0.004697049490979657,1.538521320375328E-15,1.1034348558317014E-6,1.0536964418278E-10,1.7206082931355632E-15,-1.7802707628914985E-16,1.2203965826548664E-10
5.106761775766722E-5,-2.676216376957103E-14,-4.333344023927192E-17,-0.00510628976409366,2.6699966466514344E-15,1.3040638431045996E-6,1.700528210232627E-10,3.0446104685532637E-15,-3.6410418896537305E-16,2.0148746298463797E-10
5.516079116213042E-5,-3.669100649805403E-14,-6.350027821742776E-17,-0.005515524268782286,4.430502900286654E-15,1.5214428160297243E-6,2.6193481453401575E-10,5.053459798653686E-15,-6.889197102785081E-16,3.17869861196826E-10
5.9253964566593614E-5,-4.831163936756111E-14,-9.05250651837995E-17,-0.005924753078689416,7.061813022985992E-15,1.7555714720275686E-6,3.8722732556073813E-10,7.927225473137466E-15,-1.214942995455185E-15,4.816395208194965E-10
6.334713797105681E-5,-6.150415679460308E-14,-1.2564395106135578E-16,-0.0063339762365723805,1.0798682246354572E-14,2.0064495633896693E-6,5.510793486661538E-10,1.1808502249487137E-14,-1.9999082709516953E-15,7.020587260105702E-10
6.744031137552E-5,-7.608212714696708E-14,-1.7060907331026188E-16,-0.006743193781670396,1.5990474809050702E-14,2.274076767092038E-6,7.601536880708259E-10,1.687067820272277E-14,-3.123654229531121E-15,9.91851810634161E-10
7.15334847799832E-5,-9.183761490770707E-14,-2.273779675871247E-16,-0.007152405735871624,2.3048082177853748E-14,2.5584527570846586E-6,1.0210026055374592E-9,2.3267515512792844E-14,-4.669462127298101E-15,1.3645680833795106E-9
7.56266581844464E-5,-1.0857020459967019E-13,-2.98043345073039E-16,-0.007561612106632747,3.242990552215042E-14,2.8595772190733524E-6,1.3396527591098477E-9,3.112138043612648E-14,-6.716361029589491E-15,1.83384297134679E-9
7.971983158890959E-5,-1.2610165773874538E-13,-3.8484241368166252E-16,-0.007970812893500358,4.4640293395440375E-14,3.1774498468865187E-6,1.7216231894551215E-9,4.0526407991603884E-14,-9.336162860592178E-15,2.4133288126397317E-9
8.56711722698621E-5,-1.5270701822284041E-13,-5.447751197547074E-16,-0.008565767528840192,6.85717873933603E-14,3.6695042919738873E-6,2.4004722216238143E-9,5.711841696113771E-14,-1.429717754176734E-14,3.4807097596559485E-9
9.162251295081461E-5,-1.803071590237008E-13,-7.519214590675465E-16,-0.009160710337722875,1.0149996031891076E-13,4.196963144515593E-6,3.238408236495395E-9,7.730411855015191E-14,-2.07668646244711E-14,4.85254706820045E-9
9.757385363176712E-5,-2.0862762875717352E-13,-1.0150977956449035E-15,-0.009755641305611793,1.4546149534765333E-13,4.759825477472783E-6,4.248523170588585E-9,1.0118954969562954E-13,-2.8871439582607504E-14,6.571515652423964E-9
1.0352519431271962E-4,-2.374661868000483E-13,-1.3438996754390755E-15,-0.01035056042153617,2.0265293686180694E-13,5.358090362316468E-6,5.442943822433117E-9,1.288503866149322E-13,-3.8706077353966614E-14,8.68044101585711E-9
1.0947653499367213E-4,-2.6667041746827895E-13,-1.7486941693786342E-15,-0.010945467676245072,2.7541636088488666E-13,5.9917568704917835E-6,6.833025483883452E-9,1.6034264551278183E-13,-5.0342314612999156E-14,1.122224715877563E-8
1.1542787567462464E-4,-2.9612485410258226E-13,-2.2406225853868373E-15,-0.011540363060846683,3.662307276885802E-13,6.660824074456413E-6,8.429461384069645E-9,1.9570725665017564E-13,-6.383408263596264E-14,1.42399339905951E-8
1.2137921635557715E-4,-3.2574385107600656E-13,-2.8316054341755223E-15,-0.012135246566925979,4.777046294783835E-13,7.365291047618069E-6,1.024236815847465E-8,2.34973480527084E-13,-7.922188402847023E-14,1.777656332486503E-8
1.3328189771748218E-4,-3.852483680775167E-13,-4.362322094086847E-15,-0.013324977915086541,7.736750398068991E-13,8.880420596544404E-6,1.4555726968512191E-8,3.252900621889395E-13,-1.157960180662971E-13,2.657921315543626E-8
1.451845790793872E-4,-4.4487388322496235E-13,-6.451867390953554E-15,-0.014514661671884135,1.1865533589965758E-12,1.0537138109562597E-5,1.9845832284844565E-8,4.3141072710790964E-13,-1.6022479115697643E-13,3.797597337072726E-8
1.5580521696541318E-4,-4.980449820289025E-13,-8.88844936275147E-15,-0.015576163815669026,1.673938989287975E-12,1.213493728276509E-5,2.5446561819742295E-8,5.395149207325693E-13,-2.0657689635709054E-13,5.061773277244419E-8
1.6642585485143917E-4,-5.511195643276501E-13,-1.1964467912900648E-14,-0.016637628013831632,2.2931084596692252E-12,1.3845454878664148E-5,3.192609629668238E-8,6.603222376610348E-13,-2.5929945196068276E-13,6.584903528934431E-8
1.7704649273746515E-4,-6.040641053623081E-13,-1.5784228545080724E-14,-0.0176990542426494,3.063928604437944E-12,1.5668685628330355E-5,3.9329319427941725E-8,7.938735681219382E-13,-3.184223230705322E-13,8.391883992960195E-8
1.8766713062349114E-4,-6.568656522855371E-13,-2.046009601264901E-14,-0.01876044248037396,4.007259079726633E-12,1.7604624260537173E-5,4.769964593560056E-8,9.402055057069163E-13,-3.8396851966188835E-13,1.0507724433736385E-7
1.9828776850951713E-4,-7.095203566095278E-13,-2.6113631800158515E-14,-0.019821792706994492,5.145061813143109E-12,1.96532655003731E-5,5.7079197315906706E-8,1.0993541843154804E-12,-4.559577780051089E-13,1.2957574232509478E-7
2.0E-4,-7.179951659632364E-13,-2.712523777211621E-14,-0.01999289725810403,5.3482315187060754E-12,1.999409117177118E-5,5.868860191251145E-8,1.1262138617555341E-12,-4.681680942856617E-13,1.3385500394290465E-7
