% Model,Parametric search.mph
% Version,COMSOL 6.0.0.318
% Date,"Jan 9 2024, 16:12"
% Table,Table 1 - Global Evaluation 1
% Time (s),fsens_KH,fsens_Kd,fsens_Ke,fsens_Kp,fsens_Kph,fsens_KqH,fsens_Kr,fsens_KrD,fsens_Ks
0,1.228799995715286E-42,3.6863999863962813E-56,1.4335999945765549E-37,-1.2799999951353485E-46,-3.276799987125498E-46,2.457597858137327E-63,6.3999999782380225E-43,-1.2287999939294248E-62,-1.2799999946233435E-43
2.0000000000000002E-7,2.059287156774248E-28,2.058604774238816E-36,4.1176279817313355E-23,-2.580121175594734E-24,-4.019982312346013E-29,3.304040854999388E-35,1.2900610958751109E-23,-1.6533416368306558E-37,-2.5801206585334707E-21
4.0000000000000003E-7,4.1188875739845357E-22,1.030302022425892E-29,8.238348528664888E-17,-6.944514321039783E-23,-2.060063301997108E-22,4.953751794254936E-28,3.3432524444521475E-22,-2.3960360784872905E-30,-6.944511567264251E-20
8.000000000000001E-7,2.6120835836184495E-20,1.2041575044706291E-27,5.225253455089602E-15,-3.785690354460281E-21,-2.0859077431897295E-20,3.6630570252335514E-25,1.3849119300830126E-20,-1.3538717787835251E-27,-3.785687178939357E-18
1.6000000000000001E-6,1.918274514255492E-18,2.255709304827716E-25,3.8392946949392724E-13,-4.2385846387934476E-19,-2.794762459875662E-18,5.230582117780218E-22,9.639438663448297E-19,-1.1958649398128896E-24,-4.238575267999187E-16
3.2000000000000003E-6,2.8941322229346755E-16,1.4069017563569661E-22,5.804083403647519E-11,-1.8693798345242838E-16,-7.583885662367345E-16,3.0188664360843397E-18,1.7476322692023904E-16,-2.8779606701731083E-21,-1.869358765888425E-13
6.4000000000000006E-6,3.894648882660206E-14,8.49379363605598E-20,7.879746278942923E-9,-4.708040302765723E-14,-2.0810864865734444E-13,1.4184620793709529E-14,2.1954553240947193E-14,-6.753143358265851E-18,-4.707301030416032E-11
9.600000000000001E-6,4.454190854016465E-13,1.8717082981607895E-18,9.116171711423463E-8,-5.728918718327838E-13,-3.4996573824514976E-12,7.107948837856756E-13,2.388464042477241E-13,-3.016774274137815E-16,-5.725311885313418E-10
1.6000000000000003E-5,1.304275798622966E-11,1.6656687940588741E-16,2.776454675064549E-6,-3.336297468116523E-11,-1.8038656863017733E-10,3.087140444726664E-10,7.56760684326335E-12,-7.29766353649625E-14,-3.32081167486771E-8
2.1760000000000002E-5,6.6494633432525E-11,1.4534537207663643E-15,1.4675706805176608E-5,-2.0420567735683837E-10,-1.2354747920229414E-9,4.5232826007210344E-9,4.0819781368298236E-11,-9.532226501453267E-13,-2.0194051971268076E-7
2.752E-5,2.1452449188940686E-10,7.234128748408422E-15,4.926408575581758E-5,-8.316495640035859E-10,-5.062702298217904E-9,3.347883778453254E-8,1.4239629634619522E-10,-6.245753871973783E-12,-8.148972267030684E-7
3.328E-5,5.079928842815991E-10,2.520209523276513E-14,1.2187175562720676E-4,-2.5552378361637897E-9,-1.4808932750228781E-8,1.5891352133102505E-7,3.686703951412739E-10,-2.6069042431543256E-11,-2.475764913289496E-6
3.833330049933728E-5,8.989168080419337E-10,6.036792012163211E-14,2.2457113413408623E-4,-5.692443507959087E-9,-3.09686336592888E-8,4.6582743223501965E-7,7.079540429587698E-10,-6.884969999215737E-11,-5.45957876711096E-6
4.288127094874083E-5,1.3425672332372291E-9,1.1719814394664044E-13,3.489166997273819E-4,-1.054539404248411E-8,-5.3482012846430104E-8,1.0518098062607843E-6,1.1435992280646173E-9,-1.4132223322757447E-10,-1.0019798656555998E-5
4.697444435320403E-5,1.7895753991051396E-9,1.9681587672674226E-13,4.832088430760782E-4,-1.7165715113490842E-8,-8.107322394285759E-8,1.9832724644201137E-6,1.6420706756448058E-9,-2.4408907337389474E-10,-1.617502364769835E-5
5.106761775766722E-5,2.250979654281708E-9,3.112557471799852E-13,6.331617723389127E-4,-2.6508014720241154E-8,-1.1589221186633413E-7,3.4676105352223697E-6,2.2324672845605277E-9,-3.8947536320562886E-10,-2.4776574827837868E-5
5.516079116213042E-5,2.7004950583184343E-9,4.677570771681564E-13,7.93105263605024E-4,-3.9091933294428956E-8,-1.5780991118829784E-7,5.673016978132077E-6,2.900986633596639E-9,-5.804919729040208E-10,-3.626060650992519E-5
5.9253964566593614E-5,3.118783005908995E-9,6.733986901844964E-13,9.581305808960835E-4,-5.53818463499466E-8,-2.06508688684568E-7,8.762331512251849E-6,3.632432635402439E-9,-8.167069552300292E-10,-5.101094365206142E-5
6.334713797105681E-5,3.4959393370996944E-9,9.338515618222563E-13,0.0011251211563758797,-7.57098616929696E-8,-2.616726990694514E-7,1.2857675338333176E-5,4.414816537500206E-9,-1.095574574457555E-9,-6.929954965085839E-5
6.744031137552E-5,3.824991635717475E-9,1.2565421821026316E-12,0.0012911399475071402,-1.0045113761383503E-7,-3.22931863582019E-7,1.8102252874777034E-5,5.234439140606888E-9,-1.4122857895383666E-9,-9.14314111191778E-5
7.15334847799832E-5,4.105186143972215E-9,1.6491345241656097E-12,0.0014545446798309462,-1.2991001995229907E-7,-3.9001129739990874E-7,2.4617966784273468E-5,6.08041951728682E-9,-1.7608972917809731E-9,-1.1765168503322005E-4
7.56266581844464E-5,4.340329136331193E-9,2.1192850181441574E-12,0.001614829926506949,-1.6430775533835242E-7,-4.6276411422746E-7,3.249775990779736E-5,6.945287747926142E-9,-2.1354247141259762E-9,-1.4813718527626615E-4
7.971983158890959E-5,4.5362412004688534E-9,2.674743634084387E-12,0.0017721335922293159,-2.0380258701181351E-7,-5.411453281236624E-7,4.180991793869537E-5,7.824125444325816E-9,-2.530523186651491E-9,-1.830143076402111E-4
8.56711722698621E-5,4.7630033806488015E-9,3.6509152953441324E-12,0.001996206961946347,-2.705645286493398E-7,-6.651793492174751E-7,5.80085736415302E-5,9.11976288806228E-9,-3.1326728509086775E-9,-2.4175701891955505E-4
9.162251295081461E-5,4.9363544363483485E-9,4.849379500048439E-12,0.002216169002418819,-3.48600134476824E-7,-8.013334807666934E-7,7.744084960485514E-5,1.0431235257153758E-8,-3.758544245352051E-9,-3.1019313795773763E-4
9.757385363176712E-5,5.069823599641205E-9,6.296002253044813E-12,0.002433279569782092,-4.380706584793589E-7,-9.498502850149063E-7,1.0015701877569355E-4,1.1754568540320796E-8,-4.401046238864384E-9,-3.8846812208694634E-4
1.0352519431271962E-4,5.173203480678555E-9,8.017270575261999E-12,0.00264837918708263,-5.390936112228054E-7,-1.110955451987574E-6,1.2617842669692043E-4,1.3086714954458645E-8,-5.055385886785537E-9,-4.766986983635847E-4
1.0947653499367213E-4,5.253834012498032E-9,1.0040248731205996E-11,0.0028620718863110444,-6.517551773545958E-7,-1.2848608341102343E-6,1.555075556605217E-4,1.4425386118697694E-8,-5.71820248615535E-9,-5.749801022292345E-4
1.1542787567462464E-4,5.317514845089518E-9,1.2392568438372319E-11,0.0030748701752742937,-7.761147171873326E-7,-1.4717776923213431E-6,1.8813297839205862E-4,1.5769088244481616E-8,-6.387101558527498E-9,-6.833880102335095E-4
1.2137921635557715E-4,5.368792826879371E-9,1.510238280957212E-11,0.0032872088909245466,-9.122111006197471E-7,-1.6719139667209687E-6,2.2403247735953513E-4,1.7116932100026513E-8,-7.060425202161003E-9,-8.019832403632484E-4
1.3328189771748218E-4,5.446568380270633E-9,2.1709314705726287E-11,0.003711694513710001,-1.219709909365233E-6,-2.112597224633513E-6,3.0552663347669013E-4,1.9822931173309902E-8,-8.416403552072816E-9,-0.0010699388678695404
1.451845790793872E-4,5.504684412940614E-9,3.009472202928237E-11,0.004137189327673338,-1.5743805439682323E-6,-2.608265803607869E-6,3.9969579646028215E-4,2.2540614669514782E-8,-9.781063409506787E-9,-0.0013792121259153746
1.5580521696541318E-4,5.547395153019345E-9,3.927361359112088E-11,0.004518301446593155,-1.930744698163811E-6,-3.097881184947237E-6,4.941612454754089E-4,2.4973763358318385E-8,-1.1003965620539091E-8,-0.001690329989686837
1.6642585485143917E-4,5.5851510011685665E-9,5.0234602724519005E-11,0.004901054815450636,-2.3247781533000966E-6,-3.6328896411357747E-6,5.982325849949572E-4,2.7413757436874877E-8,-1.2230809922766429E-8,-0.002034834046296274
1.7704649273746515E-4,5.620209797426467E-9,6.315679824830147E-11,0.005285680234925537,-2.7565069273056413E-6,-4.213981148774393E-6,7.116786530771283E-4,2.986046973835239E-8,-1.3461169938504275E-8,-0.0024129293637014135
1.8766713062349114E-4,5.6536660501344565E-9,7.822288076261006E-11,0.005672277723465603,-3.2259542633679595E-6,-4.841776495779641E-6,8.342678791160613E-4,3.231382578344894E-8,-1.4694889377555723E-8,-0.002824818012648806
1.9828776850951713E-4,5.685904887974442E-9,9.561979719907728E-11,0.006060841144831187,-3.7331478826985563E-6,-5.5168355511776204E-6,9.65775854845856E-4,3.477358238046131E-8,-1.593185158561577E-8,-0.0032707023642051577
2.0E-4,5.691012894081952E-9,9.865549397157309E-11,0.006123668222171641,-3.818451521540384E-6,-5.630128107252891E-6,9.877975443877266E-4,3.5170721199182595E-8,-1.6131564504229633E-8,-0.0033457822535491503
