% Model,Parametric search.mph
% Version,COMSOL 6.0.0.318
% Date,"Jan 9 2024, 16:13"
% Table,Table 1 - Global Evaluation 1
% Time (s),fsens_KH,fsens_Kd,fsens_Ke,fsens_Kp,fsens_Kph,fsens_KqH,fsens_Kr,fsens_KrD,fsens_Ks
0,1.2287994231362833E-42,8.601598789226522E-69,1.4335993402005471E-37,1.279999227903761E-46,-3.2767980034966846E-46,-1.2799987162123654E-43,1.9199988467200452E-55,-2.8671985442487943E-75,-3.8399976903673096E-56
2.0000000000000002E-7,2.058464801821302E-28,4.775052701096912E-46,4.115993972161472E-23,2.5790905716210906E-24,9.92069335073387E-28,-2.5780603798224194E-21,2.5789252876120556E-33,-3.3051492159589986E-47,-5.157847510213116E-31
4.0000000000000003E-7,4.117243252716712E-22,-6.345181300697303E-38,8.235059657766104E-17,6.941637384666379E-23,-2.0586962260749865E-22,-6.938760462157395E-20,-2.3256626993590987E-30,1.4909616313087396E-38,4.811872763058172E-28
8.000000000000001E-7,2.6106714941658644E-20,-1.1420415263105985E-34,5.222428695570111E-15,3.783636077308128E-21,-2.084189665792429E-20,-3.7815803976182886E-18,-1.3493659743217253E-27,1.272458413339093E-34,3.654771102615623E-25
1.6000000000000001E-6,1.9165930205423865E-18,-2.7756719693349043E-31,3.83592931398907E-13,4.2348755535752915E-19,-2.7909738531167025E-18,-4.231154627302185E-16,-1.1943992929451713E-24,1.468618675989788E-30,5.233308176158653E-22
3.2000000000000003E-6,2.88795976114965E-16,-2.2676232775974823E-27,5.7917048355282184E-11,1.8653999610544232E-16,-7.55585292996487E-16,-1.8613642568716887E-13,-2.87165298454604E-21,4.615686747769519E-26,3.0250547242289307E-18
6.4000000000000006E-6,3.878059595557009E-14,-2.5516026338352417E-23,7.84618377389805E-9,4.688027756454179E-14,-2.0662909621271788E-13,-4.665234103820492E-11,-6.724457211961797E-18,2.0217362587862274E-21,1.4246635190065202E-14
9.600000000000001E-6,4.4331366510845444E-13,-2.272868716576881E-21,9.07313268748469E-8,5.702046069216009E-13,-3.473198234922164E-12,-5.660967717101157E-10,-3.0036360253922725E-16,3.6002157547709453E-19,7.147941674981906E-13
1.6000000000000003E-5,1.293141916062245E-11,-1.5592392771928191E-18,2.7527738070379853E-6,3.3085363460076575E-11,-1.7783363927717417E-10,-3.218450208986885E-8,-7.237616428558822E-14,6.776978368186639E-16,3.1279566680236366E-10
2.1760000000000002E-5,6.586368593168633E-11,-3.2356950310020645E-17,1.4537586672019479E-5,2.0240711635111273E-10,-1.2164194152813574E-9,-1.9137643909429696E-7,-9.457025495813444E-13,2.077489952810452E-14,4.6205340534981625E-9
2.752E-5,2.122170828114368E-10,-2.9681166038171094E-16,4.874239500412148E-5,8.239311814138265E-10,-4.9732881368445205E-9,-7.471176946012276E-7,-6.194737048306541E-12,2.4809922597559615E-13,3.4549294007977073E-8
3.328E-5,5.017468047021124E-10,-1.631514377320256E-15,1.204105550734996E-4,2.530506436585822E-9,-1.4506196648163793E-8,-2.1735488736632825E-6,-2.584634426437473E-11,1.6246700360085604E-12,1.6603595647186275E-7
3.833330049933728E-5,8.864959926630258E-10,-5.2313027708603324E-15,2.215785547043426E-4,5.635977833846342E-9,-3.025324773431592E-8,-4.59463790433045E-6,-6.824053580837242E-11,5.723079353724906E-12,4.920470153688189E-7
4.288127094874083E-5,1.3218856700148502E-9,-1.2617644748571944E-14,3.4379523507102464E-4,1.0439073670421064E-8,-5.2101401914965655E-8,-8.085131880692657E-6,-1.400263580333914E-10,1.4641104769961752E-11,1.1226353581310546E-6
4.697444435320403E-5,1.759076613258566E-9,-2.50247366116463E-14,4.754599459447202E-4,1.6990574245807383E-8,-7.875776222405781E-8,-1.2534964175537395E-5,-2.417655513998316E-10,3.009419070854036E-11,2.1375540064874966E-6
5.106761775766722E-5,2.2084285072392576E-9,-4.57572803526072E-14,6.220555819964865E-4,2.6234599028832645E-8,-1.1222508513659215E-7,-1.8398466590014312E-5,-3.856026205839128E-10,5.618400166926746E-11,3.7758730400915106E-6
5.516079116213042E-5,2.643835288173602E-9,-7.788603602130233E-14,7.778973702545109E-4,3.868451916650259E-8,-1.522827430450613E-7,-2.5771969063164255E-5,-5.74435137100547E-10,9.624809453579676E-11,6.242268586158021E-6
5.9253964566593614E-5,3.046225964145352E-9,-1.246588872379963E-13,9.380878825304591E-4,5.4798901304184855E-8,-1.9852553634686163E-7,-3.469409864206035E-5,-8.077411238802286E-10,1.5301787661320997E-10,9.742871255708568E-6
6.334713797105681E-5,3.40594037831083E-9,-1.887682096556105E-13,0.0010995308168701436,7.490561658364585E-8,-2.5056908818350034E-7,-4.516390417974474E-5,-1.0829205523393815E-9,2.2801352759922907E-10,1.443902053310409E-5
6.744031137552E-5,3.7163317948488695E-9,-2.7371772789481414E-13,0.0012593235887964449,9.937498423907049E-8,-3.079591768094575E-7,-5.715062761015829E-5,-1.395118599281275E-9,3.2231111069052575E-10,2.0527386211124877E-5
7.15334847799832E-5,3.976964420805739E-9,-3.83042563400152E-13,0.0014158643898393706,1.285076107741706E-7,-3.703431034144346E-7,-7.059261410523114E-5,-1.738380156332476E-9,4.3585425680239846E-10,2.818545494337464E-5
7.56266581844464E-5,4.191917186594451E-9,-5.20181028261704E-13,0.0015686869868003796,1.6252260362418048E-7,-4.3750571618291955E-7,-8.540924696028279E-5,-2.106744421253355E-9,5.675576835581729E-10,3.755993267826732E-5
7.971983158890959E-5,4.367228014224005E-9,-6.88555034762497E-13,0.0017179626588855483,2.0157764940560443E-7,-5.093403539548384E-7,-1.0151398447706657E-4,-2.4949168672545874E-9,7.156815049304153E-10,4.877023975317717E-5
8.56711722698621E-5,4.563647999386899E-9,-9.963118437199368E-13,0.0019294087235986453,2.676001276642192E-7,-6.220294358964645E-7,-1.2705791714887345E-4,-3.0857703461056795E-9,9.563126044372282E-10,6.854803390403977E-5
9.162251295081461E-5,4.7065007751261265E-9,-1.3886815278689776E-12,0.0021356603991440123,3.447844649206869E-7,-7.445214421061833E-7,-1.5491607471334673E-4,-3.6991085096866175E-9,1.2211076376101006E-9,9.26538283332184E-5
9.757385363176712E-5,4.8095270020749796E-9,-1.8773645689937016E-12,0.0023380095383121486,4.3330312085061175E-7,-8.768900670977826E-7,-1.8489721153062378E-4,-4.32807568624401E-9,1.5043547842143077E-9,1.2126442316580902E-4
1.0352519431271962E-4,4.882649235079153E-9,-2.4745719196749435E-12,0.0025373149844541984,5.332875838747298E-7,-1.0191924334905582E-6,-2.168503926926457E-4,-4.968084681670445E-9,1.8015358870759166E-9,1.5451655692825508E-4
1.0947653499367213E-4,4.933294724185988E-9,-3.1929511375408484E-12,0.0027341938146468996,6.448400636953175E-7,-1.1714736159943055E-6,-2.506525234201255E-4,-5.615948485524665E-9,2.109214529178391E-9,1.9251882960625801E-4
1.1542787567462464E-4,4.967320548725996E-9,-4.045540698640463E-12,0.0029291691625733906,7.68037627786545E-7,-1.333781021398935E-6,-2.8619909224469864E-4,-6.269421436891754E-9,2.42475651929027E-9,2.3535835103318296E-4
1.2137921635557715E-4,4.9893026149894595E-9,-5.0457392940240844E-12,0.0031226836232581233,9.029381569104861E-7,-1.5061611361173784E-6,-3.2340158374859315E-4,-6.926973439786649E-9,2.7461319751562822E-9,2.831049544621514E-4
1.3328189771748218E-4,5.009574304220382E-9,-7.544109939455063E-12,0.003506535066490917,1.2080234253631036E-6,-1.881252442377721E-6,-4.0250017693933056E-4,-8.250769955522934E-9,3.4008229222215516E-9,3.9353167051217836E-4
1.451845790793872E-4,5.011524765148077E-9,-1.0800963556796387E-11,0.003887429855403057,1.56038745756232E-6,-2.296835996774184E-6,-4.875141474675641E-4,-9.582869715177195E-9,4.065330333112493E-9,5.241381136148319E-4
1.5580521696541318E-4,5.005114826945293E-9,-1.4442161234583715E-11,0.004225413974355751,1.914916756608369E-6,-2.701743319752922E-6,-5.681185602667029E-4,-1.0776674512849023E-8,4.663194789183955E-9,6.57920276098844E-4
1.6642585485143917E-4,4.994601742384898E-9,-1.886518406884845E-11,0.0045619241378845815,2.307446475201955E-6,-3.138651886221385E-6,-6.530202044311563E-4,-1.1974513257304098E-8,5.264318537673753E-9,8.081210395459854E-4
1.7704649273746515E-4,4.982168350887311E-9,-2.415732575820521E-11,0.0048972200774590234,2.73811703530675E-6,-3.607410007204697E-6,-7.420722663549662E-4,-1.3176047348673382E-8,5.867937995867774E-9,9.748693956024159E-4
1.8766713062349114E-4,4.96882649455505E-9,-3.0407725546627755E-11,0.005231427337982686,3.2070626567003347E-6,-4.107811427376187E-6,-8.351610095082825E-4,-1.4381165829988981E-8,6.47363592578564E-9,0.001158274988744588
1.9828776850951713E-4,4.954895955610223E-9,-3.7707525986827296E-11,0.005564566717728296,3.7144182137070856E-6,-4.639608624228867E-6,-9.321923065222344E-4,-1.558976271927673E-8,7.08120829326559E-9,0.0013584383418387457
2.0E-4,4.952616767413765E-9,-3.898886228073554E-11,0.0056181766256252616,3.7998172026779202E-6,-4.728266303022218E-6,-9.481979389938659E-4,-1.578492513477361E-8,7.179324336471657E-9,0.0013922836738869714
