,compound,x,T,D_comp,D_but
0,butanol,100,15,2.219e-06,2.219e-06
1,butanol,100,20,2.8710000000000005e-06,2.8710000000000005e-06
2,butanol,100,25,3.0200000000000003e-06,3.0200000000000003e-06
3,butanol,100,30,3.303e-06,3.303e-06
4,dmeg,0,15,7.83e-07,
5,dmeg,0,20,1.0680000000000002e-06,
6,dmeg,0,25,8.73e-07,
7,dmeg,0,30,1.002e-06,
8,dmeg,11,15,5.480000000000001e-07,7.310000000000001e-07
9,dmeg,11,20,8.33e-07,1.551e-06
10,dmeg,11,25,5.91e-07,7.56e-07
11,dmeg,11,30,9.210000000000001e-07,1.3250000000000002e-06
12,dmeg,22,15,8.53e-07,1.069e-06
13,dmeg,22,20,1.049e-06,1.072e-06
14,dmeg,22,25,9.87e-07,1.416e-06
15,dmeg,22,30,1.374e-06,1.908e-06
16,dmeg,35,15,5.53e-07,8.22e-07
17,dmeg,35,20,8.930000000000001e-07,1.1690000000000002e-06
18,dmeg,35,25,5.16e-07,9.96e-07
19,dmeg,35,30,1.0960000000000002e-06,1.465e-06
20,dmeg,39,15,9.120000000000001e-07,1.079e-06
21,dmeg,39,20,7.380000000000001e-07,1.061e-06
22,dmeg,39,25,5.7e-07,1.0900000000000002e-06
23,dmeg,39,30,1.012e-06,1.5700000000000002e-06
24,ocm,31,15,6.370000000000001e-07,1.42e-06
25,ocm,31,20,7.790000000000001e-07,1.8350000000000002e-06
26,ocm,31,25,7.4e-07,2.1640000000000004e-06
27,ocm,31,30,1.091e-06,1.947e-06
28,ocm,38,15,6.17e-07,1.5580000000000002e-06
29,ocm,38,20,7.510000000000001e-07,1.483e-06
30,ocm,38,25,6.92e-07,1.5670000000000002e-06
31,ocm,38,30,7.78e-07,1.606e-06
32,ocm,44,15,7.330000000000001e-07,1.352e-06
33,ocm,44,20,8.71e-07,2.1620000000000002e-06
34,ocm,44,25,7.22e-07,1.4790000000000002e-06
35,ocm,44,30,7.32e-07,1.376e-06
36,peta,0,15,2.579e-06,
37,peta,0,20,2.2830000000000004e-06,
38,peta,0,25,2.262e-06,
39,peta,0,30,2.5840000000000006e-06,
40,peta,19,15,2.296e-06,7.317e-06
41,peta,19,20,2.156e-06,5.453e-06
42,peta,19,25,1.886e-06,4.751000000000001e-06
43,peta,19,30,1.7590000000000002e-06,5.073e-06
44,peta,30,15,1.113e-06,3.1260000000000002e-06
45,peta,30,20,1.5550000000000001e-06,4.638e-06
46,peta,30,25,1.323e-06,3.344e-06
47,peta,30,30,1.1600000000000001e-06,3.910000000000001e-06
48,peta,41,15,8.550000000000002e-07,2.7300000000000005e-06
49,peta,41,20,1.3130000000000002e-06,3.920000000000001e-06
50,peta,41,25,1.244e-06,2.7060000000000004e-06
51,peta,41,30,1.024e-06,2.64e-06
52,peta,49,15,9.480000000000001e-07,2.17e-06
53,peta,49,20,1.1440000000000002e-06,2.803e-06
54,peta,49,25,1.3950000000000002e-06,3.7630000000000006e-06
55,peta,49,30,1.295e-06,3.221e-06
