time,Viscosity,Viscosity_verbose,Temperature,Temperature_verbose
0.0,3.64,OK_inner,13.4,OK_inner
1.0,3.64,OK_inner,13.4,OK
3.0,3.64,image_sweep_check,13.3,OK
4.0,3.64,OK_inner,13.3,image_sweep_check
5.0,3.64,OK_inner,13.3,OK
6.0,3.64,OK_inner,13.3,OK
7.0,3.64,OK,13.3,OK_inner
8.0,3.64,OK_inner,13.3,OK_inner
9.0,3.64,OK_inner,13.3,OK_inner
10.0,3.64,OK_inner,13.3,image_sweep_check
11.0,3.64,OK_inner,13.3,OK_inner
12.0,3.64,OK_inner,13.3,OK_inner
13.0,3.64,OK,13.3,OK_inner
14.0,3.64,OK_inner,13.3,OK_inner
16.0,3.64,image_sweep_check,13.3,image_sweep_check
17.0,3.64,OK_inner,13.3,image_sweep_check
18.0,3.64,OK_inner,13.3,OK_inner
19.0,3.64,OK_inner,13.3,OK_inner
20.0,3.64,OK_inner,13.2,OK_inner
21.0,3.64,OK,13.2,OK_inner
22.0,3.64,OK_inner,13.2,OK_inner
23.0,3.64,OK_inner,13.2,OK_inner
24.0,3.66,OK_inner,13.2,OK_inner
25.0,3.66,OK_inner,13.2,OK_inner
26.0,3.66,OK_inner,13.2,OK_inner
27.0,3.66,OK_inner,13.2,OK_inner
28.0,3.64,OK_inner,13.2,OK_inner
29.0,3.66,OK_inner,13.2,OK_inner
30.0,3.66,OK_inner,13.2,OK_inner
31.0,3.66,OK_inner,13.2,OK_inner
32.0,3.66,OK_inner,13.2,OK_inner
33.0,3.66,OK_inner,13.2,OK_inner
34.0,3.66,OK_inner,13.2,OK_inner
35.0,3.66,OK_inner,13.2,OK_inner
36.0,3.66,OK_inner,13.2,OK_inner
37.0,3.66,OK_inner,13.2,OK_inner
38.0,3.66,OK_inner,13.2,OK
39.0,3.66,OK_inner,13.2,OK_inner
40.0,3.66,OK_inner,13.2,OK_inner
41.0,3.66,OK_inner,13.2,OK_inner
42.0,3.66,OK_inner,13.2,OK_inner
43.0,3.66,OK_inner,13.2,OK_inner
44.0,3.66,OK_inner,13.2,OK_inner
45.0,3.66,OK_inner,13.2,OK_inner
