time,Viscosity,Viscosity_verbose,Temperature,Temperature_verbose
0.0,5.52,OK,14.0,OK
1.0,5.52,OK,14.0,OK
2.0,5.52,OK,14.0,OK
3.0,5.52,OK,14.0,OK
4.0,5.52,OK,14.0,OK
5.0,5.52,OK,14.0,OK
6.0,5.52,OK,14.0,OK
7.0,5.52,OK,14.0,OK
8.0,5.53,image_sweep_check,14.0,OK
9.0,5.53,OK_inner,14.0,OK
10.0,5.53,OK_inner,14.0,OK
11.0,5.53,OK_inner,14.0,OK
12.0,5.53,OK_inner,14.0,OK
13.0,5.53,image_sweep_check,14.0,OK
14.0,5.53,OK_inner,14.0,OK
15.0,5.53,OK_inner,14.0,OK
16.0,5.53,OK_inner,14.0,OK
17.0,5.53,OK_inner,13.9,OK
18.0,5.53,OK_inner,14.0,OK
19.0,5.53,OK_inner,14.0,OK
20.0,5.53,OK_inner,14.0,OK
21.0,5.53,OK_inner,14.0,OK
22.0,5.53,OK_inner,14.0,OK
23.0,5.53,OK_inner,14.0,OK
24.0,5.53,OK_inner,14.0,OK
25.0,5.55,image_sweep_check,14.0,OK
26.0,5.53,OK_inner,14.0,OK
27.0,5.53,OK_inner,13.9,OK
28.0,5.55,OK_inner,13.9,OK
29.0,5.53,OK_inner,13.9,OK
30.0,5.55,OK_inner,13.9,OK
31.0,5.53,OK_inner,13.9,OK
32.0,5.55,OK_inner,14.0,OK
33.0,5.55,OK_inner,14.0,OK
34.0,5.55,OK_inner,13.9,OK
35.0,5.55,OK_inner,13.9,OK
36.0,5.55,OK_inner,14.0,OK
37.0,5.53,OK_inner,14.0,OK
38.0,5.53,OK_inner,14.0,OK
39.0,5.53,OK_inner,14.0,OK
40.0,5.53,OK_inner,14.0,OK
41.0,5.53,OK_inner,14.1,OK_inner
42.0,5.53,OK,14.1,OK_inner
43.0,5.53,OK_inner,14.1,OK_inner
44.0,5.53,OK_inner,14.1,OK_inner
45.0,5.53,OK_inner,14.1,OK_inner
46.0,5.53,OK_inner,14.1,OK_inner
47.0,5.53,OK_inner,14.1,OK_inner
48.0,5.55,OK_inner,14.1,OK_inner
49.0,5.53,OK_inner,14.1,OK_inner
50.0,5.55,OK_inner,14.1,OK_inner
51.0,5.53,OK_inner,14.1,OK_inner
52.0,5.53,OK_inner,14.1,OK_inner
53.0,5.53,OK_inner,14.1,OK_inner
54.0,5.55,OK_inner,14.1,OK_inner
55.0,5.55,OK_inner,14.1,OK_inner
56.0,5.55,OK_inner,14.1,OK_inner
57.0,5.55,OK,14.1,OK_inner
58.0,5.55,OK,14.1,OK_inner
59.0,5.55,OK_inner,14.1,OK_inner
60.0,5.55,OK_inner,14.1,OK_inner
61.0,5.55,OK_inner,14.0,OK
62.0,5.55,OK,14.0,OK
63.0,5.55,OK_inner,14.0,OK
64.0,5.55,OK_inner,14.0,OK
65.0,5.55,OK_inner,14.0,OK
66.0,5.55,OK_inner,14.0,OK
67.0,5.55,OK_inner,14.0,OK
68.0,5.55,OK,14.0,OK
69.0,5.55,OK_inner,14.0,OK
70.0,5.55,OK_inner,14.0,OK
71.0,5.55,OK,14.0,OK
72.0,5.55,OK,14.0,OK
73.0,5.55,OK_inner,14.1,OK_inner
74.0,5.55,OK_inner,14.1,image_sweep_check
75.0,5.55,OK,14.1,OK_inner
76.0,5.55,OK,14.1,OK_inner
77.0,5.55,image_sweep_check,14.1,OK_inner
78.0,5.55,OK,14.1,OK_inner
79.0,5.55,OK_inner,14.1,OK_inner
80.0,5.55,OK_inner,14.1,OK_inner
88.0,5.53,image_sweep_check,14.3,OK
89.0,5.53,OK_inner,14.3,OK
91.0,5.53,image_sweep_check,14.3,OK
92.0,5.53,OK_inner,14.3,OK
93.0,5.53,OK_inner,14.3,OK
94.0,5.53,OK_inner,14.3,OK
95.0,5.53,image_sweep_check,14.3,OK
96.0,5.53,OK_inner,14.3,OK
97.0,5.53,OK_inner,14.3,OK
99.0,5.53,image_sweep_check,14.3,OK
116.0,5.53,image_sweep_check,14.2,OK
121.0,5.53,OK,14.3,OK
122.0,5.53,image_sweep_check,14.3,OK
124.0,5.53,image_sweep_check,14.3,OK
125.0,5.53,OK_inner,14.3,OK
126.0,5.53,image_sweep_check,14.4,OK
127.0,5.53,image_sweep_check,14.4,OK
128.0,5.53,image_sweep_check,14.4,OK
129.0,5.52,OK_inner,14.4,OK
130.0,5.52,OK,14.4,OK
131.0,5.52,OK,14.5,OK
132.0,5.52,OK,14.5,OK
133.0,5.52,OK,14.5,OK
134.0,5.52,OK,14.5,OK
135.0,5.52,OK,14.5,OK
136.0,5.52,OK,14.5,OK
137.0,5.52,OK,14.5,OK
138.0,5.52,OK,14.5,OK
139.0,5.52,OK,14.5,OK
140.0,5.52,OK,14.5,OK
141.0,5.52,OK,14.5,OK
142.0,5.52,OK,14.5,OK
143.0,5.52,OK,14.5,OK
144.0,5.52,OK,14.5,OK
145.0,5.52,OK,14.5,OK
146.0,5.52,OK,14.5,OK
147.0,5.52,OK,14.4,OK
148.0,5.52,OK,14.4,OK
149.0,5.52,OK,14.4,OK
150.0,5.52,OK,14.4,OK
151.0,5.52,OK,14.4,OK
152.0,5.52,OK,14.4,OK
153.0,5.52,OK,14.4,OK
154.0,5.52,OK,14.4,OK
155.0,5.52,OK,14.4,OK
156.0,5.52,OK,14.4,OK
157.0,5.52,OK,14.4,OK
158.0,5.52,OK,14.4,OK
159.0,5.52,OK,14.4,OK
160.0,5.52,OK,14.4,OK
161.0,5.52,OK,14.4,OK
162.0,5.52,OK,14.4,OK
163.0,5.52,OK,14.4,OK
164.0,5.52,OK,14.4,OK
165.0,5.52,OK,14.4,OK
166.0,5.52,OK,14.4,OK
167.0,5.52,OK,14.4,OK
168.0,5.52,OK,14.5,OK
169.0,5.52,OK,14.5,OK
170.0,5.52,OK,14.5,OK
171.0,5.52,OK,14.5,OK
172.0,5.52,OK,14.6,OK
173.0,5.52,OK,14.6,OK
174.0,5.52,OK,14.6,OK
175.0,5.5,OK_inner,14.6,OK
176.0,5.5,OK_inner,14.6,OK
177.0,5.5,OK_inner,14.6,OK
178.0,5.5,OK_inner,14.6,OK
179.0,5.5,OK_inner,14.6,OK
180.0,5.5,OK_inner,14.6,OK
181.0,5.5,OK_inner,14.6,OK
182.0,5.5,OK_inner,14.6,OK
183.0,5.5,OK_inner,14.6,OK
184.0,5.5,OK_inner,14.6,OK
185.0,5.5,OK_inner,14.6,OK
186.0,5.5,OK_inner,14.6,OK
187.0,5.5,OK_inner,14.6,OK
188.0,5.5,OK_inner,14.6,OK
189.0,5.5,OK_inner,14.6,OK
190.0,5.5,OK_inner,44.6,OK_inner
191.0,5.5,OK_inner,14.6,OK
192.0,5.5,OK_inner,44.6,OK_inner
193.0,5.5,OK_inner,14.6,OK
194.0,5.5,OK_inner,14.6,OK
195.0,5.5,OK_inner,14.6,OK
196.0,5.5,OK_inner,14.6,OK
197.0,5.5,OK_inner,14.6,OK
198.0,5.5,OK_inner,14.5,OK
199.0,5.5,OK_inner,14.5,OK
200.0,5.5,OK_inner,14.6,OK
201.0,5.5,OK_inner,14.6,OK
202.0,5.5,OK_inner,14.6,OK
203.0,5.5,OK_inner,14.6,OK
204.0,5.5,OK_inner,14.6,OK
205.0,5.5,OK_inner,14.5,OK
206.0,5.5,OK_inner,14.6,OK
207.0,5.5,OK_inner,14.6,OK
208.0,5.5,OK_inner,14.6,OK
209.0,5.5,OK_inner,14.6,OK
210.0,5.5,OK_inner,44.6,OK_inner
211.0,5.5,OK_inner,14.6,OK
212.0,5.5,OK_inner,14.6,OK
213.0,5.5,OK_inner,14.6,OK
214.0,5.5,OK_inner,14.6,OK
215.0,5.5,OK_inner,14.6,OK
216.0,5.5,OK_inner,14.6,OK
217.0,5.5,OK_inner,14.6,OK
218.0,5.5,OK_inner,14.6,OK
219.0,5.5,OK_inner,14.6,OK
220.0,5.5,OK_inner,14.7,OK
221.0,5.5,OK_inner,14.7,OK
222.0,5.5,OK_inner,14.7,OK
223.0,5.5,OK_inner,14.7,OK
224.0,5.5,OK_inner,14.7,OK
225.0,5.5,OK_inner,14.7,OK
226.0,5.5,OK_inner,14.7,OK
227.0,5.49,OK_inner,14.7,OK
228.0,5.49,OK_inner,14.7,OK
229.0,5.49,OK_inner,14.7,OK
230.0,5.49,OK_inner,14.7,OK
231.0,5.49,OK_inner,14.7,OK
232.0,5.49,OK_inner,14.7,OK
233.0,5.49,OK_inner,14.7,image_sweep_check
234.0,5.49,image_sweep_check,14.7,OK
235.0,5.49,OK_inner,14.7,OK
236.0,5.6,image_sweep_check,14.7,OK
237.0,5.5,image_sweep_check,14.7,OK
238.0,5.49,OK_inner,14.7,image_sweep_check
239.0,5.49,image_sweep_check,14.7,OK
241.0,5.49,image_sweep_check,14.7,OK
242.0,5.49,OK_inner,14.6,OK
243.0,5.49,OK_inner,14.6,OK
244.0,5.49,OK_inner,14.6,OK
245.0,5.49,OK_inner,14.6,OK
246.0,5.49,OK_inner,14.7,OK
247.0,5.49,OK_inner,14.7,OK
248.0,5.49,OK_inner,14.7,OK
249.0,5.49,OK_inner,14.6,OK
250.0,5.49,image_sweep_check,14.6,OK
251.0,5.49,OK_inner,14.7,OK
252.0,5.49,OK_inner,14.7,OK
253.0,5.49,OK_inner,14.7,OK
254.0,5.49,OK_inner,14.7,OK
255.0,5.49,OK_inner,14.7,OK
256.0,5.49,OK_inner,14.7,OK
257.0,5.49,OK_inner,14.7,OK
258.0,5.49,OK_inner,14.7,OK
259.0,5.49,OK_inner,14.7,OK
260.0,5.49,OK_inner,14.7,OK
261.0,5.49,OK_inner,14.7,OK
262.0,5.49,OK_inner,14.7,OK
263.0,5.49,OK_inner,14.7,OK
264.0,5.49,OK_inner,14.7,image_sweep_check
265.0,5.49,OK_inner,14.7,OK
266.0,5.49,image_sweep_check,14.8,OK
267.0,5.49,OK_inner,14.8,OK
268.0,5.49,image_sweep_check,14.8,OK
269.0,5.49,OK_inner,14.8,OK
270.0,5.49,OK_inner,14.8,OK
271.0,5.49,OK_inner,14.8,OK
272.0,5.49,OK_inner,14.8,OK
273.0,5.49,OK_inner,14.8,OK
274.0,5.49,OK_inner,14.8,OK
275.0,5.49,OK_inner,14.8,OK
276.0,5.49,OK_inner,14.8,OK
277.0,5.49,OK_inner,14.8,OK
278.0,5.49,OK_inner,14.8,OK
279.0,5.49,OK_inner,14.8,OK
280.0,5.47,OK_inner,14.8,OK
281.0,5.49,OK_inner,14.8,OK
282.0,5.47,OK_inner,14.8,OK
283.0,5.47,OK_inner,14.8,OK
284.0,5.49,OK_inner,14.8,OK
285.0,5.47,OK_inner,14.8,OK
286.0,5.49,OK_inner,14.8,OK
287.0,5.49,OK_inner,14.8,OK
288.0,5.49,OK_inner,14.8,OK
289.0,5.49,image_sweep_check,14.8,OK
290.0,5.49,OK_inner,14.8,OK
291.0,5.49,OK_inner,14.8,OK
292.0,5.47,OK_inner,14.8,OK
293.0,5.47,OK_inner,14.7,image_sweep_check
294.0,5.47,OK_inner,14.8,OK
295.0,5.47,OK_inner,14.7,OK
296.0,5.47,image_sweep_check,14.8,OK
297.0,5.47,OK_inner,14.8,OK
298.0,5.47,OK_inner,14.8,OK
299.0,5.47,OK_inner,14.8,OK
300.0,5.47,OK_inner,14.8,OK
301.0,5.47,OK_inner,14.8,OK
302.0,5.47,OK_inner,14.8,OK
303.0,5.47,OK_inner,14.8,OK
304.0,5.47,OK_inner,14.8,OK
305.0,5.49,image_sweep_check,14.8,OK
306.0,5.47,OK_inner,14.8,OK
307.0,5.47,OK,14.8,OK
308.0,5.47,OK_inner,14.8,OK
309.0,5.47,OK_inner,14.8,OK
310.0,5.47,OK_inner,14.8,OK
311.0,5.47,OK_inner,14.8,OK
312.0,5.47,OK_inner,14.8,OK
313.0,5.47,OK_inner,14.8,OK
314.0,5.47,OK_inner,14.8,OK
315.0,5.47,OK,14.8,OK
316.0,5.47,OK_inner,14.8,OK
317.0,5.47,OK_inner,14.8,OK
318.0,5.47,OK,14.8,OK
319.0,5.47,OK_inner,14.8,OK
320.0,5.47,OK_inner,14.8,OK
321.0,5.47,OK,14.8,OK
322.0,5.47,OK_inner,14.8,OK
323.0,5.47,OK,14.7,OK
324.0,5.47,OK,14.7,OK
325.0,5.47,OK_inner,14.7,OK_inner
326.0,5.47,OK_inner,14.7,OK
327.0,5.47,OK_inner,14.7,OK
328.0,5.47,OK_inner,14.7,OK
329.0,5.47,OK_inner,14.7,OK
330.0,5.47,OK_inner,14.7,OK
331.0,5.47,OK_inner,14.7,OK
332.0,5.47,OK_inner,14.7,OK
333.0,5.47,OK_inner,14.7,OK
334.0,5.47,OK,14.7,OK
335.0,5.47,OK_inner,14.7,OK
336.0,5.47,OK,14.7,OK
337.0,5.47,OK_inner,14.7,OK
338.0,5.47,OK_inner,14.7,OK
339.0,5.47,OK_inner,14.7,image_sweep_check
340.0,5.47,OK_inner,14.7,OK
341.0,5.47,OK_inner,14.7,OK
342.0,5.47,OK_inner,14.7,OK
343.0,5.47,OK_inner,14.7,OK
344.0,5.47,OK_inner,14.7,OK
345.0,5.47,OK,14.7,OK
346.0,5.47,OK_inner,14.7,OK
347.0,5.47,OK_inner,14.7,OK
348.0,5.47,OK_inner,14.7,OK
349.0,5.47,OK_inner,14.7,OK
350.0,5.47,OK_inner,14.7,OK
351.0,5.47,OK_inner,14.7,OK
352.0,5.47,OK_inner,14.7,OK
353.0,5.47,OK,14.7,OK
354.0,5.47,OK_inner,14.7,OK
355.0,5.47,OK_inner,14.7,OK
356.0,5.47,OK_inner,14.7,OK
357.0,5.47,OK_inner,14.7,OK
359.0,5.47,image_sweep_check,14.7,OK
360.0,5.47,OK_inner,14.7,OK
361.0,5.46,image_sweep_check,14.7,OK
362.0,5.47,OK_inner,14.7,OK
363.0,5.47,OK_inner,14.7,OK
364.0,5.47,OK_inner,14.7,image_sweep_check
365.0,5.47,OK_inner,14.7,OK
367.0,5.46,image_sweep_check,14.8,OK
368.0,5.46,OK_inner,14.7,OK
369.0,5.46,OK_inner,14.8,OK
370.0,5.46,OK_inner,14.8,OK
371.0,5.46,OK_inner,14.8,OK
372.0,5.46,OK_inner,14.8,OK
373.0,5.46,OK_inner,14.8,OK
374.0,5.46,OK_inner,14.8,OK
375.0,5.46,OK_inner,14.8,OK
376.0,5.46,OK_inner,14.8,OK
377.0,5.46,OK_inner,14.8,OK
378.0,5.46,OK_inner,14.8,OK
379.0,5.46,OK_inner,14.8,OK
380.0,5.46,OK_inner,14.8,OK
381.0,5.46,OK_inner,14.8,OK
382.0,5.46,OK_inner,14.7,OK
383.0,5.46,OK_inner,14.8,OK
384.0,5.46,OK_inner,14.8,OK
385.0,5.46,OK_inner,14.8,OK
386.0,5.46,OK_inner,14.8,OK
387.0,5.46,OK_inner,14.8,OK
388.0,5.46,OK_inner,14.8,OK
389.0,5.46,OK_inner,14.8,OK
390.0,5.46,OK_inner,14.8,OK
391.0,5.46,OK_inner,14.8,OK
392.0,5.46,OK_inner,14.8,OK
393.0,5.46,OK_inner,14.8,OK
394.0,5.46,OK_inner,14.8,OK
395.0,5.46,OK_inner,14.8,OK
396.0,5.46,OK_inner,14.8,OK
397.0,5.46,OK_inner,14.8,OK
398.0,5.46,OK_inner,14.8,OK
399.0,5.46,OK_inner,14.8,OK
400.0,5.46,OK_inner,14.8,OK
401.0,5.46,OK_inner,14.8,OK
402.0,5.46,OK_inner,14.8,OK
403.0,5.46,OK_inner,14.8,OK
404.0,5.46,OK_inner,14.8,OK
405.0,5.46,OK_inner,14.8,OK
406.0,5.46,OK_inner,14.8,OK
407.0,5.46,OK_inner,14.8,OK
408.0,5.46,OK_inner,14.8,OK
409.0,5.46,OK_inner,14.8,OK
410.0,5.46,OK_inner,14.8,OK
411.0,5.46,OK_inner,14.8,OK
412.0,5.46,OK_inner,14.8,OK
413.0,5.46,OK_inner,14.8,OK
414.0,5.46,OK_inner,14.8,OK
415.0,5.46,OK_inner,14.8,OK
416.0,5.46,OK_inner,14.8,OK
417.0,5.46,OK_inner,14.8,OK
418.0,5.46,OK_inner,14.8,OK
419.0,5.46,OK_inner,14.8,OK
420.0,5.46,OK_inner,14.8,OK
421.0,5.46,OK_inner,14.8,OK
422.0,5.46,OK_inner,14.8,OK
423.0,5.46,OK_inner,14.8,OK
424.0,5.46,OK_inner,14.8,OK
425.0,5.46,OK_inner,14.8,OK
426.0,5.46,OK_inner,14.8,OK
427.0,5.46,OK_inner,14.8,OK
428.0,5.46,image_sweep_check,14.8,OK
429.0,5.46,image_sweep_check,14.8,OK
430.0,5.46,image_sweep_check,14.8,OK
431.0,5.46,image_sweep_check,14.8,OK
432.0,5.46,OK_inner,14.8,OK
433.0,5.46,OK_inner,14.8,OK
434.0,5.46,OK_inner,14.8,OK
435.0,5.46,OK_inner,14.8,OK
436.0,5.46,OK_inner,14.8,OK
437.0,5.46,OK_inner,14.8,OK
438.0,5.46,OK_inner,14.8,OK
439.0,5.46,OK_inner,14.8,OK
440.0,5.46,OK_inner,14.8,OK
441.0,5.46,OK_inner,14.8,OK
442.0,5.46,OK_inner,14.8,OK
443.0,5.46,OK_inner,14.8,OK
444.0,5.46,OK_inner,14.8,OK
445.0,5.46,OK_inner,14.8,OK
446.0,5.46,OK_inner,14.8,OK
447.0,5.46,OK_inner,14.8,OK
448.0,5.46,OK_inner,14.8,OK
449.0,5.46,OK_inner,14.8,OK
450.0,5.46,OK_inner,14.8,OK
451.0,5.46,OK_inner,14.8,OK
452.0,5.46,OK_inner,14.8,OK
453.0,5.46,OK_inner,14.8,OK
454.0,5.46,OK_inner,14.8,OK
455.0,5.46,OK_inner,14.8,OK
456.0,5.46,OK_inner,14.8,OK
457.0,5.46,OK_inner,14.8,OK
458.0,5.46,OK_inner,14.8,OK
459.0,5.46,OK_inner,14.8,OK
460.0,5.46,OK_inner,14.8,OK
461.0,5.46,OK_inner,14.8,OK
462.0,5.46,OK_inner,14.8,OK
463.0,5.46,OK_inner,14.8,OK
464.0,5.46,OK_inner,14.8,OK
465.0,5.46,OK_inner,14.8,OK
466.0,5.46,OK_inner,14.8,OK
467.0,5.46,OK_inner,14.8,OK
468.0,5.46,OK_inner,14.8,OK
469.0,5.46,OK_inner,14.8,OK
470.0,5.46,OK_inner,14.8,OK
471.0,5.46,OK_inner,14.8,OK
472.0,5.44,OK_inner,14.8,OK
473.0,5.46,OK_inner,14.8,OK
474.0,5.46,OK_inner,14.8,OK
475.0,5.46,OK_inner,14.8,OK
476.0,5.46,OK_inner,14.8,OK
477.0,5.44,OK_inner,14.8,OK
478.0,5.44,OK_inner,14.8,OK
479.0,5.46,OK_inner,14.8,OK
480.0,5.46,OK_inner,14.8,OK
481.0,5.46,OK_inner,14.8,OK
482.0,5.46,OK_inner,14.8,OK
483.0,5.44,OK_inner,14.8,OK
484.0,5.44,OK_inner,14.8,OK
485.0,5.4,OK_inner,14.8,OK
486.0,5.44,OK_inner,14.8,OK
487.0,5.46,OK_inner,14.8,OK
488.0,5.46,OK_inner,14.8,OK
489.0,5.46,OK_inner,14.8,OK
490.0,5.46,OK_inner,14.8,OK
491.0,5.46,OK_inner,14.8,OK
492.0,5.44,OK_inner,14.8,OK
493.0,5.44,OK_inner,14.8,OK
494.0,5.44,OK_inner,14.8,OK
495.0,5.44,OK_inner,14.9,OK
496.0,5.44,image_sweep_check,14.9,OK
497.0,5.46,OK_inner,14.9,OK
498.0,5.44,OK_inner,14.8,OK
499.0,5.44,OK_inner,14.9,OK
500.0,5.44,OK_inner,14.9,OK
501.0,5.44,OK_inner,14.9,OK
502.0,5.44,OK_inner,14.9,OK
503.0,5.44,OK_inner,14.9,OK
504.0,5.44,OK_inner,14.9,OK
505.0,5.44,OK_inner,14.9,OK
506.0,5.44,OK_inner,14.9,OK
507.0,5.44,OK_inner,14.9,OK
508.0,5.44,OK_inner,14.9,OK
509.0,5.44,OK_inner,14.9,OK
510.0,5.44,OK_inner,14.9,OK
511.0,5.44,OK_inner,14.9,OK
512.0,5.44,OK_inner,14.9,OK
513.0,5.44,OK_inner,14.9,OK
514.0,5.44,OK_inner,14.9,OK
515.0,5.44,OK_inner,14.9,OK
516.0,5.44,OK_inner,14.9,OK
517.0,5.44,OK_inner,14.9,OK
518.0,5.44,OK_inner,14.9,OK
519.0,5.44,OK_inner,14.9,OK
520.0,5.44,OK_inner,14.9,OK
521.0,5.44,OK_inner,14.9,OK
522.0,5.44,OK_inner,14.9,OK
523.0,5.44,OK_inner,14.9,OK
524.0,5.44,OK_inner,14.9,OK
525.0,5.44,OK_inner,14.9,OK
526.0,5.44,OK_inner,14.9,OK
527.0,5.44,OK_inner,14.9,OK
528.0,5.44,OK_inner,14.9,OK
529.0,5.44,OK_inner,14.9,OK
530.0,5.44,OK_inner,14.9,OK
531.0,5.44,OK_inner,14.9,OK
532.0,5.44,OK_inner,14.9,OK
533.0,5.44,OK_inner,14.9,OK
534.0,5.44,OK_inner,14.9,OK
535.0,5.44,OK_inner,14.9,OK
536.0,5.44,OK_inner,14.9,OK
537.0,5.44,OK_inner,14.9,OK
538.0,5.44,OK_inner,14.9,OK
539.0,5.43,OK_inner,14.9,OK
540.0,5.44,OK_inner,14.9,OK
541.0,5.44,OK_inner,14.9,OK
542.0,5.44,OK_inner,14.9,OK
543.0,5.44,OK_inner,14.9,OK
544.0,5.44,OK_inner,14.9,OK
545.0,5.44,OK_inner,14.9,OK
546.0,5.44,OK_inner,14.9,OK
547.0,5.44,OK_inner,14.9,OK
548.0,5.44,OK_inner,14.9,OK
549.0,5.44,OK_inner,14.9,OK
550.0,5.44,OK_inner,14.9,OK
551.0,5.44,OK_inner,14.9,OK
552.0,5.43,OK_inner,14.9,OK
553.0,5.44,OK_inner,14.9,OK
554.0,5.43,OK_inner,14.9,OK
555.0,5.43,OK_inner,14.9,OK
556.0,5.43,OK_inner,15.0,OK
557.0,5.43,OK_inner,15.0,OK
558.0,5.43,OK_inner,15.0,OK
559.0,5.43,OK_inner,15.0,OK
560.0,5.43,OK_inner,15.0,OK
561.0,5.43,OK_inner,15.0,OK
562.0,5.43,OK_inner,15.0,OK
563.0,5.43,OK_inner,15.0,OK
564.0,5.43,OK_inner,15.0,OK
565.0,5.43,OK_inner,15.0,OK
566.0,5.43,OK_inner,15.0,OK
567.0,5.43,OK_inner,15.0,OK
568.0,5.43,OK_inner,15.0,OK
569.0,5.43,OK_inner,15.0,OK
570.0,5.43,OK_inner,15.0,OK
571.0,5.43,OK_inner,15.0,OK
572.0,5.43,OK_inner,15.0,OK
573.0,5.43,OK_inner,15.0,OK
574.0,5.43,OK_inner,15.0,OK
575.0,5.43,OK_inner,15.0,OK
576.0,5.43,OK_inner,15.0,OK
577.0,5.43,OK_inner,15.0,OK
578.0,5.43,OK_inner,15.0,OK
579.0,5.43,OK_inner,15.0,OK
580.0,5.43,OK_inner,15.0,OK
581.0,5.43,OK_inner,15.0,OK
582.0,5.43,OK_inner,15.0,OK
583.0,5.43,OK_inner,15.0,OK
584.0,5.43,OK_inner,15.0,OK
585.0,5.43,OK_inner,15.0,OK
586.0,5.43,OK_inner,15.0,OK
587.0,5.43,OK_inner,15.0,OK
588.0,5.43,OK_inner,15.0,OK
589.0,5.43,OK_inner,15.0,OK
