time,Viscosity,Viscosity_verbose,Temperature,Temperature_verbose
0.0,0.0,OK_inner,13.3,OK
1.0,0.0,OK_inner,13.3,OK
2.0,0.0,OK_inner,13.3,OK
3.0,0.0,OK_inner,13.3,OK
4.0,0.0,OK_inner,13.3,OK
5.0,0.0,OK_inner,13.3,OK
6.0,0.0,OK_inner,13.3,OK
7.0,0.0,OK_inner,13.3,OK
8.0,0.0,OK_inner,13.3,OK
9.0,0.0,OK_inner,13.3,OK
10.0,0.0,OK_inner,13.3,OK
11.0,0.0,OK_inner,13.3,OK
12.0,0.0,OK_inner,13.3,OK
13.0,0.0,OK_inner,13.3,OK
14.0,0.0,OK_inner,13.3,OK
15.0,0.0,OK_inner,13.2,OK
16.0,0.0,OK_inner,13.2,OK
17.0,0.0,OK_inner,13.2,OK
18.0,0.0,OK_inner,13.2,OK
19.0,0.0,OK_inner,13.2,OK
20.0,0.0,OK_inner,13.2,OK
21.0,0.0,OK_inner,13.2,OK
22.0,0.0,OK_inner,13.2,OK
23.0,0.0,OK_inner,13.2,OK
24.0,0.0,OK_inner,13.2,OK
25.0,0.0,OK_inner,13.2,OK
26.0,0.0,OK_inner,13.2,OK
27.0,0.0,OK_inner,13.2,OK
28.0,0.0,OK_inner,13.2,OK
29.0,0.0,OK_inner,13.3,OK
30.0,0.0,OK_inner,13.3,OK
31.0,0.0,OK_inner,13.3,OK
32.0,0.0,OK_inner,13.3,OK
33.0,0.0,OK_inner,13.4,OK
34.0,0.0,OK_inner,13.4,OK
35.0,0.0,OK_inner,13.4,OK
36.0,0.0,OK_inner,13.4,OK
37.0,0.0,OK_inner,13.4,OK
38.0,0.0,OK_inner,13.4,OK
39.0,0.0,OK_inner,13.4,OK
40.0,0.0,OK_inner,13.4,OK
41.0,0.0,OK_inner,13.4,OK
42.0,0.0,OK_inner,13.4,OK
43.0,0.0,OK_inner,13.4,OK
44.0,0.0,OK_inner,13.4,OK
45.0,0.0,OK_inner,13.4,OK
46.0,0.0,OK_inner,13.4,OK
47.0,0.0,OK_inner,13.4,OK
48.0,0.0,OK_inner,13.4,OK
49.0,0.0,OK_inner,13.4,OK
50.0,0.0,OK_inner,13.4,OK
51.0,0.0,OK_inner,13.4,OK
52.0,0.0,OK_inner,13.4,OK
53.0,0.0,OK_inner,13.4,OK
54.0,0.0,OK_inner,13.4,OK
55.0,0.0,OK_inner,13.4,OK
56.0,0.0,OK_inner,13.4,OK
57.0,0.0,OK_inner,13.4,OK
58.0,0.0,OK_inner,13.4,OK
59.0,0.0,OK_inner,13.4,OK
60.0,0.0,OK_inner,13.4,OK
61.0,0.0,OK_inner,13.4,OK
62.0,0.0,OK_inner,13.4,OK
63.0,0.0,OK_inner,13.4,OK
64.0,0.0,OK_inner,13.5,OK
65.0,0.0,OK_inner,13.5,OK
66.0,0.0,OK_inner,13.5,OK
67.0,0.0,OK_inner,13.6,OK
68.0,0.0,OK_inner,13.6,OK
69.0,0.0,OK_inner,13.6,OK
70.0,0.0,OK_inner,13.6,OK
71.0,0.0,OK_inner,13.6,OK
72.0,0.0,OK_inner,13.7,OK
