,compound,T,Nu,rho,w_mass,w_vol,w,V,ln_Nu,T_1,D,ln_D
0,butanol,286.15,3.72,0.82668,100.0,100.0,100.0,4.499927,0.570543,0.003495,76.922043,1.886051
1,butanol,286.35,3.7,0.82668,100.0,100.0,100.0,4.475734,0.568202,0.003492,77.391892,1.888695
2,butanol,286.45,3.7,0.82668,100.0,100.0,100.0,4.475734,0.568202,0.003491,77.418919,1.888847
3,butanol,286.55,3.7,0.82668,100.0,100.0,100.0,4.475734,0.568202,0.00349,77.445946,1.888999
4,butanol,286.65,3.6975,0.82668,100.0,100.0,100.0,4.47271,0.567908,0.003489,77.525355,1.889444
5,butanol,286.75,3.698947,0.82668,100.0,100.0,100.0,4.474461,0.568078,0.003487,77.522055,1.889425
6,butanol,286.85,3.693571,0.82668,100.0,100.0,100.0,4.467958,0.567446,0.003486,77.661961,1.890208
7,butanol,286.95,3.69,0.82668,100.0,100.0,100.0,4.463638,0.567026,0.003485,77.764228,1.89078
8,butanol,287.05,3.69,0.82668,100.0,100.0,100.0,4.463638,0.567026,0.003484,77.791328,1.890931
9,butanol,287.15,3.67,0.82668,100.0,100.0,100.0,4.439445,0.564666,0.003483,78.242507,1.893443
10,butanol,287.25,3.67,0.82668,100.0,100.0,100.0,4.439445,0.564666,0.003481,78.269755,1.893594
11,butanol,287.35,3.67,0.82668,100.0,100.0,100.0,4.439445,0.564666,0.00348,78.297003,1.893745
12,butanol,287.45,3.664,0.82668,100.0,100.0,100.0,4.432187,0.563955,0.003479,78.452511,1.894607
13,butanol,287.55,3.660435,0.82668,100.0,100.0,100.0,4.427874,0.563533,0.003478,78.556242,1.895181
14,butanol,287.65,3.66,0.82668,100.0,100.0,100.0,4.427348,0.563481,0.003476,78.592896,1.895383
15,butanol,287.75,3.644324,0.82668,100.0,100.0,100.0,4.408386,0.561616,0.003475,78.958395,1.897398
16,butanol,287.85,3.6325,0.82668,100.0,100.0,100.0,4.394082,0.560205,0.003474,79.242946,1.898961
17,butanol,287.95,3.631071,0.82668,100.0,100.0,100.0,4.392354,0.560034,0.003473,79.301662,1.899282
18,butanol,288.05,3.606827,0.82668,100.0,100.0,100.0,4.363027,0.557125,0.003472,79.86244,1.902343
19,butanol,288.15,3.6,0.82668,100.0,100.0,100.0,4.354768,0.556303,0.00347,80.041667,1.903316
20,butanol,288.25,3.6,0.82668,100.0,100.0,100.0,4.354768,0.556303,0.003469,80.069444,1.903467
21,butanol,288.35,3.578,0.82668,100.0,100.0,100.0,4.328156,0.553638,0.003468,80.589715,1.90628
22,butanol,288.45,3.571333,0.82668,100.0,100.0,100.0,4.320092,0.55283,0.003467,80.768154,1.90724
23,butanol,288.55,3.575,0.82668,100.0,100.0,100.0,4.324527,0.553276,0.003466,80.713287,1.906945
24,butanol,288.65,3.551935,0.82668,100.0,100.0,100.0,4.296627,0.550464,0.003464,81.265553,1.909906
25,butanol,288.75,3.55,0.82668,100.0,100.0,100.0,4.294286,0.550228,0.003463,81.338028,1.910294
26,butanol,288.85,3.541525,0.82668,100.0,100.0,100.0,4.284034,0.54919,0.003462,81.5609,1.911482
27,butanol,288.95,3.529111,0.82668,100.0,100.0,100.0,4.269017,0.547663,0.003461,81.876141,1.913157
28,butanol,289.05,3.517222,0.82668,100.0,100.0,100.0,4.254636,0.546199,0.00346,82.18133,1.914773
29,butanol,289.15,3.51,0.82668,100.0,100.0,100.0,4.245899,0.545307,0.003458,82.378917,1.915816
30,butanol,289.25,3.51,0.82668,100.0,100.0,100.0,4.245899,0.545307,0.003457,82.407407,1.915966
31,butanol,289.35,3.51,0.82668,100.0,100.0,100.0,4.245899,0.545307,0.003456,82.435897,1.916116
32,butanol,289.55,3.49,0.82668,100.0,100.0,100.0,4.221706,0.542825,0.003454,82.965616,1.918898
33,butanol,289.65,3.477333,0.82668,100.0,100.0,100.0,4.206384,0.541245,0.003452,83.296587,1.920627
34,butanol,289.75,3.47625,0.82668,100.0,100.0,100.0,4.205073,0.541109,0.003451,83.351312,1.920912
35,butanol,289.85,3.476667,0.82668,100.0,100.0,100.0,4.205577,0.54116,0.00345,83.370086,1.92101
36,butanol,289.95,3.47,0.82668,100.0,100.0,100.0,4.197513,0.540326,0.003449,83.559078,1.921994
37,butanol,290.05,3.45,0.82668,100.0,100.0,100.0,4.17332,0.537819,0.003448,84.072464,1.924654
38,butanol,290.15,3.436667,0.82668,100.0,100.0,100.0,4.157191,0.536136,0.003446,84.42774,1.926485
39,butanol,290.25,3.432353,0.82668,100.0,100.0,100.0,4.151973,0.535591,0.003445,84.562982,1.92718
40,butanol,290.35,3.436667,0.82668,100.0,100.0,100.0,4.157191,0.536136,0.003444,84.485936,1.926784
41,butanol,290.45,3.43,0.82668,100.0,100.0,100.0,4.149127,0.535294,0.003443,84.6793,1.927777
42,butanol,290.55,3.425,0.82668,100.0,100.0,100.0,4.143078,0.53466,0.003442,84.832117,1.92856
43,butanol,290.65,3.403333,0.82668,100.0,100.0,100.0,4.116869,0.531903,0.003441,85.401567,1.931466
44,butanol,290.75,3.395833,0.82668,100.0,100.0,100.0,4.107797,0.530946,0.003439,85.619632,1.932573
45,butanol,290.85,3.398,0.82668,100.0,100.0,100.0,4.110418,0.531223,0.003438,85.594467,1.932446
46,butanol,290.95,3.397778,0.82668,100.0,100.0,100.0,4.110149,0.531195,0.003437,85.629496,1.932623
47,butanol,291.05,3.36619,0.82668,100.0,100.0,100.0,4.071939,0.527137,0.003436,86.462725,1.936829
