,compound,x,Temperature,D_comp,D_but,rho,w_mass,w_vol,Viscosity,H_comp,H_but,D_comp1,D_but1
0,butanol,100,15,2.219e-06,2.219e-06,0.6999999999999998,100.0,100.0,3.600238095238095,36068667.53300454,36068667.53300454,,
1,butanol,100,20,2.8710000000000005e-06,2.8710000000000005e-06,0.6999999999999998,100.0,100.0,3.2413333333333325,31501628.86471203,31501628.86471203,,
2,butanol,100,25,3.0200000000000003e-06,3.0200000000000003e-06,0.6999999999999998,100.0,100.0,2.8202284752284745,35006087.77979092,35006087.77979092,,
3,butanol,100,30,3.303e-06,3.303e-06,0.6999999999999998,100.0,100.0,2.5116666666666667,36541552.681491815,36541552.681491815,,
4,dmag,0,15,7.83e-07,,1.07,0.0,0.0,5.432379658385094,67743362.20540377,,5.761459292545131e-07,
5,dmag,0,20,1.0680000000000002e-06,,1.07,0.0,0.0,4.692648490226129,58492559.009755455,,6.785466655899655e-07,
6,dmag,0,25,8.73e-07,,1.07,0.0,0.0,4.1090086996337,83115784.66007556,,7.881508125311483e-07,
7,dmag,0,30,1.002e-06,,1.07,0.0,0.0,3.634406772844273,83244647.36314318,,9.060229937393642e-07,
8,dmag,11,15,5.480000000000001e-07,7.310000000000001e-07,1.07,4.8500000000000005,7.413571428571429,4.686153846153845,112207406.1471069,84117179.98442487,6.678917357594671e-07,
9,dmag,11,20,8.33e-07,1.551e-06,1.07,4.849999999999999,7.413571428571428,4.155712284913966,84683622.00743853,45481274.74674164,7.662178629131557e-07,
10,dmag,11,25,5.91e-07,7.56e-07,1.07,4.849999999999999,7.413571428571428,3.6557142857142857,137998729.14612767,107879958.89598078,8.858784610080892e-07,
11,dmag,11,30,9.21e-07,1.3250000000000002e-06,1.07,4.849999999999999,7.413571428571428,3.260051020408164,100965626.7346792,70180635.63972794,1.0100627518359264e-06,
12,dmag,22,15,8.53e-07,1.069e-06,1.0500000000000005,9.73,14.595000000000002,4.0200000000000005,84031775.47199522,67052483.14089048,7.785680165033816e-07,
13,dmag,22,20,1.049e-06,1.072e-06,1.0500000000000005,9.73,14.595000000000008,3.5884517409114185,77876656.99149267,76205795.88066773,8.873411754507772e-07,
14,dmag,22,25,9.87e-07,1.416e-06,1.0500000000000005,9.73,14.595000000000006,3.1945064935064926,94561398.33404826,65912500.1099616,1.0137774181698578e-06,
15,dmag,22,30,1.374e-06,1.908e-06,1.0500000000000005,9.73,14.595000000000004,2.8514888888888885,77374731.71740034,55719539.50718452,1.1547848275439307e-06,
16,dmag,35,15,5.53e-07,8.22e-07,1.0299999999999998,16.81,24.734714285714286,4.322967032967032,120534555.04104055,81089548.58600417,7.240035379579226e-07,
17,dmag,35,20,8.930000000000001e-07,1.1690000000000002e-06,1.0300000000000002,16.81,24.734714285714283,3.8010643738977072,86364092.69418138,65973596.899832316,8.377077241034955e-07,
18,dmag,35,25,5.16e-07,9.96e-07,1.0300000000000002,16.81,24.734714285714283,3.380595238095238,170919627.11423,88548722.48086615,9.579728767347397e-07,
19,dmag,35,30,1.0960000000000002e-06,1.465e-06,1.03,16.81,24.734714285714283,3.0059180945105317,92017382.58723469,68840308.06526227,1.095457694210787e-06,
20,dmag,39,20,7.380000000000001e-07,1.061e-06,1.02,19.82,28.880571428571432,3.423807692307693,116017679.12218486,80698442.21693914,9.300116338258895e-07,
21,dmag,39,25,5.7e-07,1.0900000000000002e-06,1.02,19.82,28.880571428571432,3.060376068376068,170916960.44929338,89378593.99641946,1.058209341910165e-06,
22,dmag,39,30,1.012e-06,1.5700000000000002e-06,1.02,19.82,28.880571428571432,2.716190476190476,110285099.14684376,71088229.51376171,1.2123067707008903e-06,
23,ocm,31,15,6.370000000000001e-07,1.42e-06,1.5500000000000005,7.599999999999997,16.828571428571426,105.97193663411028,4268628.114544333,1914870.499270944,3.9589079421487595e-07,
24,ocm,31,20,7.790000000000001e-07,1.835e-06,1.5500000000000005,7.599999999999997,16.828571428571426,73.39998797219515,5126918.952851019,2176495.8388397517,5.814942411614701e-07,
25,ocm,31,25,7.4e-07,2.1640000000000004e-06,1.5500000000000005,7.599999999999997,16.828571428571426,53.22976190476191,7569175.419688692,2588350.189727186,8.155217100803045e-07,
26,ocm,31,30,1.091e-06,1.947e-06,1.5500000000000005,7.599999999999999,16.82857142857143,40.44380325362468,6870381.1779384,3849812.976441086,1.0913509376833718e-06,
27,ocm,38,15,6.17e-07,1.5580000000000002e-06,1.5399999999999998,10.07,22.154,81.15818181818182,5754414.6226344695,2278866.381364228,5.169326519974805e-07,
28,ocm,38,20,7.510000000000001e-07,1.483e-06,1.5399999999999998,10.07,22.154000000000003,60.200442715586526,6484108.545581431,3283591.0436491272,7.089926316455796e-07,
29,ocm,38,25,6.92e-07,1.5670000000000002e-06,1.5399999999999998,10.07,22.154000000000003,44.19028489338319,9749939.43115725,4305652.894933513,9.823432132305364e-07,
30,ocm,38,30,7.78e-07,1.606e-06,1.5399999999999998,10.07,22.154000000000003,33.51478067872116,11626301.840775426,5632168.637685729,1.3169825882927219e-06,
31,ocm,44,15,7.330000000000001e-07,1.352e-06,1.53,12.300000000000002,26.88428571428572,68.79068027210883,5714589.5813198425,3098220.5348427854,6.098691565865558e-07,
32,ocm,44,20,8.71e-07,2.162e-06,1.53,12.3,26.88428571428572,49.06823529411765,6859165.856723861,2763336.4760437016,8.69843189821611e-07,
33,ocm,44,25,7.22e-07,1.4790000000000002e-06,1.53,12.300000000000002,26.88428571428572,37.4089538505583,11038804.777963394,5388787.727984834,1.1604180814345605e-06,
34,ocm,44,30,7.32e-07,1.376e-06,1.5300000000000005,12.300000000000002,26.884285714285728,28.46715219421102,14547972.394179735,7739182.98876422,1.5505022175453477e-06,
35,peta,0,25,2.262e-06,,1.1999999999999995,0.0,0.0,883.9520905681618,149112.3057468209,,1.8695428030785873e-07,
36,peta,0,30,2.584000000000001e-06,,1.1999999999999995,0.0,0.0,532.2637087102594,220413.50844562473,,3.156920524971162e-07,
37,peta,19,15,2.296e-06,7.317e-06,1.18,5.799999999999998,9.77714285714286,647.5980902226307,193794.38107514303,60810.70096330852,2.466236973561019e-07,
38,peta,19,20,2.156e-06,5.453e-06,1.18,5.799999999999999,9.777142857142856,406.21302427868864,334724.3432101728,132342.87254009402,4.000015298713093e-07,
39,peta,19,25,1.886e-06,4.751000000000001e-06,1.18,5.8,9.777142857142856,259.8163397766225,608452.4792099937,241536.80820670343,6.360594066596397e-07,
40,peta,19,30,1.7590000000000002e-06,5.073e-06,1.18,5.799999999999999,9.777142857142856,171.46666846220756,1005106.3653051882,348508.1996002023,9.799655185433562e-07,
41,peta,30,15,1.113e-06,3.126e-06,1.16,9.75,16.157142857142855,310.70199999999994,833257.8441921825,296678.17677092104,5.140392897743036e-07,
42,peta,30,20,1.555e-06,4.638e-06,1.16,9.75,16.15714285714285,208.9329703703316,902303.2601670861,302518.665278098,7.776935869773079e-07,
43,peta,30,25,1.323e-06,3.344e-06,1.16,9.75,16.15714285714285,143.87747969344306,1566325.966941162,619691.762638504,1.1486066288547117e-06,
44,peta,30,30,1.16e-06,3.910000000000001e-06,1.16,9.75,16.157142857142855,98.02002529656204,2666151.188044203,790980.9151230883,1.7142560631267509e-06,
45,peta,41,15,8.550000000000002e-07,2.7300000000000005e-06,1.14,14.9,24.26571428571429,164.55350323982822,2048072.7375853152,641429.3738591372,9.70584231067279e-07,
46,peta,41,20,1.3130000000000002e-06,3.920000000000001e-06,1.14,14.9,24.26571428571429,109.43713222395051,2040142.3373904051,683343.5941310208,1.4847413109530153e-06,
47,peta,41,25,1.244e-06,2.7060000000000004e-06,1.14,14.900000000000002,24.26571428571429,77.06730878470228,3109884.356750822,1429673.3702136078,2.144341479218766e-06,
48,peta,41,30,1.024e-06,2.64e-06,1.14,14.899999999999997,24.26571428571429,55.87806058156836,5298052.917259833,2055002.3436644203,3.007109067917345e-06,
49,peta,49,15,9.48e-07,2.17e-06,1.11,19.76,31.333714285714297,95.07641845808512,3196961.9925947455,1396645.146995308,1.6798385761855963e-06,
50,peta,49,20,1.1440000000000002e-06,2.803e-06,1.11,19.76,31.333714285714304,65.59972844859314,3906266.1700011278,1594280.5916808029,2.47692841125795e-06,
51,peta,49,25,1.3950000000000002e-06,3.7630000000000006e-06,1.11,19.76,31.333714285714294,47.991778060097225,4453421.131816995,1650949.3698869806,3.443477895564828e-06,
52,peta,49,30,1.295e-06,3.221e-06,1.11,19.76,31.333714285714294,36.10217808097022,6484170.11205361,2606954.4536198154,4.654329228990198e-06,
