,compound,T,Nu,rho,w_mass,w_vol,x,V,ln_Nu,1_T,D,ln_D,D_comp,D_but,ln_D_comp
0,butanol,286.15,3.72,0.82668,100.0,100.0,100.0,4.499927,1.313724,0.003495,76.922043,4.342792,3.6806892283252696e-06,-12.512410533014295,-12.512410533014295
1,butanol,286.35,3.7,0.82668,100.0,100.0,100.0,4.475734,1.308333,0.003492,77.391892,4.348882,3.7031713108085453e-06,-12.506320994394663,-12.506320994394663
2,butanol,286.45,3.7,0.82668,100.0,100.0,100.0,4.475734,1.308333,0.003491,77.418919,4.349231,3.7044645433249787e-06,-12.505971832379942,-12.505971832379942
3,butanol,286.55,3.7,0.82668,100.0,100.0,100.0,4.475734,1.308333,0.00349,77.445946,4.34958,3.705757775841413e-06,-12.505622792236784,-12.505622792236784
4,butanol,286.65,3.6975,0.82668,100.0,100.0,100.0,4.47271,1.307656,0.003489,77.525355,4.350605,3.709557466105215e-06,-12.504597969832776,-12.504597969832776
5,butanol,286.75,3.698947,0.82668,100.0,100.0,100.0,4.474461,1.308048,0.003487,77.522055,4.350562,3.709399916039575e-06,-12.504640442125728,-12.504640442125728
6,butanol,286.85,3.693571,0.82668,100.0,100.0,100.0,4.467958,1.306593,0.003486,77.661961,4.352366,3.7160944385651842e-06,-12.50283732329762,-12.50283732329762
7,butanol,286.95,3.69,0.82668,100.0,100.0,100.0,4.463638,1.305626,0.003485,77.764228,4.353682,3.7209874286873848e-06,-12.501521487082414,-12.501521487082414
8,butanol,287.05,3.69,0.82668,100.0,100.0,100.0,4.463638,1.305626,0.003484,77.791328,4.35403,3.7222841658989853e-06,-12.501173055023141,-12.501173055023141
9,butanol,287.15,3.67,0.82668,100.0,100.0,100.0,4.439445,1.300192,0.003483,78.242507,4.359813,3.7438728971329864e-06,-12.495389948340524,-12.495389948340524
10,butanol,287.25,3.67,0.82668,100.0,100.0,100.0,4.439445,1.300192,0.003481,78.269755,4.360161,3.7451767010323887e-06,-12.495041758921964,-12.495041758921964
11,butanol,287.35,3.67,0.82668,100.0,100.0,100.0,4.439445,1.300192,0.00348,78.297003,4.360509,3.7464805049317913e-06,-12.494693690697078,-12.494693690697078
12,butanol,287.45,3.664,0.82668,100.0,100.0,100.0,4.432187,1.298555,0.003479,78.452511,4.362493,3.7539215102102828e-06,-12.492709528326934,-12.492709528326934
13,butanol,287.55,3.660435,0.82668,100.0,100.0,100.0,4.427874,1.297582,0.003478,78.556242,4.363815,3.7588847701765726e-06,-12.491388248234484,-12.491388248234484
14,butanol,287.65,3.66,0.82668,100.0,100.0,100.0,4.427348,1.297463,0.003476,78.592896,4.364281,3.7606388890798053e-06,-12.490921697688323,-12.490921697688323
15,butanol,287.75,3.644324,0.82668,100.0,100.0,100.0,4.408386,1.293168,0.003475,78.958395,4.368921,3.7781282054896583e-06,-12.486281854709626,-12.486281854709626
16,butanol,287.85,3.6325,0.82668,100.0,100.0,100.0,4.394082,1.28992,0.003474,79.242946,4.372518,3.7917434974958575e-06,-12.482684618924832,-12.482684618924832
17,butanol,287.95,3.631071,0.82668,100.0,100.0,100.0,4.392354,1.289526,0.003473,79.301662,4.373259,3.794553511887954e-06,-12.48194380571461,-12.48194380571461
18,butanol,288.05,3.606827,0.82668,100.0,100.0,100.0,4.363027,1.282828,0.003472,79.86244,4.380306,3.821385992528977e-06,-12.474897375881596,-12.474897375881596
19,butanol,288.15,3.6,0.82668,100.0,100.0,100.0,4.354768,1.280934,0.00347,80.041667,4.382547,3.829961982107254e-06,-12.47265568116374,-12.47265568116374
20,butanol,288.25,3.6,0.82668,100.0,100.0,100.0,4.354768,1.280934,0.003469,80.069444,4.382894,3.831291137749145e-06,-12.472308699897246,-12.472308699897246
21,butanol,288.35,3.578,0.82668,100.0,100.0,100.0,4.328156,1.274799,0.003468,80.589715,4.389371,3.8561858737305e-06,-12.465831978609456,-12.465831978609456
22,butanol,288.45,3.571333,0.82668,100.0,100.0,100.0,4.320092,1.272939,0.003467,80.768154,4.391583,3.864724464651863e-06,-12.463620168336284,-12.463620168336284
23,butanol,288.55,3.575,0.82668,100.0,100.0,100.0,4.324527,1.273964,0.003466,80.713287,4.390903,3.862098734777437e-06,-12.464299808573346,-12.464299808573346
24,butanol,288.65,3.551935,0.82668,100.0,100.0,100.0,4.296627,1.267491,0.003464,81.265553,4.397722,3.888524969387149e-06,-12.457480657490343,-12.457480657490343
25,butanol,288.75,3.55,0.82668,100.0,100.0,100.0,4.294286,1.266948,0.003463,81.338028,4.398614,3.891992365479141e-06,-12.456589355235671,-12.456589355235671
26,butanol,288.85,3.541525,0.82668,100.0,100.0,100.0,4.284034,1.264556,0.003462,81.5609,4.40135,3.9026571484774936e-06,-12.453852916699425,-12.453852916699425
27,butanol,288.95,3.529111,0.82668,100.0,100.0,100.0,4.269017,1.261042,0.003461,81.876141,4.405208,3.917740988615139e-06,-12.449995348688635,-12.449995348688635
28,butanol,289.05,3.517222,0.82668,100.0,100.0,100.0,4.254636,1.25767,0.00346,82.18133,4.408928,3.9323442701038965e-06,-12.446274803534562,-12.446274803534562
29,butanol,289.15,3.51,0.82668,100.0,100.0,100.0,4.245899,1.255616,0.003458,82.378917,4.41133,3.941798501052471e-06,-12.443873466457898,-12.443873466457898
