,compound,T,Nu,rho,w_mass,w_vol,w,V,ln_Nu,T_1,D,ln_D,D_comp,ln_D_comp,D_but,ln_D_but
0,butanol,286.15,3.72,0.82668,100.0,100.0,100.0,4.499927,0.570543,0.003495,76.922043,1.886051,1.892807345008333e-10,-9.722893587440153,1.892807345008333e-10,-9.722893587440153
1,butanol,286.35,3.7,0.82668,100.0,100.0,100.0,4.475734,0.568202,0.003492,77.391892,1.888695,1.9043688347771364e-10,-9.72024893442031,1.9043688347771364e-10,-9.72024893442031
2,butanol,286.45,3.7,0.82668,100.0,100.0,100.0,4.475734,0.568202,0.003491,77.418919,1.888847,1.9050338841344879e-10,-9.720097295284026,1.9050338841344879e-10,-9.720097295284026
3,butanol,286.55,3.7,0.82668,100.0,100.0,100.0,4.475734,0.568202,0.00349,77.445946,1.888999,1.9056989334918399e-10,-9.719945709075889,1.9056989334918399e-10,-9.719945709075889
4,butanol,286.65,3.6975,0.82668,100.0,100.0,100.0,4.47271,0.567908,0.003489,77.525355,1.889444,1.9076529375367165e-10,-9.719500634360898,1.9076529375367165e-10,-9.719500634360898
5,butanol,286.75,3.698947,0.82668,100.0,100.0,100.0,4.474461,0.568078,0.003487,77.522055,1.889425,1.9075719168628832e-10,-9.71951907984336,1.9075719168628832e-10,-9.71951907984336
6,butanol,286.85,3.693571,0.82668,100.0,100.0,100.0,4.467958,0.567446,0.003486,77.661961,1.890208,1.9110145985514871e-10,-9.718735995286098,1.9110145985514871e-10,-9.718735995286098
7,butanol,286.95,3.69,0.82668,100.0,100.0,100.0,4.463638,0.567026,0.003485,77.764228,1.89078,1.9135308358830935e-10,-9.718164534878746,1.9135308358830935e-10,-9.718164534878746
8,butanol,287.05,3.69,0.82668,100.0,100.0,100.0,4.463638,0.567026,0.003484,77.791328,1.890931,1.9141976875422273e-10,-9.718013212758084,1.9141976875422273e-10,-9.718013212758084
9,butanol,287.15,3.67,0.82668,100.0,100.0,100.0,4.439445,0.564666,0.003483,78.242507,1.893443,1.9252997682978253e-10,-9.715501641437566,1.9252997682978253e-10,-9.715501641437566
10,butanol,287.25,3.67,0.82668,100.0,100.0,100.0,4.439445,0.564666,0.003481,78.269755,1.893594,1.9259702540259461e-10,-9.715350424694428,1.9259702540259461e-10,-9.715350424694428
11,butanol,287.35,3.67,0.82668,100.0,100.0,100.0,4.439445,0.564666,0.00348,78.297003,1.893745,1.9266407397540668e-10,-9.715199260585035,1.9266407397540668e-10,-9.715199260585035
12,butanol,287.45,3.664,0.82668,100.0,100.0,100.0,4.432187,0.563955,0.003479,78.452511,1.894607,1.9304673028164914e-10,-9.71433754981648,1.9304673028164914e-10,-9.71433754981648
13,butanol,287.55,3.660435,0.82668,100.0,100.0,100.0,4.427874,0.563533,0.003478,78.556242,1.895181,1.93301967666188e-10,-9.713763725163282,1.93301967666188e-10,-9.713763725163282
14,butanol,287.65,3.66,0.82668,100.0,100.0,100.0,4.427348,0.563481,0.003476,78.592896,1.895383,1.9339217384601171e-10,-9.713561104835556,1.9339217384601171e-10,-9.713561104835556
15,butanol,287.75,3.644324,0.82668,100.0,100.0,100.0,4.408386,0.561616,0.003475,78.958395,1.897398,1.9429156807644525e-10,-9.711546046633009,1.9429156807644525e-10,-9.711546046633009
16,butanol,287.85,3.6325,0.82668,100.0,100.0,100.0,4.394082,0.560205,0.003474,79.242946,1.898961,1.9499173924317783e-10,-9.709983786981569,1.9499173924317783e-10,-9.709983786981569
17,butanol,287.95,3.631071,0.82668,100.0,100.0,100.0,4.392354,0.560034,0.003473,79.301662,1.899282,1.951362452188524e-10,-9.709662055892249,1.951362452188524e-10,-9.709662055892249
18,butanol,288.05,3.606827,0.82668,100.0,100.0,100.0,4.363027,0.557125,0.003472,79.86244,1.902343,1.965161149468172e-10,-9.706601830298652,1.965161149468172e-10,-9.706601830298652
19,butanol,288.15,3.6,0.82668,100.0,100.0,100.0,4.354768,0.556303,0.00347,80.041667,1.903316,1.969571382187511e-10,-9.705628274652575,1.969571382187511e-10,-9.705628274652575
20,butanol,288.25,3.6,0.82668,100.0,100.0,100.0,4.354768,0.556303,0.003469,80.069444,1.903467,1.9702549051381227e-10,-9.705477582603212,1.9702549051381227e-10,-9.705477582603212
21,butanol,288.35,3.578,0.82668,100.0,100.0,100.0,4.328156,0.553638,0.003468,80.589715,1.90628,1.9830571104302528e-10,-9.702664778287101,1.9830571104302528e-10,-9.702664778287101
22,butanol,288.45,3.571333,0.82668,100.0,100.0,100.0,4.320092,0.55283,0.003467,80.768154,1.90724,1.9874481107591046e-10,-9.701704201290445,1.9874481107591046e-10,-9.701704201290445
23,butanol,288.55,3.575,0.82668,100.0,100.0,100.0,4.324527,0.553276,0.003466,80.713287,1.906945,1.9860978199619155e-10,-9.70199936529508,1.9860978199619155e-10,-9.70199936529508
24,butanol,288.65,3.551935,0.82668,100.0,100.0,100.0,4.296627,0.550464,0.003464,81.265553,1.909906,1.9996876037951286e-10,-9.699037845608467,1.9996876037951286e-10,-9.699037845608467
25,butanol,288.75,3.55,0.82668,100.0,100.0,100.0,4.294286,0.550228,0.003463,81.338028,1.910294,2.0014707243966908e-10,-9.698650757957555,2.0014707243966908e-10,-9.698650757957555
26,butanol,288.85,3.541525,0.82668,100.0,100.0,100.0,4.284034,0.54919,0.003462,81.5609,1.911482,2.0069551264583632e-10,-9.697462337801197,2.0069551264583632e-10,-9.697462337801197
27,butanol,288.95,3.529111,0.82668,100.0,100.0,100.0,4.269017,0.547663,0.003461,81.876141,1.913157,2.0147120441529484e-10,-9.695787017300544,2.0147120441529484e-10,-9.695787017300544
28,butanol,289.05,3.517222,0.82668,100.0,100.0,100.0,4.254636,0.546199,0.00346,82.18133,1.914773,2.0222218328768724e-10,-9.694171205070457,2.0222218328768724e-10,-9.694171205070457
29,butanol,289.15,3.51,0.82668,100.0,100.0,100.0,4.245899,0.545307,0.003458,82.378917,1.915816,2.0270837043011566e-10,-9.693128317628872,2.0270837043011566e-10,-9.693128317628872
30,butanol,289.25,3.51,0.82668,100.0,100.0,100.0,4.245899,0.545307,0.003457,82.407407,1.915966,2.0277847534812713e-10,-9.692978146644698,2.0277847534812713e-10,-9.692978146644698
31,butanol,289.35,3.51,0.82668,100.0,100.0,100.0,4.245899,0.545307,0.003456,82.435897,1.916116,2.028485802661386e-10,-9.69282802756892,2.028485802661386e-10,-9.69282802756892
32,butanol,289.55,3.49,0.82668,100.0,100.0,100.0,4.221706,0.542825,0.003454,82.965616,1.918898,2.041520496442942e-10,-9.69004625549245,2.041520496442942e-10,-9.69004625549245
33,butanol,289.65,3.477333,0.82668,100.0,100.0,100.0,4.206384,0.541245,0.003452,83.296587,1.920627,2.049664848091359e-10,-9.688317147004778,2.049664848091359e-10,-9.688317147004778
34,butanol,289.75,3.47625,0.82668,100.0,100.0,100.0,4.205073,0.541109,0.003451,83.351312,1.920912,2.0510112615117647e-10,-9.688031955039245,2.0510112615117647e-10,-9.688031955039245
35,butanol,289.85,3.476667,0.82668,100.0,100.0,100.0,4.205577,0.54116,0.00345,83.370086,1.92101,2.0514730287520992e-10,-9.68793418844171,2.0514730287520992e-10,-9.68793418844171
36,butanol,289.95,3.47,0.82668,100.0,100.0,100.0,4.197513,0.540326,0.003449,83.559078,1.921994,2.0561237069379468e-10,-9.686950759509301,2.0561237069379468e-10,-9.686950759509301
37,butanol,290.05,3.45,0.82668,100.0,100.0,100.0,4.17332,0.537819,0.003448,84.072464,1.924654,2.068756505999095e-10,-9.68429062307232,2.068756505999095e-10,-9.68429062307232
38,butanol,290.15,3.436667,0.82668,100.0,100.0,100.0,4.157191,0.536136,0.003446,84.42774,1.926485,2.0774985264266453e-10,-9.682459275589581,2.0774985264266453e-10,-9.682459275589581
39,butanol,290.25,3.432353,0.82668,100.0,100.0,100.0,4.151973,0.535591,0.003445,84.562982,1.92718,2.0808265673551882e-10,-9.681764115838087,2.0808265673551882e-10,-9.681764115838087
40,butanol,290.35,3.436667,0.82668,100.0,100.0,100.0,4.157191,0.536136,0.003444,84.485936,1.926784,2.078930543332678e-10,-9.682160020120786,2.078930543332678e-10,-9.682160020120786
41,butanol,290.45,3.43,0.82668,100.0,100.0,100.0,4.149127,0.535294,0.003443,84.6793,1.927777,2.083688826876293e-10,-9.681167137033185,2.083688826876293e-10,-9.681167137033185
42,butanol,290.55,3.425,0.82668,100.0,100.0,100.0,4.143078,0.53466,0.003442,84.832117,1.92856,2.0874491558563177e-10,-9.680384093856315,2.0874491558563177e-10,-9.680384093856315
43,butanol,290.65,3.403333,0.82668,100.0,100.0,100.0,4.116869,0.531903,0.003441,85.401567,1.931466,2.1014617263224284e-10,-9.677478515341313,2.1014617263224284e-10,-9.677478515341313
44,butanol,290.75,3.395833,0.82668,100.0,100.0,100.0,4.107797,0.530946,0.003439,85.619632,1.932573,2.106827610207066e-10,-9.676370998800412,2.106827610207066e-10,-9.676370998800412
45,butanol,290.85,3.398,0.82668,100.0,100.0,100.0,4.110418,0.531223,0.003438,85.594467,1.932446,2.1062081832473496e-10,-9.676498704201302,2.1062081832473496e-10,-9.676498704201302
