,compound,x,Temperature,D_comp,D_but,rho,w_mass,w_vol,D,Viscosity,E,D0,x_exact
0,butanol,100,15,0.4151964765022518,0.4151964765022518,0.6999999999999998,100.0,100.0,80056.83786813321,3.600238095238095,19660.65184074668,294247430.0867737,100.0
1,butanol,100,20,0.5055035902553494,0.5055035902553494,0.6999999999999998,100.0,100.0,90518.90921217998,3.2413333333333325,19660.65184074668,294247430.0867737,100.0
2,butanol,100,25,0.4130607333990077,0.4130607333990077,0.6999999999999998,100.0,100.0,105751.20947671356,2.8202284752284745,19660.65184074668,294247430.0867737,100.0
3,butanol,100,30,0.3479786134444746,0.3479786134444746,0.6999999999999998,100.0,100.0,120714.74912612268,2.5116666666666667,19660.65184074668,294247430.0867737,100.0
4,butanol,100,40,0.4562296913267494,0.4562296913267494,0.6999999999999998,100.0,100.0,153901.19006472308,2.035,19660.65184074668,294247430.0867737,100.0
5,dmag,0,15,0.2291927461391781,0.0,1.07,0.0,0.0,53056.62843231423,5.432379658385094,21140.81166863093,364703912.3888,0.0
6,dmag,0,20,0.2171317242113143,0.0,1.07,0.0,0.0,62497.20260469135,4.692648490226129,21140.81166863093,364703912.3888,0.0
7,dmag,0,25,0.2584228038240814,0.0,1.07,0.0,0.0,72576.17499409433,4.1090086996337,21140.81166863093,364703912.3888,0.0
8,dmag,0,30,0.1937282211802,0.0,1.07,0.0,0.0,83429.77671986468,3.634406772844273,21140.81166863093,364703912.3888,0.0
9,dmag,0,40,0.2464246540449013,0.0,1.07,0.0,0.0,105887.60003105205,2.9532692307692305,21140.81166863093,364703912.3888001,0.0
10,dmag,11,15,0.1644770881097939,0.1389814483310041,1.07,4.8500000000000005,7.413571428571429,61578.469301009536,4.686153846153845,20010.594808262067,259880180.96959603,11.990940175206529
11,dmag,11,20,0.2537884534171368,0.5027311553177555,1.07,4.849999999999999,7.413571428571428,70566.21456223335,4.155712284913966,20010.594808262063,259880180.9695961,11.990940175206529
12,dmag,11,25,0.2112760619425543,0.76195206397203,1.07,4.849999999999999,7.413571428571428,81579.62083015633,3.6557142857142857,20010.594808262063,259880180.9695961,11.990940175206529
13,dmag,11,30,0.1118000884640752,0.588706374521135,1.07,4.849999999999999,7.413571428571428,93004.40832706528,3.260051020408164,20010.594808262067,259880180.9695961,11.990940175206529
14,dmag,11,40,0.2411814797936162,0.6118489597952111,1.07,4.85,7.413571428571429,117656.54669918944,2.659333333333334,20010.594808262067,259880180.969596,11.990940175206529
15,dmag,22,15,0.1016802114710435,0.3715266508914283,1.0500000000000005,9.73,14.595000000000002,71757.37874856027,4.0200000000000005,19107.24719544104,207726214.04821503,22.367037495996996
16,dmag,22,20,0.2832156048833451,0.4672010225699821,1.0500000000000005,9.73,14.595000000000008,81710.68213829197,3.5884517409114185,19107.24719544104,207726214.0482151,22.367037495996996
17,dmag,22,25,0.2228654190177703,0.2637537260416079,1.0500000000000005,9.73,14.595000000000006,93354.45394288472,3.1945064935064926,19107.24719544104,207726214.0482151,22.367037495996996
18,dmag,22,30,0.0916784157315937,0.3850502620629584,1.0500000000000005,9.73,14.595000000000004,106340.66796193228,2.8514888888888885,19107.24719544104,207726214.0482151,22.367037495996996
