,compound,T,Nu,rho,w_mass,w_vol,x,V,ln_Nu,1_T,D,ln_D
0,butanol,286.15,3.72,0.82668,100.0,100.0,100.0,4.499927,1.313724,0.003495,76.922043,4.342792
1,butanol,286.35,3.7,0.82668,100.0,100.0,100.0,4.475734,1.308333,0.003492,77.391892,4.348882
2,butanol,286.45,3.7,0.82668,100.0,100.0,100.0,4.475734,1.308333,0.003491,77.418919,4.349231
3,butanol,286.55,3.7,0.82668,100.0,100.0,100.0,4.475734,1.308333,0.00349,77.445946,4.34958
4,butanol,286.65,3.6975,0.82668,100.0,100.0,100.0,4.47271,1.307656,0.003489,77.525355,4.350605
5,butanol,286.75,3.698947,0.82668,100.0,100.0,100.0,4.474461,1.308048,0.003487,77.522055,4.350562
6,butanol,286.85,3.693571,0.82668,100.0,100.0,100.0,4.467958,1.306593,0.003486,77.661961,4.352366
7,butanol,286.95,3.69,0.82668,100.0,100.0,100.0,4.463638,1.305626,0.003485,77.764228,4.353682
8,butanol,287.05,3.69,0.82668,100.0,100.0,100.0,4.463638,1.305626,0.003484,77.791328,4.35403
9,butanol,287.15,3.67,0.82668,100.0,100.0,100.0,4.439445,1.300192,0.003483,78.242507,4.359813
10,butanol,287.25,3.67,0.82668,100.0,100.0,100.0,4.439445,1.300192,0.003481,78.269755,4.360161
11,butanol,287.35,3.67,0.82668,100.0,100.0,100.0,4.439445,1.300192,0.00348,78.297003,4.360509
12,butanol,287.45,3.664,0.82668,100.0,100.0,100.0,4.432187,1.298555,0.003479,78.452511,4.362493
13,butanol,287.55,3.660435,0.82668,100.0,100.0,100.0,4.427874,1.297582,0.003478,78.556242,4.363815
14,butanol,287.65,3.66,0.82668,100.0,100.0,100.0,4.427348,1.297463,0.003476,78.592896,4.364281
15,butanol,287.75,3.644324,0.82668,100.0,100.0,100.0,4.408386,1.293168,0.003475,78.958395,4.368921
16,butanol,287.85,3.6325,0.82668,100.0,100.0,100.0,4.394082,1.28992,0.003474,79.242946,4.372518
