,compound,x,Temperature,rho,w_mass,w_vol,Viscosity,Kin_viscosity,E
0,butanol,100.0,13.0,0.82668,100.0,100.0,3.700000000000001,4.475734262350609,19660.651840746672
1,butanol,100.0,13.100000000000023,0.82668,100.0,100.0,3.6913793103448254,4.465306176930404,19660.651840746672
2,butanol,100.0,13.199999999999989,0.82668,100.0,100.0,3.6774999999999998,4.44851695940388,19660.651840746672
3,butanol,100.0,13.300000000000011,0.82668,100.0,100.0,3.6399999999999997,4.4031547878260024,19660.651840746672
4,butanol,100.0,13.399999999999977,0.82668,100.0,100.0,3.700000000000001,4.475734262350609,19660.651840746672
5,butanol,100.0,13.5,0.82668,100.0,100.0,3.699999999999997,4.475734262350604,19660.651840746672
6,butanol,100.0,13.600000000000023,0.82668,100.0,100.0,3.7000000000000006,4.475734262350608,19660.651840746672
7,butanol,100.0,13.699999999999989,0.82668,100.0,100.0,3.690000000000001,4.463637683263174,19660.651840746672
8,butanol,100.0,13.800000000000011,0.82668,100.0,100.0,3.6900000000000026,4.463637683263176,19660.651840746672
9,butanol,100.0,13.899999999999977,0.82668,100.0,100.0,3.6900000000000013,4.463637683263175,19660.651840746672
10,butanol,100.0,14.0,0.82668,100.0,100.0,3.669999999999998,4.439444525088303,19660.651840746672
11,butanol,100.0,14.100000000000023,0.82668,100.0,100.0,3.6699999999999986,4.4394445250883035,19660.651840746672
12,butanol,100.0,14.199999999999989,0.8266799999999999,100.0,100.0,3.670000000000002,4.439444525088308,19660.651840746672
13,butanol,100.0,14.300000000000011,0.82668,100.0,100.0,3.659999999999998,4.427347946000869,19660.651840746672
14,butanol,100.0,14.399999999999977,0.82668,100.0,100.0,3.6600000000000037,4.427347946000876,19660.651840746672
15,butanol,100.0,14.5,0.82668,100.0,100.0,3.660000000000001,4.427347946000872,19660.651840746672
16,butanol,100.0,14.600000000000023,0.82668,100.0,100.0,3.6400000000000023,4.403154787826006,19660.651840746672
17,butanol,100.0,14.699999999999989,0.82668,100.0,100.0,3.6300000000000003,4.39105820873857,19660.651840746672
18,butanol,100.0,14.800000000000011,0.82668,100.0,100.0,3.6299999999999977,4.391058208738566,19660.651840746672
19,butanol,100.0,14.899999999999977,0.82668,100.0,100.0,3.6100000000000008,4.366865050563702,19660.651840746672
20,butanol,100.0,15.0,0.8266799999999999,100.0,100.0,3.6000000000000014,4.354768471476269,19660.651840746672
21,butanol,100.0,15.100000000000023,0.82668,100.0,100.0,3.5999999999999974,4.354768471476263,19660.651840746672
22,butanol,100.0,15.199999999999989,0.82668,100.0,100.0,3.5700000000000025,4.318478734213968,19660.651840746672
23,butanol,100.0,15.300000000000011,0.8266799999999999,100.0,100.0,3.5700000000000003,4.318478734213965,19660.651840746672
24,butanol,100.0,15.399999999999977,0.82668,100.0,100.0,3.5749999999999993,4.32452702375768,19660.651840746672
25,butanol,100.0,15.5,0.82668,100.0,100.0,3.5499999999999994,4.294285576039095,19660.651840746672
26,butanol,100.0,15.600000000000023,0.82668,100.0,100.0,3.5499999999999985,4.294285576039094,19660.651840746672
27,butanol,100.0,15.699999999999989,0.8266800000000001,100.0,100.0,3.539999999999998,4.2821889969516596,19660.65184074667
28,butanol,100.0,15.800000000000011,0.82668,100.0,100.0,3.519999999999998,4.257995838776791,19660.651840746672
29,butanol,100.0,15.899999999999977,0.82668,100.0,100.0,3.520000000000001,4.257995838776795,19660.651840746672
30,butanol,100.0,16.0,0.8266800000000001,100.0,100.0,3.5100000000000002,4.24589925968936,19660.651840746672
31,butanol,100.0,16.100000000000023,0.82668,100.0,100.0,3.5100000000000002,4.245899259689361,19660.651840746672
32,butanol,100.0,16.19999999999999,0.82668,100.0,100.0,3.5100000000000002,4.24589925968936,19660.651840746672
33,butanol,100.0,16.399999999999977,0.82668,100.0,100.0,3.4899999999999984,4.22170610151449,19660.651840746672
34,butanol,100.0,16.5,0.82668,100.0,100.0,3.4800000000000026,4.20960952242706,19660.651840746672
35,butanol,100.0,16.600000000000023,0.82668,100.0,100.0,3.4799999999999978,4.209609522427055,19660.651840746672
36,butanol,100.0,16.69999999999999,0.82668,100.0,100.0,3.485000000000002,4.215657811970777,19660.651840746672
37,butanol,100.0,16.80000000000001,0.82668,100.0,100.0,3.489999999999999,4.22170610151449,19660.651840746672
38,butanol,100.0,16.899999999999977,0.82668,100.0,100.0,3.4500000000000006,4.1733197851647565,19660.651840746672
39,butanol,100.0,17.0,0.82668,100.0,100.0,3.4300000000000006,4.149126626989888,19660.651840746672
40,butanol,100.0,17.100000000000023,0.82668,100.0,100.0,3.430000000000003,4.149126626989891,19660.651840746672
41,butanol,100.0,17.19999999999999,0.82668,100.0,100.0,3.43,4.149126626989887,19660.651840746672
42,butanol,100.0,17.30000000000001,0.82668,100.0,100.0,3.4300000000000024,4.14912662698989,19660.651840746672
43,butanol,100.0,17.5,0.82668,100.0,100.0,3.4,4.112836889727585,19660.651840746672
44,butanol,100.0,17.600000000000023,0.82668,100.0,100.0,3.3999999999999977,4.112836889727582,19660.651840746672
45,butanol,100.0,17.69999999999999,0.82668,100.0,100.0,3.399999999999997,4.112836889727581,19660.651840746672
46,butanol,100.0,17.80000000000001,0.82668,100.0,100.0,3.3999999999999986,4.112836889727584,19660.651840746672
47,butanol,100.0,17.899999999999977,0.82668,100.0,100.0,3.360000000000001,4.06445057337785,19660.651840746672
48,butanol,100.0,18.0,0.82668,100.0,100.0,3.3700000000000023,4.076547152465285,19660.651840746672
49,butanol,100.0,18.100000000000023,0.82668,100.0,100.0,3.3699999999999997,4.076547152465283,19660.651840746672
50,butanol,100.0,18.19999999999999,0.82668,100.0,100.0,3.3399999999999985,4.040257415202979,19660.651840746672
51,butanol,100.0,18.30000000000001,0.82668,100.0,100.0,3.34,4.040257415202981,19660.651840746672
52,butanol,100.0,18.399999999999977,0.82668,100.0,100.0,3.3099999999999983,4.003967677940676,19660.651840746672
53,butanol,100.0,18.5,0.82668,100.0,100.0,3.3099999999999987,4.003967677940677,19660.651840746672
54,butanol,100.0,18.600000000000023,0.8266799999999999,100.0,100.0,3.3000000000000034,3.991871098853248,19660.651840746672
55,butanol,100.0,18.69999999999999,0.8266799999999999,100.0,100.0,3.299999999999997,3.991871098853241,19660.651840746672
56,butanol,100.0,18.80000000000001,0.82668,100.0,100.0,3.2999999999999985,3.991871098853243,19660.651840746672
57,butanol,100.0,18.899999999999977,0.82668,100.0,100.0,3.2800000000000007,3.967677940678377,19660.651840746672
