,time,Viscosity,Viscosity_mark,Temperature,Temperature_mark
0,0.0,173.5,processor_sweep,20.9,
1,1.0,173.0,inner_processor_check,20.9,
2,2.0,173.0,inner_processor_check,20.9,
3,3.0,173.0,inner_processor_check,20.9,
4,4.0,173.0,inner_processor_check,20.9,
5,5.0,173.5,,20.9,
6,6.0,173.5,,20.9,
7,7.0,174.0,,20.9,
8,8.0,174.0,,20.9,
9,9.0,174.0,,20.9,
10,10.0,173.5,,20.9,
11,11.0,174.0,,20.9,
12,12.0,173.0,inner_processor_check,20.9,
13,13.0,173.0,inner_processor_check,20.9,
14,14.0,173.0,inner_processor_check,20.9,
15,15.0,173.5,,20.9,
16,16.0,173.5,,20.9,
17,17.0,174.0,,20.9,
18,18.0,174.0,,20.9,
19,19.0,174.0,,20.9,
20,20.0,174.0,,20.9,
21,21.0,174.0,,20.9,
22,22.0,173.0,inner_processor_check,20.9,
23,23.0,173.0,inner_processor_check,20.9,
24,24.0,173.5,,20.9,
25,25.0,173.5,,20.9,
26,26.0,173.5,,20.9,
27,27.0,174.5,,20.9,
28,28.0,174.5,,20.9,
29,29.0,174.5,,20.9,
30,30.0,174.0,,20.9,
31,31.0,174.0,,20.9,
32,32.0,173.5,,20.9,
33,33.0,173.0,inner_processor_check,20.9,
34,34.0,173.5,inner_processor_check,20.9,
35,35.0,173.5,,20.9,
36,36.0,173.5,,20.9,
37,37.0,174.5,,20.9,
38,38.0,174.5,,20.9,
39,39.0,174.5,,20.9,
40,40.0,174.5,,20.9,
41,41.0,174.5,,20.9,
42,42.0,173.5,,20.9,
43,43.0,173.5,,20.9,
44,44.0,173.5,,20.9,
45,45.0,174.0,,20.9,
46,46.0,174.0,,20.9,
47,47.0,175.0,processor_sweep,20.9,
48,48.0,175.0,inner_processor_check,20.9,
49,49.0,174.5,,20.9,
50,50.0,174.5,,20.9,
51,51.0,174.5,,20.9,
52,52.0,173.5,,20.9,
53,53.0,173.5,,20.9,
54,54.0,174.0,,20.9,
55,55.0,174.0,,20.9,
56,56.0,174.0,,20.9,
57,57.0,175.0,processor_sweep,20.9,
58,58.0,175.0,inner_processor_check,20.9,
59,59.0,174.5,,20.9,
60,60.0,174.5,,20.9,
61,61.0,174.5,,20.9,
62,62.0,174.0,,20.9,
63,63.0,173.5,,20.9,
64,64.0,174.0,,20.9,
65,65.0,174.0,,20.9,
66,66.0,174.0,,20.9,
67,67.0,175.0,inner_processor_check,20.9,
68,68.0,175.0,inner_processor_check,20.9,
69,69.0,175.0,inner_processor_check,20.9,
70,70.0,174.5,,20.9,
71,71.0,174.5,,20.9,
72,72.0,174.0,,20.9,
73,73.0,173.5,inner_processor_check,20.9,
74,74.0,174.0,,20.9,
75,75.0,174.0,,20.9,
76,76.0,174.5,,20.9,
