time,Viscosity,Viscosity_verbose,Temperature,Temperature_verbose
0.0,222.6,OK,15.1,OK_inner
1.0,222.6,OK,15.4,image_sweep_check
2.0,222.3,OK,15.4,image_sweep_check
3.0,221.4,OK,15.0,OK_inner
4.0,219.9,OK_inner,15.5,OK_inner
5.0,218.4,OK_inner,15.0,image_sweep_check
6.0,218.4,OK_inner,15.0,OK_inner
7.0,216.0,OK,15.55,image_sweep_check
8.0,212.4,OK_inner,15.0,OK
9.0,208.8,OK_inner,15.1,OK_inner
10.0,206.7,image_sweep_check,15.1,image_sweep_check
11.0,206.9,OK_inner,15.1,image_sweep_check
12.0,188.7,OK_inner,14.9,OK
13.0,188.7,image_sweep_check,14.9,OK
14.0,188.1,image_sweep_check,14.9,OK
15.0,187.8,OK,14.9,OK
16.0,187.5,OK,14.9,OK
17.0,187.8,OK_inner,14.9,OK
18.0,188.4,image_sweep_check,14.9,OK
19.0,188.7,OK_inner,14.9,OK
20.0,188.4,OK_inner,14.9,OK
21.0,188.4,OK_inner,14.9,OK
22.0,188.1,image_sweep_check,14.9,OK
23.0,188.4,image_sweep_check,14.9,OK
24.0,189.0,OK_inner,14.9,OK
25.0,189.3,OK_inner,14.9,OK
26.0,188.7,OK_inner,14.9,OK
27.0,188.4,OK_inner,14.9,OK
28.0,188.1,image_sweep_check,14.9,OK
29.0,188.4,image_sweep_check,14.9,OK
30.0,189.0,OK_inner,14.9,OK
31.0,189.3,OK_inner,14.9,OK
32.0,188.0,OK_inner,14.9,OK
33.0,188.7,OK_inner,14.9,OK
34.0,188.4,OK_inner,14.9,OK
35.0,188.7,OK_inner,14.9,OK
36.0,189.6,OK,14.9,OK
37.0,189.9,OK_inner,14.9,OK
38.0,189.6,OK_inner,14.9,OK
39.0,189.3,OK_inner,14.9,OK
40.0,189.0,OK_inner,14.9,OK
41.0,189.0,OK_inner,14.9,OK
42.0,189.0,OK,14.9,OK
43.0,190.2,OK_inner,14.9,OK
44.0,189.6,OK_inner,14.9,OK
45.0,189.3,OK_inner,14.9,OK
46.0,189.0,OK_inner,14.9,OK
47.0,189.6,OK,14.9,OK
48.0,180.9,OK_inner,14.9,OK
49.0,190.5,OK_inner,14.9,OK
50.0,190.9,OK_inner,14.9,OK
51.0,189.0,OK,14.9,OK
52.0,189.6,OK_inner,14.9,OK
53.0,189.9,OK_inner,14.9,OK
54.0,190.5,OK_inner,14.9,OK
55.0,190.9,OK_inner,14.9,OK
56.0,190.2,OK_inner,14.9,OK
57.0,189.9,OK_inner,14.9,OK
58.0,189.6,OK_inner,14.9,OK
59.0,189.9,OK_inner,14.9,OK
60.0,190.9,OK_inner,14.9,OK
61.0,191.1,OK_inner,14.9,OK
62.0,190.5,OK_inner,14.9,OK
63.0,190.2,OK_inner,14.9,OK
64.0,180.9,OK_inner,14.9,OK
65.0,190.5,OK_inner,14.9,OK
66.0,190.8,OK_inner,14.9,OK
67.0,191.4,OK_inner,14.9,OK
68.0,190.8,OK_inner,14.9,OK
69.0,190.5,OK_inner,14.9,OK
70.0,190.2,OK_inner,14.9,OK
71.0,190.5,OK_inner,14.9,OK
72.0,191.4,image_sweep_check,14.9,OK
73.0,191.4,OK_inner,14.9,OK
74.0,191.1,OK_inner,14.9,OK
75.0,190.8,image_sweep_check,14.9,OK
76.0,190.5,OK_inner,14.9,OK
77.0,190.8,OK_inner,14.9,OK
78.0,191.4,image_sweep_check,14.9,OK
79.0,192.0,OK,14.9,OK
80.0,191.4,OK_inner,14.9,OK
81.0,190.8,OK_inner,14.9,OK
82.0,190.9,image_sweep_check,14.9,OK
83.0,191.1,OK_inner,14.9,OK
84.0,191.7,OK,14.9,OK
85.0,192.0,OK,14.9,OK
86.0,191.7,OK_inner,14.9,OK
87.0,191.1,OK_inner,14.9,OK
88.0,190.8,OK_inner,14.9,OK
89.0,191.4,OK_inner,14.9,OK
90.0,191.0,OK,14.9,OK
91.0,192.0,OK,15.0,OK
92.0,191.4,OK_inner,15.0,OK
93.0,190.8,OK_inner,15.1,OK
94.0,190.2,OK_inner,15.1,OK_inner
95.0,190.5,OK_inner,15.2,OK
96.0,190.9,OK_inner,15.3,OK
97.0,190.9,OK_inner,15.3,OK
98.0,199.2,OK_inner,15.8,OK
