time,Viscosity,Viscosity_verbose,Temperature,Temperature_verbose
5.0,159.6,image_sweep_check,14.4,OK
6.0,159.6,OK_inner,14.4,OK
7.0,159.3,OK,14.4,OK
8.0,159.0,OK_inner,14.4,OK
9.0,159.0,image_sweep_check,14.4,OK
10.0,159.0,OK,14.4,OK
11.0,159.6,OK,14.4,OK
12.0,159.9,OK,14.4,OK
13.0,159.6,OK,14.4,OK
14.0,159.3,OK,14.4,OK
15.0,159.0,OK_inner,14.4,OK
17.0,159.6,image_sweep_check,14.4,OK
19.0,159.6,OK,14.4,OK
20.0,159.3,OK,14.4,OK
21.0,159.0,image_sweep_check,14.4,OK
23.0,159.9,OK,14.4,OK
24.0,160.2,image_sweep_check,14.4,OK
25.0,160.2,image_sweep_check,14.4,OK
26.0,159.9,OK,14.4,OK
28.0,159.9,OK,14.4,OK
29.0,160.2,image_sweep_check,14.3,OK
30.0,160.5,OK_inner,14.3,OK
31.0,160.5,OK_inner,14.4,OK
32.0,159.9,OK,14.4,OK
33.0,159.6,OK_inner,14.4,OK
34.0,159.9,OK,14.3,OK
35.0,160.2,OK_inner,14.3,OK
36.0,160.8,OK_inner,14.3,OK
37.0,160.5,OK,14.3,OK
38.0,160.2,OK_inner,14.3,OK
40.0,160.2,image_sweep_check,14.3,OK
41.0,160.8,OK,14.3,OK
42.0,161.4,image_sweep_check,14.3,OK
43.0,161.1,OK,14.3,OK
44.0,160.5,OK,14.3,OK
45.0,159.9,OK,14.3,OK
46.0,160.2,image_sweep_check,14.3,OK
47.0,6.0,image_sweep_check,14.3,OK
48.0,161.4,OK,14.3,OK
50.0,160.8,OK,14.3,OK
51.0,160.2,image_sweep_check,14.3,OK
52.0,160.8,OK,14.3,OK
54.0,162.0,OK,14.3,OK
56.0,161.1,image_sweep_check,14.3,OK
57.0,160.5,OK,14.3,OK
58.0,160.8,OK_inner,14.3,OK
59.0,161.4,OK_inner,14.3,OK
60.0,162.0,OK,14.3,OK
61.0,161.7,OK,14.3,OK
62.0,161.1,OK,14.3,OK
63.0,160.8,OK_inner,14.3,OK
65.0,161.7,image_sweep_check,14.3,OK
66.0,162.3,OK,14.3,OK
67.0,162.3,OK_inner,14.3,OK
69.0,160.8,image_sweep_check,14.3,OK
70.0,161.4,OK,14.3,OK
71.0,161.7,image_sweep_check,14.3,OK
72.0,162.6,OK,14.3,OK
73.0,162.3,OK,14.3,OK
76.0,161.4,OK,14.3,OK
77.0,162.3,OK,14.3,OK
78.0,162.9,OK,14.3,OK
79.0,162.6,OK,14.3,OK
80.0,162.0,OK,14.3,OK
81.0,161.4,image_sweep_check,14.3,OK
83.0,162.3,OK,14.3,OK
84.0,163.2,image_sweep_check,14.3,OK
85.0,162.9,OK,14.3,OK
86.0,162.3,image_sweep_check,14.3,OK
88.0,162.0,OK,14.3,OK
89.0,162.6,OK,14.3,OK
90.0,163.4,OK,14.3,OK
91.0,163.2,image_sweep_check,14.3,OK
92.0,162.3,OK,14.3,OK
93.0,161.7,image_sweep_check,14.3,OK
94.0,162.3,OK,14.3,OK
95.0,162.9,OK_inner,14.3,OK
96.0,163.5,OK,14.3,OK
97.0,163.5,OK,14.3,OK
98.0,162.9,OK,14.3,OK
99.0,162.0,OK,14.3,OK
100.0,162.6,OK,14.3,OK
101.0,162.9,OK_inner,14.3,OK
102.0,163.8,OK_inner,14.3,OK
103.0,163.5,OK,14.3,OK
104.0,162.9,OK,14.3,OK
105.0,162.0,OK,14.3,OK
106.0,162.6,OK,14.3,OK
107.0,162.9,image_sweep_check,14.3,OK
108.0,163.8,OK_inner,14.3,OK
109.0,163.5,OK,14.3,OK
110.0,163.2,OK_inner,14.3,OK
111.0,162.3,OK,14.3,OK
112.0,162.6,OK,14.3,OK
113.0,163.9,image_sweep_check,14.3,OK
114.0,164.1,OK,14.3,OK
115.0,163.8,OK_inner,14.3,OK
116.0,163.2,OK_inner,14.3,OK
117.0,162.3,OK,14.3,OK
118.0,162.6,OK,14.3,OK
