,time,Viscosity,Viscosity_verbose,Temperature,Temperature_verbose
0,0.0,38.2,OK,38.1,image_sweep_check
1,1.0,38.2,OK,38.1,OK
2,2.0,38.2,OK,38.1,OK
3,3.0,38.1,image_sweep_check,38.2,OK
4,4.0,38.0,OK_inner,38.2,OK
5,5.0,38.0,OK_inner,38.2,OK
6,6.0,38.0,OK_inner,38.2,OK
7,7.0,37.9,OK,38.2,OK
8,8.0,37.9,OK,38.2,OK
9,9.0,37.9,OK,38.2,OK
10,10.0,37.8,OK,38.2,OK
11,11.0,37.7,OK_inner,38.2,OK
12,12.0,37.7,OK,38.2,OK
13,13.0,37.6,OK,38.2,OK
14,14.0,37.6,OK,38.2,OK
15,15.0,37.6,OK,38.2,OK
16,16.0,37.5,OK,38.2,OK
17,17.0,37.4,OK,38.2,OK
18,18.0,37.3,OK_inner,38.2,image_sweep_check
19,19.0,37.3,OK_inner,38.2,OK
20,20.0,37.3,OK_inner,38.2,OK
21,21.0,37.3,OK_inner,38.3,image_sweep_check
22,22.0,37.2,OK,38.3,OK
23,23.0,37.1,image_sweep_check,38.3,OK
24,24.0,37.0,OK_inner,38.4,OK
25,25.0,36.8,OK,38.5,OK
26,26.0,36.8,OK,38.5,OK
27,27.0,36.7,OK,38.6,OK
28,28.0,36.6,OK,38.7,image_sweep_check
29,29.0,36.5,OK,38.7,OK
30,30.0,36.4,OK_inner,38.8,OK
31,31.0,36.2,OK_inner,38.9,OK
32,32.0,36.2,OK,38.9,OK
33,33.0,36.1,image_sweep_check,39.0,OK
34,34.0,36.1,OK_inner,39.1,OK_inner
35,35.0,,error,39.1,OK
36,36.0,35.8,OK,39.1,OK
37,37.0,35.7,OK,39.2,OK
38,38.0,35.6,image_sweep_check,39.3,OK
39,39.0,35.6,OK_inner,39.3,OK
40,40.0,35.6,OK,39.2,OK
41,41.0,35.5,OK,39.2,OK
42,42.0,35.3,OK,39.3,OK
43,43.0,35.3,image_sweep_check,39.3,OK
44,44.0,35.2,image_sweep_check,39.3,OK
45,45.0,35.2,OK_inner,39.4,OK_inner
46,46.0,35.2,OK,39.4,OK
47,47.0,35.1,OK_inner,39.4,OK
48,48.0,35.0,OK_inner,39.4,OK
49,49.0,34.9,OK,39.4,OK
50,50.0,34.9,image_sweep_check,39.5,OK
51,51.0,34.9,OK,39.5,OK
52,52.0,34.9,OK,39.5,OK
53,53.0,34.8,OK,39.5,OK
54,54.0,34.7,OK_inner,39.5,OK
55,55.0,34.6,OK,39.5,OK
56,56.0,34.6,OK,39.5,OK
