,time,Viscosity,Viscosity_verbose,Temperature,Temperature_verbose
0,0.0,,error,,error
1,1.0,,error,,error
2,2.0,,error,,error
3,3.0,,error,,error
4,4.0,,error,14.4,OK
5,5.0,159.6,image_sweep_check,14.4,OK
6,6.0,159.6,OK_inner,14.4,OK
7,7.0,159.3,OK,14.4,OK
8,8.0,159.0,OK_inner,14.4,OK
9,9.0,159.0,image_sweep_check,14.4,OK
10,10.0,159.0,OK,14.4,OK
11,11.0,159.6,OK,14.4,OK
12,12.0,159.9,OK,14.4,OK
13,13.0,159.6,OK,14.4,OK
14,14.0,159.3,OK,14.4,OK
15,15.0,159.0,OK_inner,14.4,OK
16,16.0,,error,14.4,OK
17,17.0,159.6,image_sweep_check,14.4,OK
18,18.0,,error,14.4,OK
19,19.0,159.6,OK,14.4,OK
20,20.0,159.3,OK,14.4,OK
21,21.0,159.0,image_sweep_check,14.4,OK
22,22.0,,error,14.4,OK
23,23.0,159.9,OK,14.4,OK
24,24.0,160.2,image_sweep_check,14.4,OK
25,25.0,160.2,image_sweep_check,14.4,OK
26,26.0,159.9,OK,14.4,OK
27,27.0,,error,14.4,OK
28,28.0,159.9,OK,14.4,OK
29,29.0,160.2,image_sweep_check,14.3,OK
30,30.0,160.5,OK_inner,14.3,OK
31,31.0,160.5,OK_inner,14.4,OK
32,32.0,159.9,OK,14.4,OK
33,33.0,159.6,OK_inner,14.4,OK
34,34.0,159.9,OK,14.3,OK
35,35.0,160.2,OK_inner,14.3,OK
36,36.0,160.8,OK_inner,14.3,OK
37,37.0,160.5,OK,14.3,OK
38,38.0,160.2,OK_inner,14.3,OK
39,39.0,,error,14.3,OK
40,40.0,160.2,image_sweep_check,14.3,OK
41,41.0,160.8,OK,14.3,OK
42,42.0,161.4,image_sweep_check,14.3,OK
43,43.0,161.1,OK,14.3,OK
44,44.0,160.5,OK,14.3,OK
45,45.0,159.9,OK,14.3,OK
46,46.0,160.2,image_sweep_check,14.3,OK
47,47.0,6.0,image_sweep_check,14.3,OK
48,48.0,161.4,OK,14.3,OK
49,49.0,,error,14.3,OK
50,50.0,160.8,OK,14.3,OK
51,51.0,160.2,image_sweep_check,14.3,OK
52,52.0,160.8,OK,14.3,OK
53,53.0,,error,14.3,OK
54,54.0,162.0,OK,14.3,OK
55,55.0,,error,14.3,OK
56,56.0,161.1,image_sweep_check,14.3,OK
57,57.0,160.5,OK,14.3,OK
58,58.0,160.8,OK_inner,14.3,OK
59,59.0,161.4,OK_inner,14.3,OK
60,60.0,162.0,OK,14.3,OK
61,61.0,161.7,OK,14.3,OK
62,62.0,161.1,OK,14.3,OK
63,63.0,160.8,OK_inner,14.3,OK
64,64.0,,error,14.3,OK
65,65.0,161.7,image_sweep_check,14.3,OK
66,66.0,162.3,OK,14.3,OK
67,67.0,162.3,OK_inner,14.3,OK
68,68.0,,error,14.3,OK
69,69.0,160.8,image_sweep_check,14.3,OK
70,70.0,161.4,OK,14.3,OK
71,71.0,161.7,image_sweep_check,14.3,OK
72,72.0,162.6,OK,14.3,OK
73,73.0,162.3,OK,14.3,OK
74,74.0,,error,14.3,OK
75,75.0,,error,14.3,OK
76,76.0,161.4,OK,14.3,OK
77,77.0,162.3,OK,14.3,OK
78,78.0,162.9,OK,14.3,OK
79,79.0,162.6,OK,14.3,OK
80,80.0,162.0,OK,14.3,OK
81,81.0,161.4,image_sweep_check,14.3,OK
82,82.0,,error,14.3,OK
83,83.0,162.3,OK,14.3,OK
84,84.0,163.2,image_sweep_check,14.3,OK
85,85.0,162.9,OK,14.3,OK
86,86.0,162.3,image_sweep_check,14.3,OK
87,87.0,,error,14.3,OK
88,88.0,162.0,OK,14.3,OK
89,89.0,162.6,OK,14.3,OK
