,time,Viscosity,Viscosity_verbose,Temperature,Temperature_verbose
0,0.0,26.2,OK_inner,40.2,OK
1,2.0,26.3,OK,40.2,OK
2,4.0,26.1,OK_inner,40.3,OK
3,6.0,26.0,OK,40.3,OK
4,8.0,26.0,OK,40.4,OK
5,10.0,25.9,OK,40.4,OK
6,12.0,25.7,OK,40.5,OK
7,14.0,25.7,OK,40.5,OK
8,16.0,25.7,OK,40.6,OK
9,18.0,25.5,OK,40.6,OK
10,20.0,25.5,OK,40.6,OK
11,22.0,25.6,OK,40.6,OK
12,24.0,25.4,OK,40.6,OK
13,26.0,25.4,OK,40.6,OK
14,28.0,25.4,OK,40.6,OK
15,30.0,25.3,OK,40.6,OK
16,32.0,25.3,OK,40.6,OK
17,34.0,25.3,OK,40.6,OK
18,36.0,25.2,OK,40.6,OK
19,38.0,25.2,image_sweep_check,40.6,OK
20,40.0,25.2,OK,40.6,OK
21,42.0,25.0,OK,40.7,OK
22,44.0,25.0,image_sweep_check,40.7,OK
23,46.0,25.1,OK,40.7,OK
24,48.0,24.9,OK,40.7,OK
25,50.0,25.0,OK,40.7,OK
26,52.0,25.0,OK,40.7,OK
27,54.0,24.8,OK,40.7,OK
28,56.0,24.8,OK,40.7,OK
29,58.0,24.9,OK,40.7,OK
30,60.0,24.7,OK_inner,40.7,OK
31,62.0,24.7,OK_inner,40.7,OK
32,64.0,24.8,OK,40.8,OK
33,66.0,24.6,OK,40.8,OK
34,68.0,24.7,OK_inner,40.8,OK
35,70.0,24.7,OK,40.8,OK
36,72.0,24.5,OK,40.8,OK
37,74.0,24.6,OK,40.8,OK
38,76.0,24.7,OK,40.8,OK
39,78.0,24.5,OK,40.8,OK
40,80.0,24.5,OK,40.8,OK
41,82.0,24.5,OK,40.8,OK
42,84.0,24.4,OK,40.8,OK
43,86.0,24.5,OK,40.8,OK
44,88.0,24.5,OK,40.8,OK
45,90.0,24.4,OK,40.8,OK
46,92.0,24.4,OK,40.7,OK
47,94.0,24.5,OK,40.8,OK
48,96.0,24.4,OK,40.7,OK
49,98.0,24.4,OK,40.7,OK
50,100.0,24.4,OK,40.7,OK
51,102.0,24.3,OK,40.7,OK
52,104.0,24.3,OK,40.7,OK
53,106.0,24.4,OK,40.7,OK
54,108.0,24.3,OK,40.7,OK
55,110.0,24.3,OK,40.7,OK
56,112.0,24.4,OK,40.7,OK
57,114.0,24.2,OK,40.7,OK
58,116.0,24.2,OK,40.7,OK
59,118.0,24.4,OK,40.7,OK
60,120.0,24.2,OK,40.7,OK
61,122.0,24.2,OK,40.7,OK
62,124.0,24.3,OK,40.6,OK
63,126.0,24.2,OK,40.0,OK
64,128.0,24.2,OK,40.6,OK
65,130.0,24.2,OK,40.6,OK
66,132.0,24.2,OK,40.6,OK
67,134.0,24.2,OK,40.6,OK
68,136.0,24.2,OK,40.6,OK
69,138.0,24.1,OK,40.6,OK
70,140.0,24.2,OK,40.6,OK
71,142.0,24.2,OK,40.6,OK
72,144.0,24.1,OK,40.6,OK
73,146.0,24.1,OK,40.6,OK
74,148.0,24.2,OK,40.6,OK
75,150.0,24.1,OK,40.6,OK
76,152.0,24.2,OK,40.6,OK
77,154.0,24.2,OK,40.6,OK
78,156.0,24.2,OK,40.6,OK
79,158.0,24.2,OK,40.6,OK
80,160.0,24.2,OK,40.6,OK
81,162.0,24.2,OK,40.6,OK
82,164.0,24.1,OK,40.6,OK
83,166.0,24.2,OK,40.6,OK
84,168.0,24.2,OK_inner,40.6,OK
85,170.0,24.1,OK,40.6,OK
86,172.0,24.2,OK,40.6,OK
87,174.0,24.1,OK,40.5,OK
88,176.0,24.2,OK,40.5,OK
89,178.0,24.2,OK,40.5,OK
90,180.0,24.1,OK,40.5,OK
91,182.0,24.1,OK,40.5,OK
92,184.0,24.2,OK,40.5,OK
93,186.0,24.1,OK,40.5,OK
