,time,Viscosity,Viscosity_verbose,Temperature,Temperature_verbose
0,0.0,7.4,OK,14.9,OK
1,2.0,77.6,OK_inner,14.9,OK
2,4.0,7.5,OK,14.8,OK
3,6.0,78.0,OK,14.8,OK
4,8.0,77.7,OK_inner,14.8,OK
5,10.0,78.6,OK_inner,14.8,OK
6,12.0,78.0,OK,14.8,OK
7,14.0,78.3,OK_inner,14.7,OK_inner
8,16.0,78.7,OK,14.7,OK_inner
9,18.0,78.0,OK,14.7,OK_inner
10,20.0,78.9,OK_inner,14.8,OK
11,22.0,79.3,OK_inner,14.8,OK
12,24.0,79.5,OK,14.8,OK
13,26.0,79.3,OK_inner,14.8,OK
14,28.0,79.9,OK,14.8,OK
15,30.0,80.9,OK,14.7,OK_inner
16,32.0,79.8,OK,14.7,OK_inner
17,34.0,80.6,OK,14.7,OK_inner
18,36.0,80.6,OK,14.7,OK_inner
19,38.0,80.2,OK,14.7,OK_inner
20,40.0,80.0,OK,14.7,OK_inner
21,42.0,80.0,OK,14.7,OK_inner
22,44.0,80.7,OK,14.6,OK
23,46.0,81.1,image_sweep_check,14.6,OK
24,48.0,81.4,OK_inner,14.6,OK
25,50.0,81.1,OK_inner,14.6,OK
26,52.0,81.8,OK,14.6,OK
27,54.0,81.0,OK,14.6,OK
28,56.0,81.6,OK,14.6,OK
29,58.0,82.0,OK,14.6,OK
30,60.0,82.0,OK,14.6,OK
31,62.0,81.9,OK,14.6,OK
32,64.0,82.3,OK,14.6,OK
33,66.0,82.5,OK,14.5,OK
34,68.0,82.2,OK,14.5,OK
35,70.0,82.9,OK,14.5,OK
36,72.0,82.8,OK,14.5,OK
37,74.0,82.5,OK,14.5,OK
38,76.0,83.2,OK,14.5,OK
39,78.0,83.2,OK,14.5,OK
40,80.0,82.8,OK,14.5,OK
41,82.0,83.4,OK_inner,14.5,OK
42,84.0,83.6,OK,14.5,OK
43,86.0,83.2,OK,14.5,OK
44,88.0,83.0,OK,14.5,OK
45,90.0,83.8,OK,14.4,OK
46,92.0,83.4,OK_inner,14.4,OK
47,94.0,84.0,OK,14.4,OK
48,96.0,84.8,OK,14.4,OK
49,98.0,83.7,OK,14.4,OK
50,100.0,84.3,OK,14.4,OK
51,102.0,84.3,image_sweep_check,14.4,OK
52,104.0,84.0,OK,14.4,OK
53,106.0,84.4,OK,14.4,OK
54,108.0,84.6,OK,14.4,OK
55,110.0,84.0,OK_inner,14.4,OK
56,112.0,84.4,OK,14.4,OK
57,114.0,84.6,OK,14.4,OK
58,116.0,84.1,OK,14.4,OK
59,118.0,84.7,OK,14.4,OK
60,120.0,84.0,OK,14.4,OK
61,122.0,84.1,image_sweep_check,14.6,OK
62,124.0,84.4,OK,14.5,OK
63,126.0,84.3,OK,14.6,OK
64,128.0,83.5,OK,14.7,OK_inner
65,130.0,83.7,image_sweep_check,14.8,OK
66,132.0,83.4,OK_inner,14.8,OK
67,134.0,82.8,OK,14.9,OK
68,136.0,82.9,OK,15.0,OK
69,138.0,82.9,OK,15.0,OK_inner
70,140.0,82.5,OK,15.1,OK
71,142.0,82.8,OK,15.1,OK
72,144.0,82.8,OK,15.1,OK
73,146.0,82.2,OK,15.1,OK
74,148.0,82.9,OK,15.0,OK_inner
75,150.0,82.9,OK,15.0,OK
76,152.0,82.6,OK,15.0,OK
77,154.0,83.1,image_sweep_check,14.9,OK
