time,Viscosity,Viscosity_verbose,Temperature,Temperature_verbose
0.0,17.9,OK,40.2,OK
2.0,17.9,OK,40.2,OK_inner
4.0,17.9,OK,40.2,OK_inner
6.0,17.9,OK,40.2,OK
8.0,17.9,OK,40.1,OK
10.0,17.9,OK,40.1,OK
12.0,17.9,OK,40.2,OK
14.0,17.9,OK,40.2,OK
16.0,17.9,OK,40.1,OK
18.0,17.9,OK,40.1,OK
20.0,17.9,OK,40.1,OK
22.0,17.9,OK,40.1,OK
24.0,17.9,OK,40.1,OK
26.0,17.9,OK,40.1,OK
28.0,17.9,OK,40.1,OK
30.0,17.9,OK,40.1,OK
32.0,17.9,OK,40.1,OK
34.0,18.0,OK,40.1,OK
36.0,18.0,OK,40.0,OK
38.0,18.0,OK,40.0,OK
40.0,18.0,OK,40.0,OK
42.0,18.0,OK,40.0,OK
44.0,18.0,OK,40.0,OK
46.0,18.0,OK,39.9,OK
48.0,18.0,OK,39.9,OK
50.0,18.0,OK,39.9,OK
52.0,18.0,OK_inner,39.8,OK
54.0,18.0,OK,39.8,OK
56.0,18.0,OK,39.8,OK
58.0,18.0,OK,39.8,OK
60.0,18.0,OK,39.7,image_sweep_check
62.0,18.0,OK,39.7,OK_inner
64.0,18.0,OK,39.7,OK_inner
66.0,18.1,OK,39.6,OK
68.0,18.1,OK,39.6,OK
70.0,18.1,OK,39.6,OK
72.0,18.1,OK,39.6,OK
74.0,18.1,OK,39.6,OK
76.0,18.1,OK,39.5,OK
78.0,18.1,OK,39.5,OK
80.0,18.1,OK,39.5,OK
82.0,18.1,OK,39.5,OK
84.0,18.1,OK,39.4,OK
86.0,18.1,OK,39.4,OK
88.0,18.1,OK,39.4,OK
90.0,18.2,OK,39.4,OK
92.0,18.2,OK,39.3,OK
94.0,18.2,OK,39.3,OK
96.0,18.2,OK,39.3,OK
98.0,18.2,OK,39.3,OK
100.0,18.2,OK,39.2,OK
102.0,18.3,OK,39.2,OK_inner
104.0,18.3,OK,39.3,OK
106.0,18.3,OK,39.3,OK
108.0,18.3,OK,39.2,OK
110.0,18.3,OK,39.2,OK
112.0,18.3,OK,39.2,OK
114.0,18.3,OK,39.2,OK
116.0,18.4,OK_inner,39.1,OK
118.0,18.4,OK_inner,39.1,OK
120.0,18.4,OK,39.1,OK
122.0,18.4,OK,39.1,OK
124.0,18.4,OK_inner,39.1,OK
126.0,18.4,OK,39.1,OK
128.0,18.4,OK,39.0,OK
130.0,18.4,OK_inner,39.0,OK
132.0,18.5,OK,39.0,OK
134.0,18.5,OK,39.0,OK
136.0,18.5,OK,39.0,OK
138.0,18.5,OK,38.9,OK
140.0,18.5,OK,38.9,image_sweep_check
142.0,18.5,OK,38.9,OK
144.0,18.5,OK,38.9,OK
146.0,18.6,OK,38.9,OK_inner
148.0,18.6,OK,38.9,OK
150.0,18.6,OK,38.8,OK
152.0,18.6,OK,38.8,OK
154.0,18.6,OK,38.8,OK
156.0,18.7,OK,38.8,OK
158.0,18.7,OK,38.8,OK
160.0,18.7,OK,38.7,image_sweep_check
162.0,18.7,OK,38.7,OK
164.0,18.7,OK,38.7,OK_inner
166.0,18.7,OK,38.7,OK_inner
168.0,18.7,OK,38.7,OK_inner
170.0,18.7,OK,38.7,OK_inner
172.0,18.7,OK,38.7,OK
174.0,18.7,OK,38.6,OK
176.0,18.7,OK,38.6,OK
178.0,18.8,OK,38.6,OK
180.0,18.8,OK,38.6,OK
182.0,18.8,OK,38.6,OK
184.0,18.8,OK,38.6,OK
186.0,18.8,OK,38.6,OK
188.0,18.8,OK,38.5,OK
190.0,18.8,OK,38.5,OK
192.0,18.9,OK,38.5,OK
194.0,18.9,OK,38.5,OK
196.0,18.9,OK,38.5,OK
198.0,18.9,OK,38.5,OK
200.0,18.9,OK,38.4,OK
202.0,18.9,OK,38.4,OK
204.0,18.9,OK,38.4,OK
206.0,18.9,OK,38.4,OK
208.0,19.0,OK,38.4,OK
210.0,19.0,OK_inner,38.4,OK
212.0,19.0,OK,38.4,OK
214.0,19.0,OK,38.3,OK
216.0,19.0,OK,38.3,OK
218.0,19.0,OK_inner,38.3,image_sweep_check
220.0,19.0,OK,38.3,image_sweep_check
222.0,19.0,OK,38.3,OK
224.0,19.0,OK,38.3,OK
226.0,19.1,OK,38.3,OK
228.0,19.1,OK,38.3,OK
230.0,19.1,OK,38.3,OK
232.0,19.1,OK,38.2,OK
234.0,19.1,OK,38.2,OK
236.0,19.1,OK,38.2,OK
238.0,19.1,OK,38.2,OK
240.0,19.1,OK,38.2,OK
242.0,19.2,OK,38.2,OK_inner
244.0,19.2,OK,38.2,OK
246.0,19.2,OK,38.1,OK
248.0,19.2,OK,38.1,OK
250.0,19.2,OK,38.1,OK
252.0,19.2,OK,38.1,OK
254.0,19.2,OK,38.1,OK
256.0,19.2,OK,38.1,OK
258.0,19.3,OK,38.1,OK
260.0,19.3,OK,38.1,OK
262.0,19.3,OK,38.1,OK
264.0,19.3,OK,38.1,OK
266.0,19.3,OK,38.0,OK
268.0,19.3,OK,38.0,OK
270.0,19.3,OK,38.0,OK
272.0,19.3,OK,38.0,OK
274.0,19.3,OK,38.0,OK
276.0,19.3,OK,38.0,OK
278.0,19.3,OK,38.0,OK
280.0,19.4,OK,37.9,OK
282.0,19.4,OK,37.9,OK
284.0,19.4,OK_inner,37.9,OK
286.0,19.4,OK,37.9,OK
288.0,19.4,OK_inner,37.9,OK
290.0,19.4,OK,37.9,OK
292.0,19.4,OK_inner,37.9,OK
294.0,19.4,OK_inner,37.9,OK
296.0,19.5,OK,37.9,OK
298.0,19.5,OK,37.9,OK
300.0,19.5,OK,37.9,OK
302.0,19.5,OK,37.8,OK
304.0,19.5,OK,37.8,OK
306.0,19.5,OK,37.8,OK
308.0,19.5,OK,37.8,OK
310.0,19.5,OK,37.8,OK
312.0,19.5,OK,37.8,OK
314.0,19.5,OK,37.8,OK
316.0,19.6,OK,37.7,OK_inner
318.0,19.6,OK,37.7,OK_inner
320.0,19.6,OK,37.7,OK_inner
322.0,19.6,OK,37.7,OK_inner
324.0,19.6,OK,37.7,OK_inner
326.0,19.6,OK,37.7,OK_inner
328.0,19.6,OK,37.7,OK_inner
330.0,19.6,OK,37.7,OK_inner
332.0,19.6,OK,37.7,OK_inner
334.0,19.6,OK,37.7,OK_inner
336.0,19.6,OK,37.7,OK_inner
338.0,19.6,OK,37.7,OK_inner
340.0,19.7,OK,37.6,OK
342.0,19.7,OK,37.6,OK
344.0,19.7,OK,37.6,OK
346.0,19.7,OK,37.6,OK
348.0,19.7,OK,37.6,OK
350.0,19.7,OK,37.6,OK
352.0,19.7,OK,37.6,OK
354.0,19.8,OK,37.6,OK
356.0,19.8,OK,37.5,OK
358.0,19.8,OK,7.5,OK
360.0,19.8,OK,37.5,OK
362.0,19.8,OK,37.5,OK
364.0,19.8,OK,37.5,OK
366.0,19.8,OK,37.5,OK
368.0,19.8,OK,37.5,OK
370.0,19.8,OK,37.5,OK
372.0,19.8,OK,37.5,OK
374.0,19.8,OK,37.5,OK
376.0,19.8,OK,37.5,OK
378.0,19.9,OK,37.4,OK
380.0,19.9,OK,37.4,OK
382.0,19.9,OK,37.4,OK
384.0,19.9,OK,37.4,OK
386.0,19.9,OK,37.4,OK
388.0,19.9,OK,37.4,OK
390.0,19.9,OK,37.4,OK
392.0,19.9,OK,37.4,OK
394.0,19.9,OK,37.4,OK_inner
396.0,19.9,OK,37.4,OK
398.0,19.9,OK,37.4,OK
400.0,19.9,OK,37.3,OK_inner
402.0,19.9,OK,37.3,OK
404.0,10.9,OK,37.3,OK_inner
406.0,20.0,OK_inner,37.3,OK_inner
408.0,20.0,OK_inner,37.3,OK_inner
410.0,20.0,OK_inner,37.3,OK_inner
412.0,20.0,OK_inner,37.3,OK_inner
414.0,20.0,OK_inner,37.3,OK
416.0,20.0,OK_inner,37.3,OK_inner
418.0,20.0,OK_inner,37.3,OK_inner
420.0,20.0,OK_inner,37.3,OK_inner
422.0,20.0,OK_inner,37.2,OK_inner
424.0,20.0,image_sweep_check,37.2,image_sweep_check
426.0,20.1,OK,37.2,OK_inner
428.0,20.1,OK,37.2,OK_inner
430.0,20.1,OK,37.2,image_sweep_check
432.0,20.1,OK,37.2,OK_inner
434.0,20.1,OK,37.2,OK_inner
436.0,20.1,OK,37.2,OK_inner
438.0,20.1,OK,37.2,OK_inner
440.0,20.1,OK,37.2,OK_inner
442.0,20.1,OK,37.2,OK_inner
446.0,20.1,OK,37.1,OK
448.0,20.1,OK,37.1,OK
450.0,20.1,OK,37.1,OK
452.0,20.2,OK,37.1,OK
454.0,20.2,OK,37.1,OK
456.0,20.2,OK,37.1,OK
458.0,20.2,OK,37.1,OK
460.0,20.2,OK,37.1,OK
462.0,20.2,OK,37.1,OK
464.0,20.2,OK,37.1,OK
466.0,20.2,OK,37.1,OK
468.0,20.2,OK,37.1,OK
470.0,20.2,OK,37.1,OK
472.0,20.2,OK,37.1,OK
474.0,20.2,OK,37.1,OK
476.0,20.2,image_sweep_check,37.0,OK
478.0,20.2,OK,37.0,OK
480.0,20.2,OK,37.0,OK
482.0,20.2,OK,37.0,OK
484.0,20.3,image_sweep_check,37.0,OK
486.0,20.3,OK_inner,37.0,OK
488.0,20.3,OK_inner,37.0,OK
490.0,20.3,OK_inner,37.0,OK
492.0,20.3,OK,37.0,OK
494.0,20.3,OK,30.0,OK
496.0,20.3,OK_inner,36.9,OK
498.0,20.3,OK,36.9,OK
500.0,20.3,OK,36.9,image_sweep_check
502.0,20.3,image_sweep_check,36.9,OK_inner
504.0,20.3,OK,36.9,OK
506.0,20.4,OK_inner,36.9,OK_inner
508.0,20.4,OK_inner,36.9,OK
510.0,20.4,OK_inner,36.9,OK_inner
512.0,20.4,OK_inner,36.9,OK_inner
514.0,20.4,OK_inner,36.9,OK
516.0,20.4,OK_inner,36.9,OK
518.0,20.4,OK_inner,36.9,OK_inner
520.0,20.4,OK_inner,36.9,OK
522.0,20.4,OK_inner,36.9,OK
524.0,20.4,OK_inner,36.9,OK_inner
