time,Viscosity,Viscosity_verbose,Temperature,Temperature_verbose
0.0,69.1,OK,14.8,OK
2.0,69.6,OK_inner,14.8,OK
4.0,69.1,OK,14.7,OK
6.0,69.6,OK,14.8,OK
8.0,69.1,OK,14.8,OK
10.0,69.8,OK,14.8,OK
12.0,69.0,OK,14.8,OK
14.0,69.3,OK,14.8,OK
16.0,69.4,OK,14.8,OK
18.0,69.6,OK,14.8,OK
20.0,69.4,OK,14.8,OK
22.0,69.6,OK,14.8,OK
24.0,69.7,OK,14.8,OK
26.0,69.6,OK,14.8,OK
28.0,69.6,OK,14.7,OK_inner
30.0,69.9,OK_inner,14.7,OK_inner
32.0,69.6,OK,14.7,OK_inner
34.0,69.7,OK,14.7,OK_inner
36.0,69.0,OK,14.7,OK_inner
38.0,69.7,OK,14.7,OK_inner
40.0,60.0,OK,14.7,OK_inner
42.0,60.0,OK,14.7,OK
44.0,69.7,OK,14.7,OK_inner
46.0,70.0,OK,14.7,OK_inner
48.0,70.0,image_sweep_check,14.7,OK_inner
50.0,69.9,OK,14.7,OK_inner
52.0,70.0,OK_inner,14.7,OK_inner
54.0,70.2,OK,14.7,OK_inner
56.0,69.9,OK,14.7,OK
58.0,70.3,image_sweep_check,14.7,OK_inner
60.0,70.3,OK,14.7,OK_inner
62.0,70.0,OK,14.7,OK_inner
64.0,70.2,OK_inner,14.7,OK_inner
66.0,70.0,OK,14.3,OK_inner
68.0,69.7,OK,14.8,OK
70.0,69.7,OK,14.9,OK
72.0,69.6,OK,15.0,OK
74.0,69.6,image_sweep_check,15.1,OK_inner
76.0,69.0,OK,15.1,OK
78.0,69.4,OK_inner,15.1,OK
80.0,69.1,OK,15.1,image_sweep_check
82.0,69.0,OK,15.1,OK
84.0,69.4,OK_inner,15.0,OK
86.0,69.1,OK,15.0,OK
88.0,69.4,OK,15.0,OK
90.0,69.6,OK,15.0,OK
92.0,69.3,OK,15.0,OK
94.0,69.4,OK,14.9,OK
96.0,69.8,OK,14.9,OK
98.0,69.3,OK,14.9,OK
100.0,69.4,OK,14.9,OK
102.0,69.6,OK,14.9,OK
104.0,69.3,OK,14.9,OK
106.0,69.4,OK,14.9,OK
108.0,69.4,OK_inner,15.0,OK
110.0,69.0,OK_inner,15.1,OK
112.0,69.1,OK,15.1,OK
114.0,69.0,OK,15.2,OK
116.0,68.5,OK,15.3,OK
118.0,68.3,OK,15.3,OK
120.0,68.7,OK,15.3,OK
122.0,68.2,OK,15.3,OK
124.0,68.0,OK,15.3,OK
126.0,68.0,OK,15.3,OK
128.0,68.2,OK,15.3,OK
130.0,68.5,OK_inner,15.3,OK
132.0,68.7,OK,15.3,OK
134.0,68.4,OK,15.3,OK
136.0,68.5,OK_inner,15.2,OK
138.0,68.0,OK,15.2,OK
140.0,68.2,OK,15.2,OK
142.0,68.0,OK,15.2,OK
144.0,68.0,OK,15.2,OK
146.0,68.2,OK,15.2,OK
148.0,68.0,OK,15.2,OK
150.0,68.5,OK,15.2,OK
154.0,68.2,OK,15.3,OK
156.0,68.4,OK,15.3,OK
158.0,67.9,OK,15.4,OK
160.0,60.9,OK,15.4,OK
162.0,67.9,OK,15.4,OK
164.0,67.6,OK,15.5,OK
166.0,67.8,OK,15.5,OK
168.0,67.8,OK,15.5,OK
170.0,67.5,OK,15.5,OK
172.0,67.8,OK,15.5,OK
174.0,67.9,OK,15.5,OK
176.0,67.5,OK,15.5,OK
178.0,67.8,OK,15.4,OK
180.0,67.8,OK,15.4,OK
182.0,67.5,OK,15.4,OK
184.0,67.8,OK,15.4,OK
186.0,67.8,OK,15.4,OK
188.0,67.5,OK,15.4,OK
190.0,67.8,OK,15.4,OK
192.0,67.8,OK,15.4,OK
194.0,67.5,OK,15.4,OK
196.0,67.6,OK,15.4,OK
198.0,67.8,OK,15.5,OK
200.0,67.2,OK,15.5,OK
202.0,67.5,OK,15.5,OK
204.0,67.5,OK,15.5,OK
206.0,67.0,OK,15.6,OK
208.0,67.2,OK,15.6,OK
210.0,67.3,OK,15.6,OK
212.0,66.9,image_sweep_check,15.6,OK
214.0,67.0,OK,15.6,OK
216.0,67.2,OK,15.6,OK
218.0,66.9,OK_inner,15.6,OK
220.0,67.0,OK,15.6,OK
222.0,67.2,OK,15.6,OK
224.0,66.9,OK_inner,15.6,OK
226.0,67.0,OK,15.6,OK
228.0,67.2,OK,15.6,OK
230.0,66.7,OK,15.6,OK
232.0,67.0,OK,15.6,OK
234.0,67.0,OK,15.6,OK
236.0,66.7,OK,15.6,OK
238.0,66.9,OK,15.6,OK
240.0,67.0,OK,15.6,OK
242.0,66.7,OK,15.6,OK
244.0,66.9,OK,15.6,OK
246.0,67.0,OK,15.6,OK
248.0,66.6,OK,15.6,OK
250.0,66.7,OK_inner,15.6,OK
252.0,66.9,OK,15.6,OK
254.0,66.4,OK,15.6,OK
256.0,66.6,OK,15.7,OK
258.0,66.7,OK,15.7,OK
