,time,Viscosity,Viscosity_verbose,Temperature,Temperature_verbose
0,0.0,17.9,OK,40.2,OK
1,2.0,17.9,OK,40.2,OK_inner
2,4.0,17.9,OK,40.2,OK_inner
3,6.0,17.9,OK,40.2,OK
4,8.0,17.9,OK,40.1,OK
5,10.0,17.9,OK,40.1,OK
6,12.0,17.9,OK,40.2,OK
7,14.0,17.9,OK,40.2,OK
8,16.0,17.9,OK,40.1,OK
9,18.0,17.9,OK,40.1,OK
10,20.0,17.9,OK,40.1,OK
11,22.0,17.9,OK,40.1,OK
12,24.0,17.9,OK,40.1,OK
13,26.0,17.9,OK,40.1,OK
14,28.0,17.9,OK,40.1,OK
15,30.0,17.9,OK,40.1,OK
16,32.0,17.9,OK,40.1,OK
17,34.0,18.0,OK,40.1,OK
18,36.0,18.0,OK,40.0,OK
19,38.0,18.0,OK,40.0,OK
20,40.0,18.0,OK,40.0,OK
21,42.0,18.0,OK,40.0,OK
22,44.0,18.0,OK,40.0,OK
23,46.0,18.0,OK,39.9,OK
24,48.0,18.0,OK,39.9,OK
25,50.0,18.0,OK,39.9,OK
26,52.0,18.0,OK_inner,39.8,OK
27,54.0,18.0,OK,39.8,OK
28,56.0,18.0,OK,39.8,OK
29,58.0,18.0,OK,39.8,OK
30,60.0,18.0,OK,39.7,image_sweep_check
31,62.0,18.0,OK,39.7,OK_inner
32,64.0,18.0,OK,39.7,OK_inner
33,66.0,18.1,OK,39.6,OK
34,68.0,18.1,OK,39.6,OK
35,70.0,18.1,OK,39.6,OK
36,72.0,18.1,OK,39.6,OK
37,74.0,18.1,OK,39.6,OK
38,76.0,18.1,OK,39.5,OK
39,78.0,18.1,OK,39.5,OK
40,80.0,18.1,OK,39.5,OK
41,82.0,18.1,OK,39.5,OK
42,84.0,18.1,OK,39.4,OK
43,86.0,18.1,OK,39.4,OK
44,88.0,18.1,OK,39.4,OK
45,90.0,18.2,OK,39.4,OK
46,92.0,18.2,OK,39.3,OK
47,94.0,18.2,OK,39.3,OK
48,96.0,18.2,OK,39.3,OK
49,98.0,18.2,OK,39.3,OK
50,100.0,18.2,OK,39.2,OK
51,102.0,18.3,OK,39.2,OK_inner
52,104.0,18.3,OK,39.3,OK
53,106.0,18.3,OK,39.3,OK
54,108.0,18.3,OK,39.2,OK
55,110.0,18.3,OK,39.2,OK
56,112.0,18.3,OK,39.2,OK
57,114.0,18.3,OK,39.2,OK
58,116.0,18.4,OK_inner,39.1,OK
59,118.0,18.4,OK_inner,39.1,OK
60,120.0,18.4,OK,39.1,OK
61,122.0,18.4,OK,39.1,OK
62,124.0,18.4,OK_inner,39.1,OK
63,126.0,18.4,OK,39.1,OK
64,128.0,18.4,OK,39.0,OK
65,130.0,18.4,OK_inner,39.0,OK
66,132.0,18.5,OK,39.0,OK
67,134.0,18.5,OK,39.0,OK
68,136.0,18.5,OK,39.0,OK
69,138.0,18.5,OK,38.9,OK
70,140.0,18.5,OK,38.9,image_sweep_check
71,142.0,18.5,OK,38.9,OK
72,144.0,18.5,OK,38.9,OK
73,146.0,18.6,OK,38.9,OK_inner
74,148.0,18.6,OK,38.9,OK
75,150.0,18.6,OK,38.8,OK
76,152.0,18.6,OK,38.8,OK
77,154.0,18.6,OK,38.8,OK
78,156.0,18.7,OK,38.8,OK
79,158.0,18.7,OK,38.8,OK
80,160.0,18.7,OK,38.7,image_sweep_check
81,162.0,18.7,OK,38.7,OK
82,164.0,18.7,OK,38.7,OK_inner
83,166.0,18.7,OK,38.7,OK_inner
84,168.0,18.7,OK,38.7,OK_inner
85,170.0,18.7,OK,38.7,OK_inner
86,172.0,18.7,OK,38.7,OK
87,174.0,18.7,OK,38.6,OK
88,176.0,18.7,OK,38.6,OK
89,178.0,18.8,OK,38.6,OK
90,180.0,18.8,OK,38.6,OK
91,182.0,18.8,OK,38.6,OK
92,184.0,18.8,OK,38.6,OK
93,186.0,18.8,OK,38.6,OK
94,188.0,18.8,OK,38.5,OK
95,190.0,18.8,OK,38.5,OK
96,192.0,18.9,OK,38.5,OK
97,194.0,18.9,OK,38.5,OK
98,196.0,18.9,OK,38.5,OK
99,198.0,18.9,OK,38.5,OK
100,200.0,18.9,OK,38.4,OK
101,202.0,18.9,OK,38.4,OK
102,204.0,18.9,OK,38.4,OK
103,206.0,18.9,OK,38.4,OK
104,208.0,19.0,OK,38.4,OK
105,210.0,19.0,OK_inner,38.4,OK
106,212.0,19.0,OK,38.4,OK
107,214.0,19.0,OK,38.3,OK
108,216.0,19.0,OK,38.3,OK
109,218.0,19.0,OK_inner,38.3,image_sweep_check
110,220.0,19.0,OK,38.3,image_sweep_check
111,222.0,19.0,OK,38.3,OK
112,224.0,19.0,OK,38.3,OK
113,226.0,19.1,OK,38.3,OK
114,228.0,19.1,OK,38.3,OK
115,230.0,19.1,OK,38.3,OK
116,232.0,19.1,OK,38.2,OK
117,234.0,19.1,OK,38.2,OK
118,236.0,19.1,OK,38.2,OK
119,238.0,19.1,OK,38.2,OK
120,240.0,19.1,OK,38.2,OK
121,242.0,19.2,OK,38.2,OK_inner
122,244.0,19.2,OK,38.2,OK
123,246.0,19.2,OK,38.1,OK
124,248.0,19.2,OK,38.1,OK
125,250.0,19.2,OK,38.1,OK
126,252.0,19.2,OK,38.1,OK
127,254.0,19.2,OK,38.1,OK
128,256.0,19.2,OK,38.1,OK
129,258.0,19.3,OK,38.1,OK
130,260.0,19.3,OK,38.1,OK
131,262.0,19.3,OK,38.1,OK
132,264.0,19.3,OK,38.1,OK
133,266.0,19.3,OK,38.0,OK
134,268.0,19.3,OK,38.0,OK
135,270.0,19.3,OK,38.0,OK
136,272.0,19.3,OK,38.0,OK
137,274.0,19.3,OK,38.0,OK
138,276.0,19.3,OK,38.0,OK
139,278.0,19.3,OK,38.0,OK
140,280.0,19.4,OK,37.9,OK
141,282.0,19.4,OK,37.9,OK
142,284.0,19.4,OK_inner,37.9,OK
143,286.0,19.4,OK,37.9,OK
144,288.0,19.4,OK_inner,37.9,OK
145,290.0,19.4,OK,37.9,OK
146,292.0,19.4,OK_inner,37.9,OK
147,294.0,19.4,OK_inner,37.9,OK
148,296.0,19.5,OK,37.9,OK
149,298.0,19.5,OK,37.9,OK
150,300.0,19.5,OK,37.9,OK
151,302.0,19.5,OK,37.8,OK
152,304.0,19.5,OK,37.8,OK
153,306.0,19.5,OK,37.8,OK
154,308.0,19.5,OK,37.8,OK
155,310.0,19.5,OK,37.8,OK
156,312.0,19.5,OK,37.8,OK
157,314.0,19.5,OK,37.8,OK
158,316.0,19.6,OK,37.7,OK_inner
159,318.0,19.6,OK,37.7,OK_inner
160,320.0,19.6,OK,37.7,OK_inner
161,322.0,19.6,OK,37.7,OK_inner
162,324.0,19.6,OK,37.7,OK_inner
163,326.0,19.6,OK,37.7,OK_inner
164,328.0,19.6,OK,37.7,OK_inner
165,330.0,19.6,OK,37.7,OK_inner
166,332.0,19.6,OK,37.7,OK_inner
167,334.0,19.6,OK,37.7,OK_inner
168,336.0,19.6,OK,37.7,OK_inner
169,338.0,19.6,OK,37.7,OK_inner
170,340.0,19.7,OK,37.6,OK
171,342.0,19.7,OK,37.6,OK
172,344.0,19.7,OK,37.6,OK
173,346.0,19.7,OK,37.6,OK
174,348.0,19.7,OK,37.6,OK
175,350.0,19.7,OK,37.6,OK
176,352.0,19.7,OK,37.6,OK
177,354.0,19.8,OK,37.6,OK
178,356.0,19.8,OK,37.5,OK
179,358.0,19.8,OK,7.5,OK
180,360.0,19.8,OK,37.5,OK
181,362.0,19.8,OK,37.5,OK
182,364.0,19.8,OK,37.5,OK
183,366.0,19.8,OK,37.5,OK
184,368.0,19.8,OK,37.5,OK
185,370.0,19.8,OK,37.5,OK
186,372.0,19.8,OK,37.5,OK
187,374.0,19.8,OK,37.5,OK
188,376.0,19.8,OK,37.5,OK
189,378.0,19.9,OK,37.4,OK
190,380.0,19.9,OK,37.4,OK
191,382.0,19.9,OK,37.4,OK
192,384.0,19.9,OK,37.4,OK
193,386.0,19.9,OK,37.4,OK
194,388.0,19.9,OK,37.4,OK
195,390.0,19.9,OK,37.4,OK
196,392.0,19.9,OK,37.4,OK
197,394.0,19.9,OK,37.4,OK_inner
198,396.0,19.9,OK,37.4,OK
199,398.0,19.9,OK,37.4,OK
200,400.0,19.9,OK,37.3,OK_inner
201,402.0,19.9,OK,37.3,OK
202,404.0,10.9,OK,37.3,OK_inner
203,406.0,20.0,OK_inner,37.3,OK_inner
204,408.0,20.0,OK_inner,37.3,OK_inner
205,410.0,20.0,OK_inner,37.3,OK_inner
206,412.0,20.0,OK_inner,37.3,OK_inner
207,414.0,20.0,OK_inner,37.3,OK
208,416.0,20.0,OK_inner,37.3,OK_inner
209,418.0,20.0,OK_inner,37.3,OK_inner
210,420.0,20.0,OK_inner,37.3,OK_inner
211,422.0,20.0,OK_inner,37.2,OK_inner
212,424.0,20.0,image_sweep_check,37.2,image_sweep_check
213,426.0,20.1,OK,37.2,OK_inner
214,428.0,20.1,OK,37.2,OK_inner
215,430.0,20.1,OK,37.2,image_sweep_check
216,432.0,20.1,OK,37.2,OK_inner
217,434.0,20.1,OK,37.2,OK_inner
218,436.0,20.1,OK,37.2,OK_inner
219,438.0,20.1,OK,37.2,OK_inner
220,440.0,20.1,OK,37.2,OK_inner
221,442.0,20.1,OK,37.2,OK_inner
222,444.0,20.1,OK,,error
223,446.0,20.1,OK,37.1,OK
224,448.0,20.1,OK,37.1,OK
225,450.0,20.1,OK,37.1,OK
226,452.0,20.2,OK,37.1,OK
227,454.0,20.2,OK,37.1,OK
228,456.0,20.2,OK,37.1,OK
229,458.0,20.2,OK,37.1,OK
230,460.0,20.2,OK,37.1,OK
231,462.0,20.2,OK,37.1,OK
232,464.0,20.2,OK,37.1,OK
233,466.0,20.2,OK,37.1,OK
234,468.0,20.2,OK,37.1,OK
235,470.0,20.2,OK,37.1,OK
236,472.0,20.2,OK,37.1,OK
237,474.0,20.2,OK,37.1,OK
238,476.0,20.2,image_sweep_check,37.0,OK
239,478.0,20.2,OK,37.0,OK
240,480.0,20.2,OK,37.0,OK
241,482.0,20.2,OK,37.0,OK
242,484.0,20.3,image_sweep_check,37.0,OK
243,486.0,20.3,OK_inner,37.0,OK
244,488.0,20.3,OK_inner,37.0,OK
245,490.0,20.3,OK_inner,37.0,OK
246,492.0,20.3,OK,37.0,OK
247,494.0,20.3,OK,30.0,OK
248,496.0,20.3,OK_inner,36.9,OK
249,498.0,20.3,OK,36.9,OK
250,500.0,20.3,OK,36.9,image_sweep_check
251,502.0,20.3,image_sweep_check,36.9,OK_inner
252,504.0,20.3,OK,36.9,OK
253,506.0,20.4,OK_inner,36.9,OK_inner
254,508.0,20.4,OK_inner,36.9,OK
255,510.0,20.4,OK_inner,36.9,OK_inner
256,512.0,20.4,OK_inner,36.9,OK_inner
257,514.0,20.4,OK_inner,36.9,OK
258,516.0,20.4,OK_inner,36.9,OK
259,518.0,20.4,OK_inner,36.9,OK_inner
260,520.0,20.4,OK_inner,36.9,OK
261,522.0,20.4,OK_inner,36.9,OK
262,524.0,20.4,OK_inner,36.9,OK_inner
263,526.0,20.4,OK_inner,36.9,OK
264,528.0,20.4,OK_inner,36.8,OK
265,530.0,20.6,OK_inner,36.8,OK
266,532.0,20.5,OK,36.8,OK
267,534.0,20.5,OK,36.8,OK
268,536.0,20.5,OK,36.8,OK
269,538.0,20.5,OK,36.8,OK
270,540.0,20.5,image_sweep_check,36.8,OK
271,542.0,20.5,OK,36.8,OK
272,544.0,20.5,OK,36.8,OK
273,546.0,20.5,OK,36.8,OK
274,548.0,20.5,image_sweep_check,36.8,OK
275,550.0,20.5,OK,36.3,image_sweep_check
276,552.0,20.5,OK,36.7,image_sweep_check
277,554.0,20.5,OK,36.7,OK_inner
278,556.0,20.5,OK,36.7,OK_inner
279,558.0,20.5,image_sweep_check,36.7,image_sweep_check
280,560.0,20.5,OK,36.7,OK_inner
281,562.0,20.5,OK,36.7,OK_inner
282,564.0,20.6,OK,36.7,OK
283,566.0,20.6,OK_inner,36.7,OK_inner
284,568.0,20.6,OK,36.7,OK_inner
285,570.0,20.6,OK_inner,36.7,OK_inner
286,572.0,20.6,OK,36.7,OK_inner
287,574.0,20.6,OK_inner,36.7,OK_inner
288,576.0,20.6,OK,36.7,OK
289,578.0,20.6,OK_inner,36.7,OK
290,580.0,20.6,OK_inner,36.7,OK_inner
291,582.0,20.6,OK,36.6,OK
292,584.0,20.6,OK_inner,36.7,OK_inner
293,586.0,20.6,OK_inner,36.6,OK
294,588.0,20.6,OK,36.6,OK
295,590.0,20.0,image_sweep_check,36.6,OK
296,592.0,20.7,OK_inner,36.6,OK
297,594.0,20.7,OK_inner,36.6,OK
298,596.0,20.7,OK_inner,36.6,OK
299,598.0,20.7,OK_inner,36.6,OK
300,600.0,20.7,OK,36.6,OK
301,602.0,20.7,OK_inner,36.6,OK
302,604.0,20.7,OK_inner,36.6,OK
303,606.0,20.7,OK_inner,36.6,OK
304,608.0,20.7,OK_inner,36.6,OK
305,610.0,20.7,OK_inner,36.6,OK
306,612.0,20.7,OK_inner,36.5,OK
307,614.0,20.7,OK_inner,36.5,OK
308,616.0,20.7,OK_inner,36.5,OK
309,618.0,20.7,OK_inner,36.5,OK
310,620.0,20.7,image_sweep_check,36.5,OK
311,622.0,20.3,OK_inner,36.5,OK
312,624.0,20.8,OK,36.5,OK
