time,Viscosity,Viscosity_verbose,Temperature,Temperature_verbose
0.0,16.0,OK,42.1,OK
2.0,15.0,OK,42.1,OK
4.0,16.0,OK,42.1,OK
6.0,16.0,OK,42.1,OK
8.0,16.0,OK,42.1,OK
10.0,15.0,OK,42.1,OK
12.0,16.0,OK,42.1,OK
14.0,16.0,OK,42.1,OK
16.0,15.0,OK,42.1,OK
18.0,14.9,OK,42.1,OK
20.0,16.0,OK,42.0,OK
22.0,15.0,OK,42.1,OK
24.0,14.9,OK,42.1,OK
26.0,14.9,OK,42.1,OK
28.0,15.0,OK,42.1,OK
30.0,14.9,OK,42.1,OK
32.0,14.9,OK,42.1,OK
34.0,14.9,OK,42.1,OK
36.0,14.9,OK,42.1,OK
38.0,14.9,OK,42.1,OK
40.0,14.9,OK,42.1,OK
42.0,14.9,OK,42.1,OK
44.0,14.9,OK,42.1,OK
46.0,14.9,OK,42.1,OK
48.0,14.9,OK,42.1,OK
50.0,14.9,OK,42.1,OK
52.0,14.9,OK,42.1,OK
54.0,14.9,OK,42.1,OK
56.0,14.9,OK,42.1,OK
58.0,14.9,OK,42.1,OK
60.0,14.9,OK,42.1,OK
62.0,14.9,OK,42.1,OK
64.0,14.9,OK,42.1,OK
66.0,14.9,OK,42.1,OK
68.0,14.9,OK,42.1,OK
70.0,14.9,OK,42.0,OK
72.0,14.9,OK,42.1,OK
74.0,14.9,OK,42.1,OK
76.0,14.9,OK,42.1,OK
78.0,14.9,OK,42.1,OK
80.0,14.9,OK,42.1,OK
82.0,14.9,OK,42.0,OK
84.0,14.9,OK,42.1,OK
86.0,14.8,OK,42.1,OK
88.0,14.9,OK,42.1,OK
90.0,14.9,OK,42.1,OK
92.0,14.8,OK,42.0,OK
94.0,14.9,OK,42.0,OK
96.0,14.9,OK,42.0,OK
98.0,14.8,OK,42.0,OK
100.0,14.9,OK,42.0,OK
102.0,14.9,OK,42.0,OK
104.0,14.8,OK,42.0,OK
106.0,14.9,OK,42.0,OK
108.0,14.9,OK,42.0,OK
110.0,14.8,OK,42.0,OK
112.0,14.9,OK,42.0,OK
114.0,14.9,OK,42.0,OK
116.0,14.8,OK,42.0,OK
118.0,14.9,OK,42.0,OK
120.0,14.9,OK,42.0,OK
122.0,14.8,OK,42.0,OK
124.0,14.9,OK,42.0,OK
126.0,14.9,OK,42.0,OK
128.0,14.8,OK,42.0,OK
130.0,14.9,OK,42.0,OK
132.0,14.9,OK,42.0,OK
134.0,14.8,OK,42.0,OK
136.0,14.9,OK,42.0,OK
138.0,14.8,OK,42.0,OK
140.0,14.8,OK,42.0,OK
142.0,14.9,OK,42.0,OK
144.0,14.9,OK,42.0,OK
146.0,14.8,OK,42.0,OK
148.0,14.9,OK,42.0,OK
150.0,14.9,OK,42.0,OK
152.0,14.8,OK,42.0,OK
154.0,14.9,OK,42.0,OK
156.0,14.9,OK,42.0,OK
158.0,14.8,OK,42.0,OK
160.0,14.9,OK,42.0,OK
162.0,14.9,OK,42.0,OK
164.0,14.8,OK,42.0,OK
166.0,14.9,OK,42.0,OK
168.0,14.9,OK,42.0,OK
170.0,14.8,OK,42.0,OK
172.0,14.9,OK,42.0,OK
174.0,14.8,OK,42.0,OK
176.0,14.8,OK,42.0,OK
178.0,14.9,OK,41.9,OK
180.0,14.8,OK,41.9,OK
182.0,14.8,OK,41.9,OK
184.0,14.9,OK,41.9,OK
186.0,14.9,OK,41.8,OK
188.0,14.8,OK,41.8,OK
190.0,14.9,OK,41.8,OK
192.0,14.9,OK,41.8,OK
194.0,14.8,OK,41.7,image_sweep_check
202.0,14.9,OK,41.6,OK
204.0,14.9,OK,41.6,OK
206.0,14.9,OK,41.6,OK
208.0,14.9,OK,41.6,OK
210.0,14.9,OK,41.6,OK
212.0,14.9,OK,41.6,OK
214.0,15.0,OK,41.5,OK
216.0,14.9,OK,41.5,OK
218.0,14.9,OK,41.5,OK
220.0,14.9,OK,41.5,OK
222.0,14.9,OK,41.4,OK
224.0,14.9,OK,41.4,OK
226.0,15.0,OK,41.4,OK
228.0,14.9,OK,41.4,OK
230.0,14.9,OK,41.4,OK
232.0,15.0,OK,41.4,OK
234.0,15.0,OK,41.4,OK
236.0,14.9,OK,41.3,OK
238.0,15.0,OK,41.3,OK
240.0,15.0,OK,41.3,OK
242.0,15.0,OK,41.3,OK
244.0,15.1,OK,41.3,OK
246.0,15.0,OK,41.3,OK
248.0,15.0,OK,41.2,image_sweep_check
250.0,15.1,OK,41.2,OK_inner
252.0,15.0,OK,41.2,OK
254.0,15.0,OK,41.2,OK_inner
256.0,15.1,OK,41.2,OK
258.0,15.1,OK,41.2,OK_inner
260.0,15.0,OK,41.2,OK
262.0,15.1,OK,41.2,OK_inner
266.0,15.1,OK,41.1,OK
268.0,15.1,OK,41.1,OK
270.0,15.1,OK,41.1,OK
272.0,15.1,OK,41.1,OK
274.0,15.1,OK,41.1,OK
280.0,15.2,image_sweep_check,41.0,OK
282.0,15.1,OK,41.0,OK
284.0,15.1,OK,41.0,OK
286.0,15.2,OK,41.0,OK
288.0,15.1,OK,41.0,OK
290.0,15.1,OK,41.0,OK
292.0,15.2,OK,41.0,OK
294.0,15.2,OK_inner,41.0,OK
296.0,15.1,OK,41.0,OK
298.0,15.2,OK,40.9,image_sweep_check
300.0,15.2,OK,40.9,OK
302.0,15.1,OK,40.9,OK
304.0,15.2,OK,40.9,OK_inner
310.0,15.2,image_sweep_check,40.8,OK
312.0,15.2,OK_inner,40.8,OK
314.0,15.2,OK,40.8,OK
316.0,15.2,OK,40.8,OK
318.0,15.2,OK_inner,40.8,OK
320.0,15.2,OK_inner,40.8,OK
322.0,15.2,OK_inner,40.8,OK
324.0,15.2,OK_inner,40.8,OK
326.0,15.2,OK_inner,40.8,OK
328.0,15.3,OK_inner,40.8,OK
346.0,15.4,OK,40.6,OK
348.0,15.4,OK,40.6,OK
350.0,15.3,OK,40.6,OK
352.0,15.4,image_sweep_check,40.6,OK
354.0,15.4,OK,40.6,OK
356.0,15.4,OK,40.6,OK
358.0,15.4,OK_inner,40.6,OK
360.0,15.4,OK,40.6,OK
362.0,15.4,OK,40.6,OK
364.0,15.4,OK_inner,40.6,OK
366.0,15.4,OK,40.6,OK
368.0,15.4,OK,40.5,OK
370.0,15.4,OK,40.5,OK
372.0,15.4,OK_inner,40.5,OK
374.0,15.4,OK,40.5,OK
376.0,15.5,OK,40.5,OK
378.0,15.5,OK,40.5,OK
380.0,15.4,OK,40.5,OK
382.0,15.5,OK,40.5,OK
384.0,15.5,OK,40.5,OK
386.0,15.4,OK,40.4,OK
388.0,15.5,OK,40.4,OK
390.0,15.5,OK,40.4,OK
392.0,15.4,OK,40.4,OK
394.0,15.5,OK,40.4,OK
396.0,15.5,OK,40.4,OK
398.0,15.5,OK,40.4,OK
400.0,15.5,OK,40.4,OK
402.0,15.5,OK,40.4,OK
404.0,15.5,OK,40.4,OK
406.0,15.5,OK,40.4,OK
408.0,15.5,OK,40.3,OK
410.0,15.5,OK,40.3,OK
412.0,15.5,OK,40.3,OK
414.0,15.5,OK,40.3,OK
416.0,15.5,OK,40.3,OK
418.0,15.6,OK,40.3,OK
420.0,15.5,OK,40.3,OK
422.0,15.5,OK,40.3,OK
424.0,15.6,OK,40.3,OK
426.0,15.6,OK,40.3,OK
428.0,15.5,OK,40.2,image_sweep_check
430.0,15.6,OK,40.2,OK
432.0,15.6,OK,40.2,OK_inner
434.0,15.5,OK,40.2,OK_inner
436.0,15.7,OK_inner,40.2,OK_inner
438.0,15.7,OK_inner,40.2,OK_inner
440.0,15.6,OK,40.2,OK_inner
442.0,15.7,OK_inner,40.2,OK_inner
444.0,15.7,OK_inner,40.2,OK_inner
446.0,15.6,OK,40.2,image_sweep_check
448.0,15.7,OK_inner,40.2,OK_inner
450.0,15.7,OK_inner,40.2,OK_inner
452.0,15.7,OK_inner,40.2,OK_inner
454.0,15.7,image_sweep_check,40.2,image_sweep_check
456.0,15.7,image_sweep_check,40.1,OK
458.0,15.7,image_sweep_check,40.1,OK
460.0,15.7,OK_inner,40.1,OK
462.0,15.7,OK_inner,40.1,OK
464.0,15.7,OK_inner,40.1,OK
466.0,15.7,OK_inner,40.1,OK
468.0,15.7,OK_inner,40.1,OK
470.0,15.7,OK_inner,40.1,OK
472.0,15.7,OK_inner,40.1,OK
474.0,15.7,OK_inner,40.1,OK
476.0,15.7,OK_inner,40.0,OK
478.0,15.8,OK,40.0,OK
480.0,15.8,OK,40.0,OK
482.0,15.7,OK_inner,40.0,OK
484.0,15.8,OK,40.0,OK
486.0,15.8,OK,40.0,OK
488.0,15.7,OK_inner,40.0,OK
490.0,15.8,OK,40.0,OK
492.0,15.8,OK,40.0,OK
494.0,15.7,OK_inner,40.0,OK
496.0,15.8,OK,40.0,OK
498.0,15.8,OK_inner,40.0,OK
500.0,15.8,OK,40.0,OK
502.0,15.8,OK,40.0,OK
504.0,15.8,OK,40.0,OK
508.0,15.8,OK,39.9,OK
510.0,15.8,OK,39.9,OK
512.0,15.8,OK,39.9,OK
514.0,15.9,image_sweep_check,39.9,OK
516.0,15.8,OK,39.9,OK
522.0,15.9,OK,39.9,OK
524.0,15.8,OK,39.9,OK
528.0,15.9,image_sweep_check,39.8,OK
530.0,15.8,OK,39.8,OK
532.0,15.9,OK_inner,39.8,OK
534.0,15.9,OK_inner,39.8,OK
536.0,15.8,OK,39.8,OK
538.0,15.9,OK,39.8,OK
540.0,15.9,OK,39.8,OK
542.0,15.8,OK,39.8,OK
544.0,15.9,OK_inner,39.8,OK
546.0,16.0,OK,39.8,OK
548.0,15.9,OK_inner,39.8,OK
550.0,16.0,OK,39.8,OK
552.0,16.0,OK,39.8,OK
