,time,Viscosity,Viscosity_verbose,Temperature,Temperature_verbose
0,0.0,16.0,OK,42.1,OK
1,2.0,15.0,OK,42.1,OK
2,4.0,16.0,OK,42.1,OK
3,6.0,16.0,OK,42.1,OK
4,8.0,16.0,OK,42.1,OK
5,10.0,15.0,OK,42.1,OK
6,12.0,16.0,OK,42.1,OK
7,14.0,16.0,OK,42.1,OK
8,16.0,15.0,OK,42.1,OK
9,18.0,14.9,OK,42.1,OK
10,20.0,16.0,OK,42.0,OK
11,22.0,15.0,OK,42.1,OK
12,24.0,14.9,OK,42.1,OK
13,26.0,14.9,OK,42.1,OK
14,28.0,15.0,OK,42.1,OK
15,30.0,14.9,OK,42.1,OK
16,32.0,14.9,OK,42.1,OK
17,34.0,14.9,OK,42.1,OK
18,36.0,14.9,OK,42.1,OK
19,38.0,14.9,OK,42.1,OK
20,40.0,14.9,OK,42.1,OK
21,42.0,14.9,OK,42.1,OK
22,44.0,14.9,OK,42.1,OK
23,46.0,14.9,OK,42.1,OK
24,48.0,14.9,OK,42.1,OK
25,50.0,14.9,OK,42.1,OK
26,52.0,14.9,OK,42.1,OK
27,54.0,14.9,OK,42.1,OK
28,56.0,14.9,OK,42.1,OK
29,58.0,14.9,OK,42.1,OK
30,60.0,14.9,OK,42.1,OK
31,62.0,14.9,OK,42.1,OK
32,64.0,14.9,OK,42.1,OK
33,66.0,14.9,OK,42.1,OK
34,68.0,14.9,OK,42.1,OK
35,70.0,14.9,OK,42.0,OK
36,72.0,14.9,OK,42.1,OK
37,74.0,14.9,OK,42.1,OK
38,76.0,14.9,OK,42.1,OK
39,78.0,14.9,OK,42.1,OK
40,80.0,14.9,OK,42.1,OK
41,82.0,14.9,OK,42.0,OK
42,84.0,14.9,OK,42.1,OK
43,86.0,14.8,OK,42.1,OK
44,88.0,14.9,OK,42.1,OK
45,90.0,14.9,OK,42.1,OK
46,92.0,14.8,OK,42.0,OK
47,94.0,14.9,OK,42.0,OK
48,96.0,14.9,OK,42.0,OK
49,98.0,14.8,OK,42.0,OK
50,100.0,14.9,OK,42.0,OK
51,102.0,14.9,OK,42.0,OK
52,104.0,14.8,OK,42.0,OK
53,106.0,14.9,OK,42.0,OK
54,108.0,14.9,OK,42.0,OK
55,110.0,14.8,OK,42.0,OK
56,112.0,14.9,OK,42.0,OK
57,114.0,14.9,OK,42.0,OK
58,116.0,14.8,OK,42.0,OK
59,118.0,14.9,OK,42.0,OK
60,120.0,14.9,OK,42.0,OK
61,122.0,14.8,OK,42.0,OK
62,124.0,14.9,OK,42.0,OK
63,126.0,14.9,OK,42.0,OK
64,128.0,14.8,OK,42.0,OK
65,130.0,14.9,OK,42.0,OK
66,132.0,14.9,OK,42.0,OK
67,134.0,14.8,OK,42.0,OK
68,136.0,14.9,OK,42.0,OK
69,138.0,14.8,OK,42.0,OK
70,140.0,14.8,OK,42.0,OK
71,142.0,14.9,OK,42.0,OK
72,144.0,14.9,OK,42.0,OK
73,146.0,14.8,OK,42.0,OK
74,148.0,14.9,OK,42.0,OK
75,150.0,14.9,OK,42.0,OK
76,152.0,14.8,OK,42.0,OK
77,154.0,14.9,OK,42.0,OK
78,156.0,14.9,OK,42.0,OK
79,158.0,14.8,OK,42.0,OK
80,160.0,14.9,OK,42.0,OK
81,162.0,14.9,OK,42.0,OK
82,164.0,14.8,OK,42.0,OK
83,166.0,14.9,OK,42.0,OK
84,168.0,14.9,OK,42.0,OK
85,170.0,14.8,OK,42.0,OK
86,172.0,14.9,OK,42.0,OK
87,174.0,14.8,OK,42.0,OK
88,176.0,14.8,OK,42.0,OK
89,178.0,14.9,OK,41.9,OK
90,180.0,14.8,OK,41.9,OK
91,182.0,14.8,OK,41.9,OK
92,184.0,14.9,OK,41.9,OK
93,186.0,14.9,OK,41.8,OK
94,188.0,14.8,OK,41.8,OK
95,190.0,14.9,OK,41.8,OK
96,192.0,14.9,OK,41.8,OK
97,194.0,14.8,OK,41.7,image_sweep_check
98,196.0,14.9,OK,,error
99,198.0,14.9,OK,,error
100,200.0,14.9,OK,,error
101,202.0,14.9,OK,41.6,OK
102,204.0,14.9,OK,41.6,OK
103,206.0,14.9,OK,41.6,OK
104,208.0,14.9,OK,41.6,OK
105,210.0,14.9,OK,41.6,OK
106,212.0,14.9,OK,41.6,OK
107,214.0,15.0,OK,41.5,OK
108,216.0,14.9,OK,41.5,OK
109,218.0,14.9,OK,41.5,OK
110,220.0,14.9,OK,41.5,OK
111,222.0,14.9,OK,41.4,OK
112,224.0,14.9,OK,41.4,OK
113,226.0,15.0,OK,41.4,OK
114,228.0,14.9,OK,41.4,OK
115,230.0,14.9,OK,41.4,OK
116,232.0,15.0,OK,41.4,OK
117,234.0,15.0,OK,41.4,OK
118,236.0,14.9,OK,41.3,OK
119,238.0,15.0,OK,41.3,OK
120,240.0,15.0,OK,41.3,OK
121,242.0,15.0,OK,41.3,OK
122,244.0,15.1,OK,41.3,OK
123,246.0,15.0,OK,41.3,OK
124,248.0,15.0,OK,41.2,image_sweep_check
125,250.0,15.1,OK,41.2,OK_inner
126,252.0,15.0,OK,41.2,OK
127,254.0,15.0,OK,41.2,OK_inner
128,256.0,15.1,OK,41.2,OK
129,258.0,15.1,OK,41.2,OK_inner
130,260.0,15.0,OK,41.2,OK
131,262.0,15.1,OK,41.2,OK_inner
132,264.0,,error,41.1,OK
133,266.0,15.1,OK,41.1,OK
134,268.0,15.1,OK,41.1,OK
135,270.0,15.1,OK,41.1,OK
136,272.0,15.1,OK,41.1,OK
137,274.0,15.1,OK,41.1,OK
138,276.0,,error,,error
139,278.0,,error,41.0,OK
140,280.0,15.2,image_sweep_check,41.0,OK
141,282.0,15.1,OK,41.0,OK
142,284.0,15.1,OK,41.0,OK
143,286.0,15.2,OK,41.0,OK
144,288.0,15.1,OK,41.0,OK
145,290.0,15.1,OK,41.0,OK
146,292.0,15.2,OK,41.0,OK
147,294.0,15.2,OK_inner,41.0,OK
148,296.0,15.1,OK,41.0,OK
149,298.0,15.2,OK,40.9,image_sweep_check
150,300.0,15.2,OK,40.9,OK
151,302.0,15.1,OK,40.9,OK
152,304.0,15.2,OK,40.9,OK_inner
153,306.0,15.2,OK,,error
154,308.0,15.2,OK,,error
155,310.0,15.2,image_sweep_check,40.8,OK
156,312.0,15.2,OK_inner,40.8,OK
157,314.0,15.2,OK,40.8,OK
158,316.0,15.2,OK,40.8,OK
159,318.0,15.2,OK_inner,40.8,OK
160,320.0,15.2,OK_inner,40.8,OK
161,322.0,15.2,OK_inner,40.8,OK
162,324.0,15.2,OK_inner,40.8,OK
163,326.0,15.2,OK_inner,40.8,OK
164,328.0,15.3,OK_inner,40.8,OK
165,330.0,15.2,OK,,error
166,332.0,15.2,image_sweep_check,,error
167,334.0,15.3,image_sweep_check,,error
168,336.0,15.3,OK,,error
169,338.0,15.2,image_sweep_check,,error
170,340.0,15.4,image_sweep_check,,error
171,342.0,15.3,OK,,error
172,344.0,15.3,OK,,error
173,346.0,15.4,OK,40.6,OK
174,348.0,15.4,OK,40.6,OK
175,350.0,15.3,OK,40.6,OK
