time,Viscosity,Viscosity_verbose,Temperature,Temperature_verbose
0.0,56.6,OK,14.8,OK
1.0,56.6,OK,14.8,OK
2.0,56.6,OK_inner,14.8,OK
3.0,56.7,OK_inner,14.8,OK
4.0,56.7,OK_inner,14.8,OK
5.0,56.7,OK_inner,14.8,OK
6.0,56.7,OK_inner,14.8,OK
7.0,56.7,OK_inner,14.8,OK
8.0,56.7,OK_inner,14.8,OK
9.0,56.7,OK_inner,14.8,OK
10.0,56.7,OK_inner,14.8,OK
11.0,56.7,OK_inner,14.8,OK
12.0,56.7,OK_inner,14.8,OK
13.0,56.7,OK_inner,14.8,OK
14.0,56.7,OK_inner,14.8,OK
15.0,56.7,image_sweep_check,14.8,OK
16.0,56.8,OK,14.8,OK
17.0,56.8,OK,14.8,OK
18.0,56.8,OK,14.8,OK
19.0,56.8,OK,14.8,OK
20.0,56.8,OK,14.8,OK
21.0,56.8,OK,14.8,OK
22.0,56.9,OK,14.8,OK
23.0,56.9,OK,14.8,OK
24.0,56.8,OK,14.8,OK
25.0,56.9,OK,14.8,OK
26.0,56.8,OK,14.8,OK
27.0,56.9,OK,14.8,OK
28.0,56.9,OK,14.8,OK
29.0,56.9,OK,14.8,OK
30.0,56.9,OK,14.8,OK
31.0,56.9,OK,14.8,OK
32.0,56.9,OK,14.7,OK
33.0,56.9,OK,14.8,OK
34.0,56.9,OK,14.8,OK
35.0,56.9,OK,14.8,OK
36.0,56.9,OK,14.8,OK
37.0,56.9,OK,14.8,OK
38.0,56.9,OK,14.8,OK
39.0,56.9,OK,14.8,OK
40.0,56.9,OK,14.7,OK
41.0,56.9,OK,14.8,OK
42.0,56.9,OK,14.8,OK
43.0,56.8,OK,14.8,OK
44.0,56.8,OK,14.9,OK
45.0,56.7,OK_inner,14.9,OK
46.0,56.7,OK_inner,16.9,OK
47.0,56.6,OK,15.0,OK
48.0,56.6,OK,15.0,OK
49.0,56.5,OK,15.1,OK
50.0,56.4,OK,15.1,OK
51.0,56.4,OK,15.2,OK
52.0,56.4,OK,15.2,OK
53.0,56.3,OK,15.2,image_sweep_check
54.0,56.3,OK,15.2,OK
55.0,56.3,OK,15.2,OK
56.0,56.3,OK,15.2,OK
57.0,56.3,image_sweep_check,15.2,OK
58.0,56.3,OK,15.2,OK
59.0,56.3,OK,15.2,OK
60.0,56.3,OK,15.2,OK
61.0,56.3,OK,15.2,image_sweep_check
62.0,56.3,OK,15.2,OK
63.0,56.3,OK,15.2,OK
64.0,56.3,OK,15.2,OK
65.0,56.3,OK,15.2,OK
66.0,56.3,OK,15.2,OK
67.0,56.3,OK,15.2,OK
68.0,56.3,OK,15.2,OK
69.0,56.3,OK,15.2,OK
70.0,56.3,OK,15.2,image_sweep_check
71.0,56.2,OK,15.2,OK
72.0,56.1,image_sweep_check,15.3,OK
73.0,56.1,OK_inner,15.3,OK
74.0,56.0,OK,15.3,OK
75.0,56.0,OK,15.4,OK
76.0,55.8,OK,15.4,OK
77.0,55.8,OK,15.5,OK
78.0,55.8,OK,15.5,OK
79.0,55.5,OK,15.5,OK
80.0,55.4,OK,15.6,OK
81.0,55.8,OK,15.6,OK
82.0,55.2,image_sweep_check,15.7,OK
83.0,55.2,OK,15.7,OK
84.0,55.1,OK,15.7,OK
85.0,55.0,OK,15.8,OK
86.0,54.9,OK,15.8,OK
87.0,54.9,OK,15.8,OK
88.0,54.8,OK,15.9,OK
89.0,54.8,OK,15.9,OK
90.0,54.8,OK,15.9,OK
91.0,54.7,image_sweep_check,15.9,OK
92.0,54.6,OK,15.9,OK
93.0,54.6,OK,15.9,OK
94.0,54.6,OK,15.9,OK
95.0,54.6,OK,15.9,OK
96.0,54.6,OK,15.9,OK
97.0,54.6,OK,15.9,OK
98.0,54.6,OK,15.9,OK
99.0,54.6,OK,15.9,OK
100.0,54.6,OK,15.9,OK
101.0,54.6,OK,15.9,OK
102.0,54.6,OK,15.9,OK
103.0,54.6,OK,15.9,OK
104.0,54.6,OK,15.8,OK
105.0,54.6,OK,15.8,OK
106.0,54.8,OK_inner,15.8,OK
107.0,54.7,OK_inner,15.8,OK
108.0,54.8,OK,15.8,OK
109.0,54.8,OK,15.8,OK
110.0,54.6,OK,15.8,OK
111.0,54.6,OK,15.8,OK
112.0,54.6,OK,15.8,OK
113.0,54.6,OK,15.8,OK
114.0,54.6,OK,15.8,OK
115.0,54.6,OK,15.8,OK
116.0,54.5,OK,15.8,OK
117.0,54.5,OK,15.9,OK
118.0,54.0,OK,15.9,OK
119.0,54.3,OK,15.9,OK
120.0,54.3,OK,16.0,OK
121.0,54.2,OK,16.0,OK
122.0,54.0,image_sweep_check,16.0,image_sweep_check
123.0,50.0,OK,16.1,OK
124.0,53.9,OK,16.1,OK
125.0,53.8,OK,16.2,image_sweep_check
126.0,53.6,OK,16.3,image_sweep_check
127.0,53.6,OK,16.3,OK
128.0,53.4,OK,16.3,OK
129.0,53.8,OK,16.4,OK
130.0,53.3,OK,16.4,OK
131.0,53.2,OK_inner,16.6,image_sweep_check
132.0,53.1,OK,16.5,OK
133.0,53.1,image_sweep_check,16.5,OK
134.0,53.0,OK,16.5,OK
135.0,53.0,OK,16.5,OK
136.0,53.0,OK,16.5,OK
137.0,53.0,OK,16.6,OK
138.0,52.9,OK,16.6,OK
139.0,52.8,OK,16.6,OK
140.0,52.8,OK,16.6,OK
141.0,52.8,OK,16.6,OK
142.0,52.9,OK,16.6,OK
143.0,52.8,OK,16.5,OK
144.0,52.9,OK,16.5,OK
145.0,52.9,OK,16.5,OK
146.0,52.8,OK,16.5,OK
147.0,52.8,OK,16.5,OK
148.0,52.9,OK,16.5,OK
149.0,52.9,OK,16.5,OK
150.0,52.9,OK,16.5,OK
151.0,52.9,OK,16.4,OK
152.0,52.8,OK,16.4,OK
153.0,52.8,OK,16.4,OK
154.0,52.9,OK,16.4,OK
155.0,52.9,OK,16.4,OK
156.0,52.9,OK,16.4,OK
157.0,52.8,OK,16.4,OK
158.0,52.8,OK,16.4,OK
159.0,52.8,OK,16.4,OK
160.0,52.8,OK,16.4,OK
161.0,52.8,OK,16.4,OK
162.0,52.8,OK,16.4,OK
163.0,52.7,OK_inner,16.5,OK
164.0,52.6,OK,16.5,OK
165.0,52.5,OK,16.5,OK
166.0,52.4,OK,16.6,OK
167.0,52.4,OK,16.6,OK
168.0,52.2,OK_inner,16.7,OK_inner
169.0,52.1,image_sweep_check,16.7,OK
170.0,52.1,OK_inner,16.8,OK
171.0,51.9,OK,16.8,OK
