time,Viscosity,Viscosity_verbose,Temperature,Temperature_verbose
0.0,17.9,OK,40.2,OK
1.0,17.9,OK_inner,40.2,OK_inner
2.0,17.9,OK,40.2,OK_inner
3.0,17.9,OK_inner,40.2,OK
4.0,17.9,OK_inner,40.2,OK_inner
5.0,17.9,OK,40.2,OK
6.0,17.9,OK,40.2,OK
7.0,17.9,OK,40.2,OK
8.0,17.9,OK_inner,40.1,OK
9.0,17.9,OK_inner,40.1,OK
10.0,17.9,OK,40.1,OK
11.0,17.9,OK,40.2,OK
12.0,17.9,OK,40.2,OK
13.0,17.9,OK_inner,40.2,OK
14.0,17.9,OK,40.2,image_sweep_check
15.0,17.9,OK,40.2,image_sweep_check
16.0,17.9,OK,40.1,OK
17.0,17.9,OK,40.1,OK
18.0,17.9,OK_inner,40.1,OK
19.0,17.9,OK,40.1,OK
20.0,17.9,OK,40.1,OK
21.0,17.9,OK,40.1,OK
22.0,17.9,OK,40.1,OK
23.0,17.9,OK,40.1,OK
24.0,17.9,OK,40.1,OK
25.0,17.9,OK,40.1,OK
26.0,17.9,OK,40.1,OK
27.0,17.9,OK,40.1,OK
28.0,17.9,OK,40.1,OK
29.0,17.9,OK,40.1,OK
30.0,17.9,OK,40.1,OK
31.0,17.9,OK,40.1,OK
32.0,17.9,OK,40.1,OK
33.0,17.9,OK,40.1,OK
34.0,18.0,OK,40.1,OK
35.0,18.0,OK_inner,40.0,OK
36.0,18.0,OK_inner,40.0,OK
37.0,18.0,OK_inner,40.0,OK_inner
38.0,18.0,OK_inner,40.0,OK
39.0,18.0,OK_inner,40.0,OK
40.0,18.0,OK_inner,40.0,OK
41.0,18.0,OK_inner,40.0,OK
42.0,18.0,OK_inner,40.0,OK
43.0,18.0,OK_inner,40.0,OK
44.0,18.0,OK_inner,40.0,OK
45.0,18.0,OK_inner,39.9,OK_inner
46.0,18.0,OK_inner,39.9,OK_inner
47.0,18.0,OK_inner,39.9,OK_inner
48.0,18.0,OK_inner,39.9,OK
49.0,18.0,OK_inner,39.9,OK
50.0,18.0,OK_inner,39.9,OK
51.0,18.0,OK_inner,39.9,OK
52.0,18.0,OK_inner,39.8,OK
53.0,18.0,OK_inner,39.8,OK
54.0,18.0,OK_inner,39.8,OK
55.0,18.0,OK_inner,39.8,OK
56.0,18.0,OK_inner,39.8,OK
57.0,18.0,OK_inner,39.8,OK
58.0,18.0,OK_inner,39.8,OK
59.0,18.0,OK_inner,39.7,image_sweep_check
60.0,18.0,OK_inner,39.7,OK_inner
61.0,18.0,OK_inner,39.7,OK_inner
62.0,18.0,OK_inner,39.7,OK_inner
63.0,18.0,OK_inner,39.7,OK_inner
64.0,18.0,OK,39.7,OK_inner
65.0,18.1,OK_inner,39.6,OK
66.0,18.1,OK_inner,39.6,OK_inner
67.0,18.1,OK_inner,39.6,OK
68.0,18.1,OK_inner,39.6,OK
69.0,18.1,OK_inner,39.6,OK
70.0,18.1,OK_inner,39.6,OK
71.0,18.1,OK,39.6,OK_inner
72.0,18.1,OK,39.6,OK
73.0,18.1,OK_inner,39.6,OK
74.0,18.1,OK_inner,39.6,OK
75.0,18.1,OK,39.6,OK
76.0,18.1,OK,39.5,OK
77.0,18.1,OK_inner,39.5,OK
78.0,18.1,OK,39.5,OK
79.0,18.1,OK_inner,39.5,OK
80.0,18.1,OK,39.5,OK
81.0,18.1,OK,39.5,OK
82.0,18.1,OK,39.5,OK
83.0,18.1,OK,39.4,OK
84.0,18.1,OK,39.4,OK_inner
85.0,18.1,OK,39.4,OK_inner
86.0,18.1,OK,39.4,OK
87.0,18.1,OK,39.4,OK
88.0,18.1,OK,39.4,OK
89.0,18.2,OK,39.4,OK
90.0,18.2,OK,39.4,OK
91.0,18.2,OK,39.4,OK_inner
92.0,18.2,OK,39.3,OK
93.0,18.2,OK,39.3,OK
94.0,18.2,OK,39.3,OK
