,time,Viscosity,Viscosity_mark,Temperature,Temperature_mark
0,0.0,115.5,,26.4,inner_processor_check
1,1.0,115.9,,26.4,inner_processor_check
2,2.0,115.5,,26.4,inner_processor_check
3,3.0,115.6,,26.3,
4,4.0,115.8,,26.4,inner_processor_check
5,5.0,115.3,,26.4,inner_processor_check
6,6.0,115.3,,26.4,inner_processor_check
7,7.0,115.5,,26.4,inner_processor_check
8,8.0,115.6,,26.4,inner_processor_check
9,9.0,115.3,,26.4,inner_processor_check
10,10.0,115.5,,26.4,processor_sweep
11,11.0,115.6,,26.4,inner_processor_check
12,12.0,115.0,,26.4,inner_processor_check
13,13.0,115.0,,26.4,inner_processor_check
14,14.0,115.3,,26.4,inner_processor_check
15,15.0,114.9,,26.4,inner_processor_check
16,16.0,115.0,,26.4,inner_processor_check
17,17.0,115.3,,26.4,inner_processor_check
18,18.0,115.0,,26.4,inner_processor_check
19,19.0,114.9,,26.4,inner_processor_check
20,20.0,115.2,,26.4,inner_processor_check
21,21.0,114.7,processor_sweep,26.4,inner_processor_check
22,22.0,116.0,,26.4,inner_processor_check
23,23.0,115.2,,26.4,inner_processor_check
24,24.0,114.7,,26.4,inner_processor_check
25,25.0,114.9,,26.4,
26,26.0,115.0,,26.4,inner_processor_check
27,27.0,114.6,,26.4,inner_processor_check
28,28.0,114.3,processor_sweep,26.4,
29,29.0,114.9,,26.4,inner_processor_check
30,30.0,114.4,,26.4,inner_processor_check
31,31.0,114.0,,26.4,inner_processor_check
32,32.0,114.9,,26.4,inner_processor_check
33,33.0,114.3,inner_processor_check,26.5,
34,34.0,114.4,,26.4,
35,35.0,114.6,,26.4,inner_processor_check
36,36.0,,error,26.4,processor_sweep
37,37.0,114.4,inner_processor_check,26.5,
38,38.0,114.6,,26.5,
39,39.0,114.0,,26.5,
40,40.0,114.1,,26.5,
41,41.0,114.3,,26.5,
42,42.0,114.0,,26.5,
43,43.0,114.1,,26.5,
44,44.0,114.3,,26.5,
45,45.0,113.8,,26.5,
46,46.0,114.0,,26.5,
47,47.0,114.1,,26.5,
48,48.0,113.5,,26.5,
49,49.0,113.8,,26.5,
50,50.0,114.0,,26.5,
51,51.0,113.7,,26.5,
52,52.0,113.8,,26.5,
53,53.0,114.1,,26.5,
54,54.0,113.5,,26.5,
55,55.0,113.8,,26.5,
56,56.0,114.0,,26.5,
57,57.0,113.5,,26.5,
58,58.0,113.7,,26.5,
59,59.0,113.8,,26.5,
60,60.0,113.6,inner_processor_check,26.5,
61,61.0,113.3,inner_processor_check,26.5,
62,62.0,113.8,,26.5,
63,63.0,113.4,,26.5,
64,64.0,113.7,,26.5,
65,65.0,113.8,,26.5,
66,66.0,113.4,,26.5,
67,67.0,113.5,,26.5,
68,68.0,113.7,,26.5,
69,69.0,113.4,,26.5,
70,70.0,113.4,,26.5,
71,71.0,113.7,,26.5,
72,72.0,113.2,,26.5,
73,73.0,113.4,,26.5,
74,74.0,113.5,,26.5,
75,75.0,113.1,,26.5,
76,76.0,113.4,,26.5,
77,77.0,113.0,,26.5,
78,78.0,113.1,,26.5,
79,79.0,113.4,,26.5,
80,80.0,113.5,,26.5,
81,81.0,112.9,,26.5,
82,82.0,113.2,,26.5,
83,83.0,113.5,,26.5,
84,84.0,112.9,,26.5,
85,85.0,113.2,,26.5,
86,86.0,113.4,,26.5,
87,87.0,112.8,,26.5,
88,88.0,113.1,inner_processor_check,26.5,
89,89.0,113.2,,26.5,
90,90.0,112.8,,26.5,
91,91.0,113.1,,26.5,
92,92.0,113.2,,26.5,
93,93.0,112.8,,26.5,
94,94.0,113.8,inner_processor_check,26.5,
95,95.0,113.2,,26.5,
96,96.0,112.6,,26.5,
97,97.0,112.9,,26.5,
98,98.0,113.2,,26.5,
99,99.0,112.8,,26.5,
100,100.0,112.9,,26.5,
