time,Viscosity,Viscosity_verbose,Temperature,Temperature_verbose
0.0,26.2,OK_inner,40.2,OK
2.0,26.3,OK,40.2,OK
4.0,26.1,OK_inner,40.3,OK
6.0,26.0,OK,40.3,OK
8.0,26.0,OK,40.4,OK
10.0,25.9,OK,40.4,OK
12.0,25.7,OK,40.5,OK
14.0,25.7,OK,40.5,OK
16.0,25.7,OK,40.6,OK
18.0,25.5,OK,40.6,OK
20.0,25.5,OK,40.6,OK
22.0,25.6,OK,40.6,OK
24.0,25.4,OK,40.6,OK
26.0,25.4,OK,40.6,OK
28.0,25.4,OK,40.6,OK
30.0,25.3,OK,40.6,OK
32.0,25.3,OK,40.6,OK
34.0,25.3,OK,40.6,OK
36.0,25.2,OK,40.6,OK
38.0,25.2,image_sweep_check,40.6,OK
40.0,25.2,OK,40.6,OK
42.0,25.0,OK,40.7,OK
44.0,25.0,image_sweep_check,40.7,OK
46.0,25.1,OK,40.7,OK
48.0,24.9,OK,40.7,OK
50.0,25.0,OK,40.7,OK
52.0,25.0,OK,40.7,OK
54.0,24.8,OK,40.7,OK
56.0,24.8,OK,40.7,OK
58.0,24.9,OK,40.7,OK
60.0,24.7,OK_inner,40.7,OK
62.0,24.7,OK_inner,40.7,OK
64.0,24.8,OK,40.8,OK
66.0,24.6,OK,40.8,OK
68.0,24.7,OK_inner,40.8,OK
70.0,24.7,OK,40.8,OK
72.0,24.5,OK,40.8,OK
74.0,24.6,OK,40.8,OK
76.0,24.7,OK,40.8,OK
78.0,24.5,OK,40.8,OK
80.0,24.5,OK,40.8,OK
82.0,24.5,OK,40.8,OK
84.0,24.4,OK,40.8,OK
86.0,24.5,OK,40.8,OK
88.0,24.5,OK,40.8,OK
90.0,24.4,OK,40.8,OK
92.0,24.4,OK,40.7,OK
94.0,24.5,OK,40.8,OK
96.0,24.4,OK,40.7,OK
98.0,24.4,OK,40.7,OK
100.0,24.4,OK,40.7,OK
102.0,24.3,OK,40.7,OK
104.0,24.3,OK,40.7,OK
106.0,24.4,OK,40.7,OK
108.0,24.3,OK,40.7,OK
110.0,24.3,OK,40.7,OK
112.0,24.4,OK,40.7,OK
114.0,24.2,OK,40.7,OK
116.0,24.2,OK,40.7,OK
118.0,24.4,OK,40.7,OK
120.0,24.2,OK,40.7,OK
122.0,24.2,OK,40.7,OK
124.0,24.3,OK,40.6,OK
126.0,24.2,OK,40.0,OK
128.0,24.2,OK,40.6,OK
130.0,24.2,OK,40.6,OK
132.0,24.2,OK,40.6,OK
134.0,24.2,OK,40.6,OK
136.0,24.2,OK,40.6,OK
138.0,24.1,OK,40.6,OK
140.0,24.2,OK,40.6,OK
142.0,24.2,OK,40.6,OK
144.0,24.1,OK,40.6,OK
146.0,24.1,OK,40.6,OK
148.0,24.2,OK,40.6,OK
150.0,24.1,OK,40.6,OK
152.0,24.2,OK,40.6,OK
154.0,24.2,OK,40.6,OK
156.0,24.2,OK,40.6,OK
158.0,24.2,OK,40.6,OK
160.0,24.2,OK,40.6,OK
162.0,24.2,OK,40.6,OK
164.0,24.1,OK,40.6,OK
166.0,24.2,OK,40.6,OK
168.0,24.2,OK_inner,40.6,OK
170.0,24.1,OK,40.6,OK
172.0,24.2,OK,40.6,OK
174.0,24.1,OK,40.5,OK
176.0,24.2,OK,40.5,OK
178.0,24.2,OK,40.5,OK
180.0,24.1,OK,40.5,OK
182.0,24.1,OK,40.5,OK
184.0,24.2,OK,40.5,OK
186.0,24.1,OK,40.5,OK
188.0,24.1,OK,40.5,OK
190.0,24.2,OK,40.5,OK
192.0,24.1,OK,40.4,OK
194.0,24.1,OK,40.4,OK
196.0,24.2,OK,40.4,OK
198.0,24.2,OK,40.4,OK
200.0,24.2,OK_inner,40.4,OK
202.0,24.2,OK,40.4,OK
204.0,24.2,OK,40.3,OK
206.0,24.2,OK,40.3,OK
208.0,24.2,OK,40.3,OK
210.0,24.2,OK,40.3,OK
212.0,24.2,OK,40.2,OK
214.0,24.3,OK,40.2,OK
216.0,24.2,OK_inner,40.2,OK
218.0,24.2,OK,40.2,OK
220.0,24.3,OK_inner,40.2,OK
222.0,24.2,OK_inner,40.2,OK
224.0,24.2,OK,40.2,OK
226.0,24.3,OK,40.2,OK
228.0,24.2,OK_inner,40.1,OK
230.0,24.2,OK_inner,40.1,OK
232.0,24.4,OK,40.1,OK
234.0,24.3,OK,40.1,OK
236.0,24.3,OK,40.1,OK
238.0,24.4,OK,40.1,OK
240.0,24.3,OK,40.0,OK
242.0,24.3,OK,40.0,OK
244.0,24.4,OK,40.0,OK
246.0,24.4,OK,40.0,OK
248.0,24.8,OK,40.0,OK
250.0,24.4,OK,40.0,OK
252.0,24.4,OK,40.0,OK
254.0,24.4,OK,40.0,OK
256.0,24.4,OK,39.9,OK
258.0,24.4,OK,39.9,OK
260.0,24.4,OK,39.9,OK
262.0,24.5,OK,39.9,OK
264.0,24.0,OK_inner,39.9,OK
266.0,24.4,OK,39.9,OK
268.0,24.5,OK,39.9,OK
270.0,24.5,OK,39.9,OK
272.0,24.4,OK,39.8,OK
274.0,24.5,OK,39.8,OK
276.0,24.5,OK,39.8,OK
278.0,24.5,OK,39.8,OK
280.0,24.5,OK,39.8,OK
282.0,24.5,OK,39.8,OK
284.0,24.5,OK,39.8,OK
286.0,24.6,OK,39.8,OK
288.0,24.6,OK,39.8,OK
290.0,24.5,OK,39.7,OK
292.0,24.6,OK,39.7,OK
294.0,24.6,OK,39.7,OK
296.0,24.6,OK,39.7,OK
298.0,24.6,OK,39.7,OK
300.0,24.7,OK,39.7,OK
302.0,24.6,OK,39.7,OK
304.0,24.7,OK_inner,39.7,OK
306.0,24.7,OK,39.6,OK
308.0,24.7,OK,39.6,OK
310.0,24.7,OK,39.6,OK
312.0,24.7,OK,39.6,OK
314.0,24.7,OK_inner,39.6,OK
316.0,24.8,OK,39.6,OK
318.0,24.7,image_sweep_check,39.6,OK
320.0,24.7,image_sweep_check,39.6,OK
322.0,24.8,OK,39.6,OK
324.0,24.3,OK,39.6,OK
326.0,24.7,image_sweep_check,39.5,OK
328.0,24.8,OK,39.5,OK
330.0,24.8,OK,39.5,OK
332.0,24.8,OK,39.5,OK
334.0,24.8,OK,39.5,OK
336.0,24.8,OK,39.5,OK
338.0,24.8,OK,39.5,OK
340.0,24.8,OK,39.5,OK
342.0,24.8,OK,39.6,OK
344.0,24.8,OK,39.4,OK
346.0,24.9,OK,39.4,OK
348.0,24.9,OK,39.4,OK
350.0,24.8,OK,39.4,OK
352.0,20.0,OK,39.4,OK
354.0,26.0,OK,39.4,OK
356.0,24.9,OK,39.4,OK
358.0,25.0,OK,39.4,OK
360.0,25.0,OK,39.4,OK
362.0,26.0,OK,39.3,OK
364.0,25.0,OK,39.3,OK
366.0,25.0,OK,39.3,OK
368.0,25.0,OK,39.3,OK
370.0,25.0,image_sweep_check,39.3,OK
372.0,25.0,OK,39.3,OK
374.0,25.0,OK,39.3,OK
376.0,25.0,image_sweep_check,39.3,OK
378.0,25.1,OK,39.3,OK
380.0,25.1,OK,39.2,OK
382.0,25.1,OK,39.2,OK
384.0,25.1,OK,39.2,OK
386.0,25.1,OK,39.2,OK
388.0,25.1,OK,39.3,OK
390.0,25.2,OK,39.3,OK
392.0,25.1,OK,39.3,OK
394.0,25.2,OK,39.3,OK
396.0,25.2,OK,39.3,OK
398.0,25.1,OK,39.3,OK
400.0,25.2,OK,39.3,OK
402.0,25.2,OK,39.3,OK
404.0,25.1,OK,39.2,OK
406.0,25.3,image_sweep_check,39.2,image_sweep_check
408.0,25.7,image_sweep_check,39.2,OK
410.0,25.2,OK,39.2,OK
412.0,25.3,OK,39.2,OK
414.0,25.3,OK,39.2,OK
416.0,25.2,image_sweep_check,39.2,OK
418.0,25.3,OK,39.2,OK
420.0,25.4,OK,39.1,OK
422.0,25.3,OK,39.1,OK
424.0,25.8,OK,39.1,OK
426.0,25.4,OK,39.1,OK
428.0,25.3,OK,39.1,OK
430.0,25.4,OK,39.1,OK
432.0,25.4,OK,39.1,OK
434.0,25.3,OK,39.1,OK_inner
436.0,25.0,OK,39.1,OK_inner
438.0,25.4,OK,39.1,OK
440.0,25.3,OK,39.1,OK_inner
442.0,25.0,OK,39.1,OK
444.0,25.6,OK,39.0,OK
446.0,25.4,OK,39.0,OK
448.0,25.0,OK,39.0,OK
450.0,25.6,OK,39.0,OK
452.0,25.4,OK,39.0,OK
454.0,25.6,OK,39.0,OK
456.0,25.6,OK,39.0,OK
458.0,25.4,OK,39.0,OK
460.0,25.6,OK,39.0,OK
462.0,25.6,OK,38.9,OK
464.0,25.5,OK,38.9,OK
466.0,25.6,OK,38.9,OK
468.0,25.6,OK,38.9,OK
470.0,25.5,OK,38.9,OK
472.0,25.6,OK,38.9,OK
474.0,25.7,OK,38.9,OK
476.0,25.6,OK,38.9,OK
478.0,25.6,OK,38.9,OK
480.0,25.0,OK,38.9,OK
482.0,25.6,OK,38.9,OK
484.0,25.7,OK,38.9,OK
486.0,25.7,OK,38.9,OK
488.0,25.6,OK,38.8,OK
490.0,25.7,OK_inner,38.8,OK
492.0,25.8,OK,38.8,OK
494.0,25.7,OK_inner,38.8,OK
496.0,25.0,OK,38.8,OK
498.0,25.8,OK,38.8,OK
500.0,25.7,OK_inner,38.8,OK
502.0,25.0,OK,38.8,OK
504.0,25.9,OK,38.7,OK_inner
506.0,25.7,OK_inner,38.7,OK_inner
508.0,25.8,OK,38.7,OK
510.0,25.9,OK,38.7,OK_inner
512.0,25.7,OK,38.7,OK_inner
514.0,25.8,OK,38.7,OK_inner
516.0,25.9,OK,38.7,OK_inner
518.0,25.8,OK,38.7,OK_inner
520.0,25.8,OK,38.7,OK_inner
522.0,25.9,OK,38.7,OK_inner
524.0,25.8,OK,38.7,OK_inner
526.0,25.9,OK,38.7,OK_inner
528.0,26.0,OK,38.7,OK
530.0,25.9,OK,38.7,OK
532.0,26.9,OK,38.6,OK
534.0,26.0,OK,38.6,OK
536.0,25.9,OK,38.6,OK
538.0,26.9,OK,38.6,OK
540.0,26.0,OK,38.6,OK
542.0,25.9,OK,38.6,OK
544.0,26.0,OK,38.6,OK
546.0,26.1,OK_inner,38.6,OK
548.0,26.0,OK,38.6,OK
550.0,26.0,OK,38.6,OK
552.0,26.1,OK_inner,38.5,OK
554.0,26.0,OK,38.5,OK
556.0,26.0,OK,38.5,OK
558.0,26.2,OK,38.5,OK
560.0,26.0,OK,38.5,OK
562.0,26.1,OK_inner,38.5,OK
564.0,26.2,OK,38.5,OK
566.0,26.0,OK,38.5,OK
568.0,26.1,OK_inner,38.5,OK
570.0,26.2,OK,38.5,OK
572.0,26.0,OK,38.5,OK
574.0,26.2,OK,38.5,OK
576.0,26.2,OK_inner,38.5,OK
578.0,26.1,OK,38.4,OK
580.0,26.2,OK_inner,38.4,OK
582.0,26.3,image_sweep_check,38.4,OK
584.0,26.2,OK,38.4,OK
586.0,26.2,OK_inner,38.4,OK
588.0,26.3,OK_inner,38.4,OK
590.0,26.1,OK,38.4,OK
592.0,26.2,OK_inner,38.4,OK
594.0,26.3,OK_inner,38.4,OK
596.0,26.2,OK,38.4,OK
598.0,26.2,OK_inner,38.4,OK
600.0,26.3,OK,38.3,OK
602.0,26.2,OK,38.3,OK
604.0,26.3,OK,38.3,OK
606.0,26.4,OK,38.3,OK
608.0,26.3,OK_inner,38.3,OK
610.0,26.3,OK,38.3,OK
612.0,26.4,OK,38.3,OK
614.0,26.3,OK,38.3,OK
616.0,26.3,OK,38.3,OK
618.0,26.5,OK,38.3,OK
620.0,26.3,OK,38.3,OK
622.0,26.3,OK,38.3,OK
624.0,26.5,OK,38.3,OK
626.0,26.3,OK,38.3,OK
628.0,26.4,OK,38.2,image_sweep_check
630.0,26.5,OK,38.2,OK_inner
632.0,26.4,OK,38.2,OK
634.0,26.4,OK,38.2,OK
636.0,26.5,OK,38.2,OK_inner
638.0,26.5,OK,38.2,OK_inner
640.0,26.5,OK,38.2,OK
642.0,26.6,OK,38.2,OK_inner
644.0,26.5,OK,38.2,OK_inner
646.0,26.5,OK,38.2,OK
648.0,26.6,OK,38.2,OK_inner
650.0,26.5,OK,38.2,OK
652.0,26.5,OK,38.2,OK
654.0,26.6,OK,38.1,OK
656.0,26.5,OK,38.1,OK_inner
658.0,26.5,OK,38.1,OK
660.0,26.6,OK,38.1,OK
662.0,26.6,OK,38.1,OK
664.0,26.6,OK,38.1,OK_inner
666.0,26.7,image_sweep_check,38.1,OK
668.0,26.6,OK,38.1,OK_inner
670.0,26.6,OK,38.1,OK
672.0,26.7,OK,38.1,OK
674.0,26.6,OK,38.1,image_sweep_check
676.0,26.6,OK,38.1,OK_inner
678.0,26.8,OK,38.1,OK
680.0,26.6,OK,38.1,OK_inner
682.0,26.6,OK,38.1,image_sweep_check
684.0,26.8,OK,38.0,OK
686.0,26.6,OK,38.0,OK
688.0,26.6,OK,38.0,OK
690.0,26.8,OK,38.0,OK
692.0,26.7,OK,38.0,OK
694.0,26.7,OK_inner,38.0,OK
696.0,26.8,OK,38.0,OK
698.0,26.8,OK,38.0,OK
700.0,26.8,OK,38.0,OK
702.0,26.9,OK,38.0,OK
704.0,26.8,OK,38.0,OK
706.0,26.8,OK,38.0,OK
708.0,26.9,OK,38.0,OK
710.0,26.8,OK,38.0,OK
712.0,26.8,OK,37.9,OK
714.0,26.9,OK,37.9,OK
716.0,26.8,OK,37.9,OK
718.0,26.8,OK,37.9,OK
720.0,26.9,OK,37.9,OK
722.0,26.8,OK,37.9,OK
724.0,26.8,OK,37.9,OK
726.0,26.9,OK,37.9,OK
728.0,26.9,OK,37.9,OK
730.0,26.8,OK,37.9,OK
732.0,26.9,OK,37.9,OK
734.0,26.9,OK,37.9,OK
736.0,26.9,OK,37.9,OK
738.0,27.0,OK,37.9,OK
740.0,26.9,OK,37.8,OK
742.0,26.9,OK,37.8,OK
744.0,27.0,OK,37.9,OK
746.0,26.9,OK,37.9,OK
748.0,26.9,OK,37.8,OK
750.0,27.1,OK,37.8,OK
752.0,27.0,OK,37.8,OK
754.0,27.0,OK,37.8,OK
756.0,27.1,OK,37.8,OK
758.0,27.0,OK,37.8,OK
760.0,27.0,OK,37.8,OK
762.0,27.1,OK,37.8,OK
764.0,27.1,OK,37.8,OK
766.0,27.0,OK,37.8,OK
768.0,27.1,OK,37.8,OK
770.0,27.1,OK_inner,37.7,image_sweep_check
772.0,27.1,OK,37.7,OK_inner
774.0,27.1,OK,37.7,OK_inner
776.0,27.1,OK_inner,37.7,OK_inner
778.0,27.1,OK,37.7,OK_inner
780.0,27.2,OK_inner,37.7,OK_inner
782.0,27.1,OK,37.7,OK_inner
784.0,27.1,OK,37.7,OK_inner
786.0,27.2,OK_inner,37.7,OK_inner
788.0,27.1,OK,37.7,OK_inner
790.0,27.1,OK,37.7,OK_inner
792.0,27.2,OK_inner,37.7,OK_inner
794.0,27.2,OK_inner,37.7,OK_inner
796.0,27.1,OK,37.7,OK_inner
798.0,27.2,OK_inner,37.7,OK_inner
800.0,27.2,OK_inner,37.7,OK_inner
802.0,27.2,OK_inner,37.7,OK_inner
804.0,27.3,OK_inner,37.6,OK
806.0,27.2,OK_inner,37.6,OK
808.0,27.2,OK_inner,37.6,OK
810.0,27.3,OK,37.6,OK
812.0,27.2,OK_inner,37.6,OK
814.0,27.2,OK_inner,37.6,OK
816.0,27.3,OK_inner,37.6,OK
818.0,27.3,OK_inner,37.6,OK
820.0,27.2,OK_inner,37.6,OK
822.0,27.4,OK,37.6,OK
824.0,27.3,OK_inner,37.6,OK
826.0,27.3,OK,37.6,OK
828.0,27.4,OK,37.6,OK
830.0,27.4,OK,37.5,OK
832.0,27.3,OK,37.5,OK
834.0,27.4,OK,37.5,OK
836.0,27.4,OK,37.5,OK
838.0,27.4,OK,37.5,OK
840.0,27.4,OK,37.5,OK
842.0,27.4,OK,37.5,OK
844.0,27.4,OK,37.5,OK
846.0,27.5,OK,37.5,OK
848.0,27.4,OK,37.5,OK
850.0,27.4,OK_inner,37.5,OK
852.0,27.5,OK,37.5,OK
854.0,27.5,OK,37.5,OK
856.0,27.4,OK,37.5,OK
858.0,27.5,OK,37.5,OK
860.0,27.5,OK,37.5,OK
862.0,27.4,OK,37.5,OK
864.0,27.5,OK,37.5,OK
866.0,27.5,OK,37.5,OK
868.0,27.5,OK,37.5,OK
870.0,27.6,OK,37.4,OK
872.0,27.5,OK,37.4,OK
874.0,27.5,OK,37.4,OK
876.0,27.6,OK,37.4,OK
878.0,27.5,OK,37.4,OK
880.0,27.5,OK,37.4,OK
882.0,27.6,OK,37.4,OK
884.0,27.6,OK,37.4,OK
886.0,27.5,OK,37.4,OK
888.0,27.7,OK_inner,37.4,OK
890.0,27.7,image_sweep_check,37.4,OK
892.0,27.6,OK,37.4,OK
894.0,27.7,OK_inner,37.4,OK
896.0,27.7,OK_inner,37.4,OK
