time,Viscosity,Viscosity_verbose,Temperature,Temperature_verbose
0.0,692.1,image_sweep_check,14.7,OK
1.0,692.9,OK,14.7,OK
2.0,692.9,OK,14.7,OK
3.0,6921.0,OK,14.7,OK
4.0,6921.0,OK,14.7,OK
5.0,691.4,OK,14.7,OK
6.0,691.4,OK,14.7,OK
7.0,691.4,OK,14.7,OK
8.0,691.4,OK,14.7,OK
9.0,690.6,OK,14.7,OK
10.0,690.6,OK,14.7,OK
11.0,690.6,OK,14.7,OK
12.0,690.6,OK,14.7,OK
13.0,690.6,OK,14.7,OK
14.0,691.4,OK,14.7,OK
15.0,692.0,image_sweep_check,14.7,OK
16.0,693.6,OK,14.7,OK
17.0,693.6,OK,14.7,OK
18.0,693.6,OK,14.7,OK
19.0,693.6,OK,14.7,OK
20.0,692.9,OK,14.7,OK
21.0,692.9,OK,14.7,OK
22.0,6921.0,OK,14.7,OK
23.0,692.1,image_sweep_check,14.7,OK
24.0,691.4,OK,14.7,OK
25.0,691.4,OK,14.7,OK
26.0,691.4,OK,14.7,OK
27.0,691.4,OK,14.7,OK
28.0,691.4,OK,14.7,OK
29.0,6921.0,image_sweep_check,14.7,OK
30.0,692.9,OK,14.7,OK
31.0,693.6,OK,14.7,OK
32.0,694.4,OK,14.7,OK
33.0,694.4,OK,14.7,OK
34.0,693.6,OK,14.7,OK
35.0,693.6,OK,14.7,OK
36.0,692.9,OK,14.7,OK
37.0,692.9,OK,14.7,OK
38.0,692.9,OK,14.7,OK
39.0,6921.0,OK_inner,14.7,OK
40.0,692.1,image_sweep_check,14.7,OK
41.0,6921.0,OK,14.7,OK
42.0,6921.0,OK,14.7,OK
43.0,6921.0,OK,14.7,OK
44.0,692.9,OK,14.7,OK
45.0,693.6,OK,14.7,OK
46.0,695.1,OK_inner,14.7,OK
47.0,695.1,OK_inner,14.7,OK
48.0,695.1,OK_inner,14.7,OK
49.0,695.1,OK_inner,14.7,OK
50.0,694.4,OK,14.7,OK
51.0,693.6,OK,14.7,OK
52.0,693.6,OK,14.7,OK
53.0,693.6,OK,14.7,OK
54.0,692.9,OK,14.7,OK
55.0,692.9,OK,14.7,OK
56.0,692.9,OK,14.7,OK
57.0,692.9,OK,14.7,OK
58.0,692.9,OK,14.7,OK
59.0,693.6,OK,14.8,OK
60.0,694.4,OK,14.7,OK
61.0,695.9,OK,14.7,OK
62.0,695.9,OK,14.7,OK
63.0,695.9,OK,14.7,OK
64.0,695.1,OK_inner,14.7,OK
65.0,695.1,OK_inner,14.7,OK
