time,Viscosity,Viscosity_verbose,Temperature,Temperature_verbose
0.0,108.7,OK,12.5,OK
1.0,108.7,OK,12.5,OK
2.0,108.7,OK,12.5,OK
3.0,108.9,OK,12.5,OK
4.0,108.9,OK,12.5,OK
5.0,109.0,OK,12.5,OK
6.0,109.0,OK,12.5,OK
7.0,109.0,OK,12.5,OK
8.0,109.0,OK,12.5,OK
9.0,109.2,OK,12.5,OK
10.0,109.2,OK,12.5,OK
11.0,109.2,OK,12.5,OK
12.0,109.3,OK,12.5,OK
13.0,109.0,OK,12.5,OK
14.0,109.0,OK,12.5,OK
15.0,109.5,OK,12.5,OK
16.0,109.5,OK,12.5,OK
17.0,109.0,OK,12.5,OK
18.0,109.5,OK,12.5,OK
19.0,109.6,OK,12.5,OK
20.0,109.6,OK,12.5,OK
21.0,109.8,OK,12.5,OK
22.0,109.8,OK,12.5,OK
23.0,109.8,OK,12.5,OK
24.0,109.8,OK,12.5,OK
25.0,109.8,OK,12.5,OK
26.0,109.6,OK,12.5,OK
27.0,109.6,OK,12.6,OK
28.0,109.6,OK,12.6,OK
29.0,109.5,OK,12.6,OK
30.0,109.5,OK,12.6,OK
31.0,109.5,OK,12.6,OK
32.0,109.5,OK,12.7,image_sweep_check
38.0,109.6,OK,12.6,OK
39.0,109.6,OK,12.6,OK
40.0,109.6,OK,12.6,OK
41.0,109.6,OK,12.6,OK
42.0,109.8,OK,12.6,OK
43.0,109.8,OK,12.6,OK
44.0,109.8,OK,12.6,OK
45.0,109.8,OK,12.6,OK
46.0,109.8,OK,12.6,OK
47.0,109.8,OK,12.6,OK
48.0,109.9,OK,12.6,OK
49.0,109.9,OK,12.6,OK
50.0,109.8,OK,12.6,OK
51.0,109.8,OK,12.6,OK
52.0,109.8,OK,12.6,OK
53.0,109.6,OK,12.6,OK
54.0,109.6,OK,12.7,image_sweep_check
56.0,109.3,OK,12.8,OK
57.0,109.0,OK,12.8,OK
58.0,109.2,OK,12.9,OK
59.0,109.0,OK,12.9,OK
60.0,108.9,OK,13.0,OK
61.0,108.9,OK,13.0,image_sweep_check
62.0,108.6,OK,13.0,image_sweep_check
63.0,108.6,OK,13.1,image_sweep_check
64.0,108.4,OK,13.1,OK_inner
65.0,108.0,OK,13.2,OK_inner
66.0,108.0,OK,13.2,OK_inner
67.0,108.0,OK,13.2,OK_inner
68.0,108.0,OK,13.2,OK_inner
69.0,108.0,OK,13.3,OK
70.0,108.0,OK,13.3,OK
71.0,107.8,OK,13.3,OK
72.0,107.8,OK,13.3,OK
73.0,107.8,OK,13.3,OK
74.0,107.8,OK,13.3,OK
75.0,108.0,OK,13.3,OK
76.0,108.0,OK,13.2,OK_inner
77.0,108.0,OK,13.2,OK_inner
78.0,108.0,OK,13.2,OK_inner
79.0,108.0,OK,13.2,OK
80.0,108.0,OK,13.2,OK_inner
81.0,108.0,OK,13.2,OK
82.0,108.0,OK,13.2,OK_inner
83.0,108.0,OK,13.1,OK_inner
84.0,108.0,OK,13.1,OK
85.0,108.0,OK,13.1,OK
86.0,108.0,OK,13.1,OK
87.0,108.0,OK,13.1,OK_inner
88.0,108.0,OK,13.0,OK_inner
89.0,108.0,OK,13.0,OK_inner
90.0,108.0,OK,13.0,OK_inner
91.0,108.0,OK,13.0,OK_inner
92.0,108.0,OK,13.0,OK
93.0,108.0,OK,13.0,OK_inner
95.0,108.0,OK,13.1,OK
96.0,108.0,OK,13.1,image_sweep_check
97.0,108.0,OK,13.2,OK_inner
98.0,107.8,OK,13.2,OK_inner
99.0,107.7,OK,13.2,OK_inner
100.0,107.7,OK,13.3,OK
101.0,107.4,OK,13.3,OK
102.0,107.1,OK_inner,13.4,OK
103.0,106.9,OK,13.4,OK
104.0,106.6,OK,13.5,OK
105.0,106.0,OK,13.5,OK
106.0,106.2,OK,13.6,OK_inner
107.0,106.0,OK,13.6,OK_inner
108.0,105.9,OK,13.6,OK_inner
110.0,105.6,OK,13.8,image_sweep_check
111.0,105.0,OK,13.8,OK_inner
112.0,105.0,OK,13.8,OK_inner
113.0,105.0,OK,13.8,OK
114.0,105.0,OK,13.8,OK
115.0,105.0,OK,13.8,OK
116.0,105.0,OK,13.8,OK_inner
117.0,105.0,OK,13.8,OK
118.0,105.0,OK,13.8,OK
119.0,105.0,OK,13.7,image_sweep_check
124.0,105.0,OK,13.6,image_sweep_check
125.0,105.0,OK,13.6,image_sweep_check
126.0,105.4,OK,13.6,OK
127.0,105.6,OK,13.6,image_sweep_check
128.0,105.0,OK,13.6,OK_inner
129.0,105.6,OK,13.6,OK_inner
130.0,105.6,OK,13.6,image_sweep_check
131.0,105.6,OK,13.6,OK_inner
132.0,105.6,OK,13.5,OK
133.0,105.6,OK,13.5,OK
134.0,105.6,OK,13.5,OK
135.0,105.6,OK,13.5,OK
136.0,105.6,OK,13.5,OK
137.0,105.6,OK,15.5,OK
138.0,105.6,OK,13.5,OK
139.0,105.6,OK,13.5,OK
140.0,105.0,OK,13.6,OK
141.0,105.0,OK,13.6,OK
142.0,105.0,OK,13.6,OK_inner
143.0,105.0,OK,13.6,OK
144.0,105.0,OK,13.6,OK
145.0,105.0,OK,45.7,image_sweep_check
147.0,104.7,OK,13.8,image_sweep_check
148.0,104.4,OK,13.8,image_sweep_check
149.0,104.1,OK_inner,13.9,OK
