,compound,T,Nu,rho,w_mass,w_vol,w,C_but,C_comp,V,ln_Nu,T_1,D,ln_D,D_comp,ln_D_comp,D_but,ln_D_but
0,butanol,286.15,3.72,0.82668,100.0,100.0,100.0,11.153265,0.0,4.499927,1.313724,0.003495,76.922043,4.342792,1.892807345008333e-10,-22.387789835207094,1.892807345008333e-10,-22.387789835207094
1,butanol,286.35,3.7,0.82668,100.0,100.0,100.0,11.153265,0.0,4.475734,1.308333,0.003492,77.391892,4.348882,1.9043688347771364e-10,-22.38170029658746,1.9043688347771364e-10,-22.38170029658746
2,butanol,286.45,3.7,0.82668,100.0,100.0,100.0,11.153265,0.0,4.475734,1.308333,0.003491,77.418919,4.349231,1.9050338841344879e-10,-22.38135113457274,1.9050338841344879e-10,-22.38135113457274
3,butanol,286.55,3.7,0.82668,100.0,100.0,100.0,11.153265,0.0,4.475734,1.308333,0.00349,77.445946,4.34958,1.9056989334918399e-10,-22.38100209442958,1.9056989334918399e-10,-22.38100209442958
4,butanol,286.65,3.6975,0.82668,100.0,100.0,100.0,11.153265,0.0,4.47271,1.307656,0.003489,77.525355,4.350605,1.9076529375367165e-10,-22.379977272025574,1.9076529375367165e-10,-22.379977272025574
5,butanol,286.75,3.698947,0.82668,100.0,100.0,100.0,11.153265,0.0,4.474461,1.308048,0.003487,77.522055,4.350562,1.9075719168628832e-10,-22.380019744318528,1.9075719168628832e-10,-22.380019744318528
6,butanol,286.85,3.693571,0.82668,100.0,100.0,100.0,11.153265,0.0,4.467958,1.306593,0.003486,77.661961,4.352366,1.9110145985514871e-10,-22.378216625490417,1.9110145985514871e-10,-22.378216625490417
7,butanol,286.95,3.69,0.82668,100.0,100.0,100.0,11.153265,0.0,4.463638,1.305626,0.003485,77.764228,4.353682,1.9135308358830935e-10,-22.37690078927521,1.9135308358830935e-10,-22.37690078927521
8,butanol,287.05,3.69,0.82668,100.0,100.0,100.0,11.153265,0.0,4.463638,1.305626,0.003484,77.791328,4.35403,1.9141976875422273e-10,-22.37655235721594,1.9141976875422273e-10,-22.37655235721594
9,butanol,287.15,3.67,0.82668,100.0,100.0,100.0,11.153265,0.0,4.439445,1.300192,0.003483,78.242507,4.359813,1.9252997682978253e-10,-22.37076925053332,1.9252997682978253e-10,-22.37076925053332
10,butanol,287.25,3.67,0.82668,100.0,100.0,100.0,11.153265,0.0,4.439445,1.300192,0.003481,78.269755,4.360161,1.9259702540259461e-10,-22.37042106111476,1.9259702540259461e-10,-22.37042106111476
11,butanol,287.35,3.67,0.82668,100.0,100.0,100.0,11.153265,0.0,4.439445,1.300192,0.00348,78.297003,4.360509,1.9266407397540668e-10,-22.370072992889877,1.9266407397540668e-10,-22.370072992889877
12,butanol,287.45,3.664,0.82668,100.0,100.0,100.0,11.153265,0.0,4.432187,1.298555,0.003479,78.452511,4.362493,1.9304673028164914e-10,-22.36808883051973,1.9304673028164914e-10,-22.36808883051973
13,butanol,287.55,3.660435,0.82668,100.0,100.0,100.0,11.153265,0.0,4.427874,1.297582,0.003478,78.556242,4.363815,1.93301967666188e-10,-22.366767550427284,1.93301967666188e-10,-22.366767550427284
14,butanol,287.65,3.66,0.82668,100.0,100.0,100.0,11.153265,0.0,4.427348,1.297463,0.003476,78.592896,4.364281,1.9339217384601171e-10,-22.366300999881123,1.9339217384601171e-10,-22.366300999881123
15,butanol,287.75,3.644324,0.82668,100.0,100.0,100.0,11.153265,0.0,4.408386,1.293168,0.003475,78.958395,4.368921,1.9429156807644525e-10,-22.361661156902425,1.9429156807644525e-10,-22.361661156902425
16,butanol,287.85,3.6325,0.82668,100.0,100.0,100.0,11.153265,0.0,4.394082,1.28992,0.003474,79.242946,4.372518,1.9499173924317783e-10,-22.35806392111763,1.9499173924317783e-10,-22.35806392111763
17,butanol,287.95,3.631071,0.82668,100.0,100.0,100.0,11.153265,0.0,4.392354,1.289526,0.003473,79.301662,4.373259,1.951362452188524e-10,-22.35732310790741,1.951362452188524e-10,-22.35732310790741
18,butanol,288.05,3.606827,0.82668,100.0,100.0,100.0,11.153265,0.0,4.363027,1.282828,0.003472,79.86244,4.380306,1.965161149468172e-10,-22.350276678074394,1.965161149468172e-10,-22.350276678074394
19,butanol,288.15,3.6,0.82668,100.0,100.0,100.0,11.153265,0.0,4.354768,1.280934,0.00347,80.041667,4.382547,1.969571382187511e-10,-22.348034983356538,1.969571382187511e-10,-22.348034983356538
20,butanol,288.25,3.6,0.82668,100.0,100.0,100.0,11.153265,0.0,4.354768,1.280934,0.003469,80.069444,4.382894,1.9702549051381227e-10,-22.347688002090045,1.9702549051381227e-10,-22.347688002090045
21,butanol,288.35,3.578,0.82668,100.0,100.0,100.0,11.153265,0.0,4.328156,1.274799,0.003468,80.589715,4.389371,1.9830571104302528e-10,-22.341211280802256,1.9830571104302528e-10,-22.341211280802256
22,butanol,288.45,3.571333,0.82668,100.0,100.0,100.0,11.153265,0.0,4.320092,1.272939,0.003467,80.768154,4.391583,1.9874481107591046e-10,-22.33899947052908,1.9874481107591046e-10,-22.33899947052908
23,butanol,288.55,3.575,0.82668,100.0,100.0,100.0,11.153265,0.0,4.324527,1.273964,0.003466,80.713287,4.390903,1.9860978199619155e-10,-22.339679110766145,1.9860978199619155e-10,-22.339679110766145
24,butanol,288.65,3.551935,0.82668,100.0,100.0,100.0,11.153265,0.0,4.296627,1.267491,0.003464,81.265553,4.397722,1.9996876037951286e-10,-22.33285995968314,1.9996876037951286e-10,-22.33285995968314
25,butanol,288.75,3.55,0.82668,100.0,100.0,100.0,11.153265,0.0,4.294286,1.266948,0.003463,81.338028,4.398614,2.0014707243966908e-10,-22.33196865742847,2.0014707243966908e-10,-22.33196865742847
26,butanol,288.85,3.541525,0.82668,100.0,100.0,100.0,11.153265,0.0,4.284034,1.264556,0.003462,81.5609,4.40135,2.0069551264583632e-10,-22.329232218892223,2.0069551264583632e-10,-22.329232218892223
27,butanol,288.95,3.529111,0.82668,100.0,100.0,100.0,11.153265,0.0,4.269017,1.261042,0.003461,81.876141,4.405208,2.0147120441529484e-10,-22.325374650881432,2.0147120441529484e-10,-22.325374650881432
28,butanol,289.05,3.517222,0.82668,100.0,100.0,100.0,11.153265,0.0,4.254636,1.25767,0.00346,82.18133,4.408928,2.0222218328768724e-10,-22.321654105727358,2.0222218328768724e-10,-22.321654105727358
29,butanol,289.15,3.51,0.82668,100.0,100.0,100.0,11.153265,0.0,4.245899,1.255616,0.003458,82.378917,4.41133,2.0270837043011566e-10,-22.319252768650696,2.0270837043011566e-10,-22.319252768650696
30,butanol,289.25,3.51,0.82668,100.0,100.0,100.0,11.153265,0.0,4.245899,1.255616,0.003457,82.407407,4.411675,2.0277847534812713e-10,-22.318906987181137,2.0277847534812713e-10,-22.318906987181137
31,butanol,289.35,3.51,0.82668,100.0,100.0,100.0,11.153265,0.0,4.245899,1.255616,0.003456,82.435897,4.412021,2.028485802661386e-10,-22.318561325235073,2.028485802661386e-10,-22.318561325235073
32,butanol,289.55,3.49,0.82668,100.0,100.0,100.0,11.153265,0.0,4.221706,1.249902,0.003454,82.965616,4.418426,2.041520496442942e-10,-22.312156058319687,2.041520496442942e-10,-22.312156058319687
33,butanol,289.65,3.477333,0.82668,100.0,100.0,100.0,11.153265,0.0,4.206384,1.246262,0.003452,83.296587,4.422408,2.049664848091359e-10,-22.308174638891803,2.049664848091359e-10,-22.308174638891803
34,butanol,289.75,3.47625,0.82668,100.0,100.0,100.0,11.153265,0.0,4.205073,1.24595,0.003451,83.351312,4.423064,2.0510112615117647e-10,-22.307517960123324,2.0510112615117647e-10,-22.307517960123324
35,butanol,289.85,3.476667,0.82668,100.0,100.0,100.0,11.153265,0.0,4.205577,1.246068,0.00345,83.370086,4.42329,2.0514730287520992e-10,-22.30729284421325,2.0514730287520992e-10,-22.30729284421325
36,butanol,289.95,3.47,0.82668,100.0,100.0,100.0,11.153265,0.0,4.197513,1.244146,0.003449,83.559078,4.425554,2.0561237069379468e-10,-22.305028415413467,2.0561237069379468e-10,-22.305028415413467
37,butanol,290.05,3.45,0.82668,100.0,100.0,100.0,11.153265,0.0,4.17332,1.238374,0.003448,84.072464,4.431679,2.068756505999095e-10,-22.298903224908344,2.068756505999095e-10,-22.298903224908344
38,butanol,290.15,3.436667,0.82668,100.0,100.0,100.0,11.153265,0.0,4.157191,1.234498,0.003446,84.42774,4.435896,2.0774985264266453e-10,-22.294686391494498,2.0774985264266453e-10,-22.294686391494498
39,butanol,290.25,3.432353,0.82668,100.0,100.0,100.0,11.153265,0.0,4.151973,1.233244,0.003445,84.562982,4.437497,2.0808265673551882e-10,-22.293085727013455,2.0808265673551882e-10,-22.293085727013455
40,butanol,290.35,3.436667,0.82668,100.0,100.0,100.0,11.153265,0.0,4.157191,1.234498,0.003444,84.485936,4.436585,2.078930543332678e-10,-22.293997330313054,2.078930543332678e-10,-22.293997330313054
41,butanol,290.45,3.43,0.82668,100.0,100.0,100.0,11.153265,0.0,4.149127,1.23256,0.003443,84.6793,4.438871,2.083688826876293e-10,-22.291711132516454,2.083688826876293e-10,-22.291711132516454
42,butanol,290.55,3.425,0.82668,100.0,100.0,100.0,11.153265,0.0,4.143078,1.2311,0.003442,84.832117,4.440674,2.0874491558563177e-10,-22.289908108970224,2.0874491558563177e-10,-22.289908108970224
43,butanol,290.65,3.403333,0.82668,100.0,100.0,100.0,11.153265,0.0,4.116869,1.224752,0.003441,85.401567,4.447364,2.1014617263224284e-10,-22.283217767195055,2.1014617263224284e-10,-22.283217767195055
44,butanol,290.75,3.395833,0.82668,100.0,100.0,100.0,11.153265,0.0,4.107797,1.222548,0.003439,85.619632,4.449915,2.106827610207066e-10,-22.280667616117732,2.106827610207066e-10,-22.280667616117732
45,butanol,290.85,3.398,0.82668,100.0,100.0,100.0,11.153265,0.0,4.110418,1.223186,0.003438,85.594467,4.449621,2.1062081832473496e-10,-22.28096166867012,2.1062081832473496e-10,-22.28096166867012
46,butanol,290.95,3.397778,0.82668,100.0,100.0,100.0,11.153265,0.0,4.110149,1.223121,0.003437,85.629496,4.45003,2.1070699996576278e-10,-22.280552573241387,2.1070699996576278e-10,-22.280552573241387
47,butanol,291.05,3.36619,0.82668,100.0,100.0,100.0,11.153265,0.0,4.071939,1.213778,0.003436,86.462725,4.459713,2.127573539199777e-10,-22.27086878305611,2.127573539199777e-10,-22.27086878305611
48,butanol,291.15,3.367273,0.82668,100.0,100.0,100.0,11.153265,0.0,4.073248,1.214102,0.003435,86.464633,4.459735,2.1276200220597198e-10,-22.270846935467144,2.1276200220597198e-10,-22.270846935467144
49,butanol,291.25,3.366667,0.82668,100.0,100.0,100.0,11.153265,0.0,4.072515,1.213922,0.003433,86.509901,4.460259,2.1287338893817835e-10,-22.27032354508624,2.1287338893817835e-10,-22.27032354508624
50,butanol,291.35,3.338864,0.82668,100.0,100.0,100.0,11.153265,0.0,4.038883,1.205628,0.003432,87.260227,4.468895,2.1471970166456327e-10,-22.26168765156235,2.1471970166456327e-10,-22.26168765156235
51,butanol,291.45,3.336667,0.82668,100.0,100.0,100.0,11.153265,0.0,4.036225,1.204971,0.003431,87.347652,4.469896,2.149348287499983e-10,-22.260686255844703,2.149348287499983e-10,-22.260686255844703
52,butanol,291.55,3.31,0.82668,100.0,100.0,100.0,11.153265,0.0,4.003968,1.196948,0.00343,88.081571,4.478263,2.1674079108851685e-10,-22.252318987497954,2.1674079108851685e-10,-22.252318987497954
53,butanol,291.65,3.31,0.82668,100.0,100.0,100.0,11.153265,0.0,4.003968,1.196948,0.003429,88.111782,4.478606,2.1681513195323593e-10,-22.251976051966473,2.1681513195323593e-10,-22.251976051966473
54,butanol,291.75,3.301333,0.82668,100.0,100.0,100.0,11.153265,0.0,3.993484,1.194326,0.003428,88.373384,4.481571,2.1745887343913236e-10,-22.249011370915305,2.1745887343913236e-10,-22.249011370915305
55,butanol,291.85,3.300714,0.82668,100.0,100.0,100.0,11.153265,0.0,3.992735,1.194139,0.003426,88.420255,4.482101,2.175742046386483e-10,-22.248481152832912,2.175742046386483e-10,-22.248481152832912
56,butanol,291.95,3.301818,0.82668,100.0,100.0,100.0,11.153265,0.0,3.99407,1.194473,0.003425,88.42098,4.482109,2.175759813387266e-10,-22.248472986916244,2.175759813387266e-10,-22.248472986916244
57,butanol,292.05,3.286667,0.82668,100.0,100.0,100.0,11.153265,0.0,3.975742,1.18987,0.003424,88.859026,4.487051,2.1865383983655532e-10,-22.243531276657137,2.1865383983655532e-10,-22.243531276657137
58,butanol,292.15,3.267333,0.82668,100.0,100.0,100.0,11.153265,0.0,3.952356,1.183963,0.003423,89.415425,4.493293,2.2002300594286286e-10,-22.23728900257595,2.2002300594286286e-10,-22.23728900257595
59,butanol,292.25,3.271875,0.82668,100.0,100.0,100.0,11.153265,0.0,3.957849,1.185363,0.003422,89.321872,4.492246,2.1979277825055423e-10,-22.238335930501737,2.1979277825055423e-10,-22.238335930501737
60,butanol,292.35,3.277778,0.82668,100.0,100.0,100.0,11.153265,0.0,3.96499,1.187165,0.003421,89.191525,4.490786,2.1947202177839755e-10,-22.23979635496163,2.1947202177839755e-10,-22.23979635496163
61,butanol,292.45,3.252,0.82668,100.0,100.0,100.0,11.153265,0.0,3.933808,1.179268,0.003419,89.929274,4.499024,2.2128740247938886e-10,-22.23155879557368,2.2128740247938886e-10,-22.23155879557368
62,butanol,292.55,3.253125,0.82668,100.0,100.0,100.0,11.153265,0.0,3.935168,1.179613,0.003418,89.928915,4.49902,2.2128651715663946e-10,-22.2315627963641,2.2128651715663946e-10,-22.2315627963641
63,butanol,292.65,3.236604,0.82668,100.0,100.0,100.0,11.153265,0.0,3.915183,1.174519,0.003417,90.418853,4.504453,2.224920841064934e-10,-22.2261295920046,2.224920841064934e-10,-22.2261295920046
64,butanol,292.75,3.216567,0.82668,100.0,100.0,100.0,11.153265,0.0,3.890946,1.168314,0.003416,91.013178,4.511004,2.2395455703227483e-10,-22.21957795504612,2.2395455703227483e-10,-22.21957795504612
65,butanol,292.85,3.21,0.82668,100.0,100.0,100.0,11.153265,0.0,3.883002,1.166271,0.003415,91.23053,4.51339,2.2448937878873937e-10,-22.21719272038328,2.2448937878873937e-10,-22.21719272038328
66,butanol,292.95,3.21,0.82668,100.0,100.0,100.0,11.153265,0.0,3.883002,1.166271,0.003414,91.261682,4.513731,2.245660355682472e-10,-22.216851306928277,2.245660355682472e-10,-22.216851306928277
67,butanol,293.05,3.21,0.82668,100.0,100.0,100.0,11.153265,0.0,3.883002,1.166271,0.003412,91.292835,4.514072,2.2464269234775507e-10,-22.216510009996636,2.2464269234775507e-10,-22.216510009996636
68,butanol,293.15,3.18,0.82668,100.0,100.0,100.0,11.153265,0.0,3.846712,1.156881,0.003411,92.185535,4.523803,2.2683934298695405e-10,-22.20677908915901,2.2683934298695405e-10,-22.20677908915901
69,butanol,293.25,3.181,0.82668,100.0,100.0,100.0,11.153265,0.0,3.847922,1.157195,0.00341,92.187991,4.52383,2.2684538791598055e-10,-22.206752441010572,2.2684538791598055e-10,-22.206752441010572
70,butanol,293.35,3.182857,0.82668,100.0,100.0,100.0,11.153265,0.0,3.850168,1.157778,0.003409,92.165619,4.523587,2.2679034817553992e-10,-22.206995101525745,2.2679034817553992e-10,-22.206995101525745
71,butanol,293.55,3.16,0.82668,100.0,100.0,100.0,11.153265,0.0,3.822519,1.150572,0.003407,92.89557,4.531476,2.2858651384411226e-10,-22.199106360865773,2.2858651384411226e-10,-22.199106360865773
72,butanol,293.65,3.16,0.82668,100.0,100.0,100.0,11.153265,0.0,3.822519,1.150572,0.003405,92.927215,4.531817,2.2866438354734646e-10,-22.19876576140744,2.2866438354734646e-10,-22.19876576140744
73,butanol,293.75,3.145,0.82668,100.0,100.0,100.0,11.153265,0.0,3.804374,1.145803,0.003404,93.402226,4.536915,2.2983323379072658e-10,-22.193667140471184,2.2983323379072658e-10,-22.193667140471184
