time,Viscosity,Viscosity_verbose,Temperature,Temperature_verbose
0.0,69.1,image_sweep_check,14.8,OK
1.0,69.0,OK_inner,14.8,OK
2.0,69.3,image_sweep_check,14.8,OK
3.0,69.1,image_sweep_check,14.7,OK_inner
4.0,69.1,OK_inner,14.7,OK
5.0,69.6,OK,14.8,OK
6.0,69.6,OK,14.8,OK
7.0,69.3,OK_inner,14.8,OK
8.0,69.1,OK_inner,14.8,OK
9.0,69.8,OK_inner,14.8,OK
10.0,69.8,OK,14.8,OK
11.0,69.3,OK_inner,14.8,OK
12.0,69.6,OK_inner,14.8,OK
13.0,69.4,OK_inner,14.8,OK
14.0,69.3,OK_inner,14.8,OK
15.0,69.0,OK,14.8,OK
16.0,69.4,OK,14.8,OK
17.0,69.3,OK,14.8,OK
18.0,69.6,OK,14.8,OK
19.0,69.6,OK_inner,14.8,OK
20.0,69.4,OK_inner,14.8,OK
21.0,69.8,OK,14.8,OK
22.0,69.6,OK,14.8,OK
23.0,69.4,OK_inner,14.8,OK
24.0,69.7,OK_inner,14.8,OK
25.0,69.7,OK_inner,14.8,OK
26.0,69.6,OK,14.8,OK
27.0,69.7,OK_inner,14.7,OK_inner
28.0,69.6,OK,14.7,OK_inner
29.0,69.6,OK,14.7,OK
30.0,69.9,OK_inner,14.7,OK
31.0,69.7,OK,14.7,OK_inner
32.0,69.6,OK,14.7,OK_inner
33.0,69.9,OK_inner,14.7,OK
34.0,69.7,OK,14.7,OK
35.0,69.6,OK,14.7,OK
36.0,69.9,OK_inner,14.7,OK_inner
37.0,69.0,image_sweep_check,14.7,OK_inner
38.0,69.7,OK_inner,14.7,OK
39.0,80.0,OK,14.7,OK
40.0,60.0,OK,14.7,OK_inner
41.0,69.7,OK_inner,14.7,OK_inner
42.0,80.0,OK,14.7,OK
43.0,80.0,OK,14.7,OK_inner
44.0,69.7,OK,14.7,OK_inner
45.0,70.0,OK_inner,14.7,OK_inner
46.0,70.0,image_sweep_check,14.7,OK_inner
47.0,69.9,OK_inner,14.7,OK_inner
48.0,70.0,image_sweep_check,14.7,OK_inner
49.0,70.0,OK_inner,14.7,OK_inner
50.0,69.9,OK,14.7,OK_inner
51.0,70.0,OK_inner,14.7,OK_inner
52.0,70.0,OK_inner,14.7,OK_inner
53.0,69.9,OK,14.7,OK_inner
54.0,70.2,OK_inner,14.7,OK_inner
55.0,70.2,OK_inner,14.7,OK_inner
56.0,69.9,OK,14.7,OK_inner
57.0,70.3,image_sweep_check,14.7,OK_inner
58.0,70.3,OK_inner,14.7,OK_inner
59.0,70.0,OK_inner,14.7,OK
60.0,70.3,OK_inner,14.7,OK_inner
61.0,70.2,OK_inner,14.7,OK_inner
62.0,70.0,OK_inner,14.7,OK_inner
63.0,70.3,OK_inner,14.7,OK_inner
64.0,70.2,OK_inner,14.7,OK_inner
65.0,69.9,OK,14.8,OK
66.0,70.0,OK_inner,14.3,image_sweep_check
67.0,69.9,OK,14.8,OK
68.0,69.7,OK_inner,14.8,OK
69.0,69.9,OK,14.8,OK
70.0,69.7,OK_inner,14.9,OK
71.0,69.4,OK_inner,14.9,OK
72.0,69.6,OK,15.0,OK_inner
73.0,69.6,OK,15.0,OK
75.0,69.4,image_sweep_check,15.1,OK
76.0,69.8,OK,15.1,OK
77.0,69.1,OK,15.1,OK
78.0,69.4,OK,15.1,OK
79.0,69.3,OK_inner,15.1,OK
80.0,69.1,image_sweep_check,15.1,OK
81.0,69.4,OK_inner,15.1,OK
82.0,69.0,OK,15.1,OK
83.0,69.1,OK_inner,15.1,OK
84.0,69.4,OK,15.0,OK_inner
85.0,69.8,OK,15.0,OK
86.0,69.1,OK_inner,15.0,OK
87.0,69.4,OK,15.0,OK_inner
88.0,69.4,OK_inner,15.0,OK
89.0,69.1,OK_inner,15.0,OK
90.0,69.0,OK,15.0,OK
91.0,69.4,OK_inner,15.0,OK
92.0,69.3,OK_inner,15.0,OK_inner
93.0,69.0,OK,14.9,OK
94.0,69.4,OK,14.9,OK
95.0,69.3,OK_inner,14.9,OK
96.0,69.6,OK_inner,14.9,OK
97.0,69.4,OK,14.9,OK
98.0,69.3,OK_inner,14.9,OK
99.0,69.0,OK,14.9,OK
100.0,69.4,OK,14.9,OK
101.0,69.3,OK_inner,14.9,OK
102.0,69.6,OK,14.9,OK
103.0,69.6,OK,14.9,OK
104.0,69.3,OK_inner,14.9,OK
105.0,69.6,OK_inner,14.9,OK
106.0,69.4,OK,14.9,OK
107.0,69.1,image_sweep_check,14.9,OK
108.0,69.4,OK_inner,15.0,OK
109.0,69.0,OK,15.0,OK_inner
110.0,69.0,OK_inner,15.1,OK
111.0,69.3,image_sweep_check,15.1,OK
112.0,69.1,image_sweep_check,15.1,OK
113.0,68.0,image_sweep_check,15.2,OK
114.0,69.0,OK,15.2,OK
115.0,68.8,OK_inner,15.2,OK
116.0,68.5,image_sweep_check,15.3,OK
117.0,68.7,OK_inner,15.3,OK
119.0,68.4,image_sweep_check,15.3,OK
122.0,68.2,image_sweep_check,15.3,OK
123.0,68.5,OK,15.3,OK
125.0,68.2,image_sweep_check,15.3,OK
128.0,68.2,image_sweep_check,15.3,OK
130.0,68.5,image_sweep_check,15.3,OK
131.0,68.4,image_sweep_check,15.3,OK
132.0,68.7,image_sweep_check,15.3,OK
134.0,68.2,image_sweep_check,15.3,image_sweep_check
137.0,68.2,image_sweep_check,15.2,OK
140.0,68.2,image_sweep_check,15.2,OK
143.0,68.2,image_sweep_check,15.2,OK
146.0,68.2,image_sweep_check,15.2,OK
147.0,68.7,image_sweep_check,15.2,OK
149.0,68.2,image_sweep_check,15.2,OK
150.0,68.5,OK,15.2,OK
151.0,68.4,OK,15.2,OK
153.0,68.5,OK,15.3,OK
154.0,68.7,image_sweep_check,15.3,OK
155.0,68.1,image_sweep_check,15.3,OK
156.0,68.4,OK,15.3,OK
157.0,68.2,OK_inner,15.3,OK
158.0,67.9,OK,15.4,OK
159.0,68.2,OK_inner,15.4,OK
160.0,60.9,OK,15.4,OK
161.0,67.6,OK,15.4,OK
162.0,67.9,OK,15.4,OK
163.0,67.8,OK,15.5,OK
164.0,67.6,OK,15.5,OK
165.0,67.9,OK,15.5,OK
166.0,67.8,OK,15.5,OK
167.0,67.5,OK,15.5,OK
168.0,67.8,OK,15.5,OK
169.0,67.8,OK,15.5,OK
170.0,67.5,OK,15.5,OK
171.0,67.9,OK,15.5,OK
