time,Viscosity,Viscosity_verbose,Temperature,Temperature_verbose
0.0,327.9,OK,45.0,image_sweep_check
1.0,327.9,OK,45.0,OK_inner
2.0,327.4,OK,45.0,OK_inner
4.0,327.4,OK,415.0,image_sweep_check
5.0,327.4,OK,45.0,image_sweep_check
6.0,327.4,OK,45.0,OK_inner
7.0,327.4,OK,45.0,OK_inner
8.0,327.9,OK,45.0,OK_inner
9.0,327.9,OK,45.0,OK_inner
10.0,327.9,OK,45.0,OK_inner
11.0,327.9,OK,45.0,OK_inner
12.0,327.9,OK,45.0,OK_inner
13.0,327.9,OK,45.0,OK_inner
14.0,327.4,OK,45.0,OK_inner
15.0,327.9,OK,45.0,OK_inner
16.0,327.4,OK,45.0,OK_inner
17.0,327.9,OK,45.0,OK_inner
18.0,327.9,OK,45.0,OK_inner
19.0,327.9,OK,45.0,OK_inner
20.0,327.9,OK,45.0,OK_inner
21.0,327.9,OK,45.0,OK_inner
22.0,327.9,OK,45.0,OK_inner
23.0,327.9,OK,45.0,OK_inner
24.0,327.9,OK,15.0,image_sweep_check
25.0,327.9,OK,45.0,image_sweep_check
26.0,327.4,OK,45.0,OK_inner
27.0,327.9,OK,45.0,OK_inner
28.0,327.9,OK,45.0,OK_inner
29.0,327.9,OK,45.0,OK_inner
30.0,327.9,OK,45.0,OK_inner
31.0,327.9,OK,45.0,OK_inner
32.0,327.9,OK,45.0,OK_inner
33.0,327.9,OK,45.0,OK_inner
34.0,327.9,OK,45.0,OK_inner
35.0,327.9,OK,45.0,OK_inner
36.0,327.4,OK,45.0,OK_inner
37.0,327.9,OK,45.0,OK_inner
38.0,327.9,OK,45.0,OK_inner
39.0,327.9,OK,45.0,OK_inner
41.0,327.9,OK,15.0,image_sweep_check
42.0,328.4,OK,15.06,OK_inner
43.0,327.9,OK,45.0,image_sweep_check
44.0,327.9,OK,45.0,OK_inner
45.0,327.9,OK,45.0,OK_inner
46.0,327.4,OK,45.0,OK_inner
47.0,327.9,OK,45.0,OK_inner
48.0,327.9,OK,45.0,OK_inner
49.0,327.9,OK,45.0,OK_inner
50.0,327.9,OK,45.0,OK_inner
51.0,328.4,OK,45.0,OK_inner
52.0,328.4,OK,45.0,OK_inner
53.0,327.9,OK,45.0,OK_inner
54.0,327.9,OK,45.0,OK_inner
55.0,327.9,OK,45.0,OK_inner
57.0,327.9,OK,15.0,image_sweep_check
58.0,327.9,OK,15.0,OK_inner
59.0,327.9,OK,15.0,OK_inner
60.0,327.9,OK,15.01,OK_inner
61.0,328.4,OK,15.0,OK_inner
62.0,328.4,OK,45.0,OK_inner
63.0,327.9,OK,15.0,OK_inner
64.0,327.9,OK,15.0,OK_inner
65.0,327.9,OK,45.0,image_sweep_check
66.0,327.4,OK,45.0,OK_inner
67.0,327.9,OK,15.0,image_sweep_check
68.0,328.4,OK,45.0,image_sweep_check
69.0,327.9,OK,45.0,OK_inner
70.0,327.9,OK,45.0,OK_inner
71.0,328.4,OK,45.0,OK_inner
72.0,328.4,OK,45.0,OK_inner
73.0,327.9,OK,45.0,OK_inner
74.0,327.9,OK,45.0,OK_inner
75.0,327.9,OK,45.0,OK_inner
76.0,327.4,OK,45.0,OK_inner
78.0,328.4,OK,15.0,image_sweep_check
79.0,327.9,OK,45.0,image_sweep_check
80.0,327.9,OK,45.0,OK_inner
83.0,327.4,OK,15.1,image_sweep_check
87.0,325.4,OK,15.2,image_sweep_check
88.0,325.4,OK,15.2,OK_inner
90.0,324.4,OK,45.3,image_sweep_check
91.0,323.9,OK,15.46,OK_inner
92.0,323.0,OK,45.4,OK_inner
93.0,322.4,OK,45.56,OK_inner
94.0,321.4,OK,45.56,OK_inner
95.0,320.9,OK,45.6,OK_inner
96.0,319.4,OK,45.6,OK_inner
97.0,318.9,OK,45.6,OK_inner
98.0,318.9,OK,15.7,OK
99.0,318.4,OK,15.7,image_sweep_check
100.0,317.9,OK,15.7,OK_inner
102.0,317.9,OK,15.7,image_sweep_check
103.0,317.4,OK,45.8,image_sweep_check
104.0,316.9,OK,45.8,OK_inner
105.0,316.9,OK,45.8,OK_inner
106.0,315.9,OK,15.8,OK
107.0,316.4,OK,15.8,OK_inner
108.0,316.4,OK,15.7,OK
109.0,316.4,OK,45.7,OK_inner
110.0,316.4,OK,15.7,image_sweep_check
111.0,316.9,OK,15.7,image_sweep_check
112.0,316.9,OK,15.7,image_sweep_check
113.0,316.4,OK,45.7,image_sweep_check
114.0,316.4,OK,15.7,image_sweep_check
115.0,316.4,OK,15.7,OK_inner
116.0,315.9,OK,15.7,OK_inner
117.0,316.4,OK,15.7,OK_inner
118.0,316.9,OK,15.7,OK_inner
119.0,316.4,OK,15.7,OK_inner
120.0,316.4,OK,15.7,OK_inner
121.0,316.9,OK,15.7,OK_inner
122.0,316.9,OK,45.6,image_sweep_check
123.0,316.9,OK,45.6,OK_inner
124.0,316.4,OK,45.6,OK_inner
125.0,316.4,OK,45.6,OK_inner
126.0,315.9,OK,45.6,OK_inner
127.0,316.4,OK,45.6,OK_inner
128.0,316.9,OK,45.6,OK_inner
129.0,316.4,OK,45.6,OK_inner
130.0,316.4,OK,45.6,OK_inner
131.0,316.9,OK,15.6,OK_inner
132.0,316.9,OK,15.6,OK_inner
133.0,316.4,OK,15.6,OK
134.0,316.4,OK,45.6,OK_inner
135.0,316.4,OK,45.6,OK_inner
136.0,315.4,OK,45.6,OK_inner
137.0,315.9,OK,15.7,image_sweep_check
139.0,315.4,OK,15.7,image_sweep_check
140.0,315.4,OK,15.7,OK_inner
141.0,315.9,OK,15.7,OK_inner
142.0,315.4,OK,15.7,OK
143.0,315.4,OK,15.7,OK_inner
144.0,314.9,OK,15.7,OK_inner
145.0,314.9,OK,15.8,OK_inner
146.0,313.9,OK,15.8,image_sweep_check
147.0,313.9,OK,415.7,image_sweep_check
148.0,313.9,OK,45.8,OK_inner
149.0,313.9,OK,15.8,OK
150.0,313.9,OK,45.8,OK_inner
151.0,314.4,OK,45.8,OK_inner
152.0,313.9,OK,45.8,OK_inner
153.0,313.9,OK,45.8,OK_inner
154.0,313.9,OK,15.8,OK
155.0,313.4,OK,45.8,OK_inner
156.0,312.9,OK,45.8,OK_inner
157.0,312.9,OK,15.7,image_sweep_check
159.0,313.4,OK,15.7,image_sweep_check
160.0,313.4,OK,15.7,OK
161.0,313.4,OK,45.7,image_sweep_check
162.0,313.4,OK,15.7,image_sweep_check
163.0,313.4,OK,45.8,image_sweep_check
164.0,313.4,OK,15.7,image_sweep_check
165.0,312.9,OK,15.7,OK
166.0,312.4,OK,15.7,OK_inner
168.0,312.9,OK,15.7,image_sweep_check
169.0,312.9,OK,45.8,image_sweep_check
170.0,312.9,OK,15.2,image_sweep_check
171.0,312.9,OK,45.8,image_sweep_check
172.0,313.4,OK,15.8,OK_inner
173.0,312.9,OK,45.8,OK_inner
174.0,312.9,OK,45.8,OK_inner
175.0,312.4,OK,45.8,OK_inner
176.0,311.9,OK,45.8,OK_inner
177.0,311.9,OK,45.8,OK_inner
178.0,312.4,OK,45.8,OK_inner
179.0,312.4,OK,15.8,OK_inner
180.0,312.4,OK,45.8,OK_inner
181.0,312.9,OK,15.8,OK_inner
182.0,312.4,OK,15.8,OK_inner
183.0,312.4,OK,45.8,OK_inner
184.0,311.9,OK,45.8,OK_inner
185.0,311.9,OK,45.8,OK_inner
186.0,311.4,OK,15.8,OK_inner
187.0,311.9,OK,45.8,OK_inner
188.0,311.9,OK,15.8,OK_inner
189.0,311.9,OK,15.8,OK
190.0,311.9,OK,15.8,OK
191.0,312.4,OK,15.8,OK_inner
192.0,312.4,OK,15.8,OK_inner
193.0,311.9,OK,45.8,OK_inner
194.0,311.9,OK,45.8,OK_inner
195.0,311.9,OK,45.8,OK_inner
