time,Viscosity,Viscosity_verbose,Temperature,Temperature_verbose
1.0,344.9,OK,13.8,OK
2.0,344.9,OK,13.8,OK
3.0,344.9,OK,13.8,OK
4.0,345.4,image_sweep_check,13.8,OK
5.0,345.4,image_sweep_check,13.8,OK
6.0,345.4,image_sweep_check,13.8,OK
7.0,345.4,image_sweep_check,13.8,OK
8.0,345.9,image_sweep_check,13.8,OK
9.0,345.9,image_sweep_check,13.8,OK
10.0,345.4,image_sweep_check,13.8,OK
11.0,340.9,image_sweep_check,13.8,OK
12.0,344.9,OK,13.8,OK
13.0,344.4,OK,13.8,OK
14.0,344.9,OK,13.8,OK
15.0,346.4,image_sweep_check,13.8,OK
16.0,345.4,image_sweep_check,13.8,OK
17.0,345.4,image_sweep_check,13.8,OK
18.0,345.4,image_sweep_check,13.8,OK
19.0,345.4,image_sweep_check,13.8,OK
20.0,345.4,image_sweep_check,13.8,OK
21.0,344.9,OK,13.8,OK
22.0,344.9,OK,13.8,OK
23.0,344.9,OK,13.8,OK
24.0,344.9,OK,13.8,OK
25.0,344.9,OK,13.8,OK
26.0,344.9,OK,13.8,OK
27.0,345.4,image_sweep_check,13.8,OK
28.0,345.4,image_sweep_check,13.8,OK
29.0,845.4,image_sweep_check,13.8,OK
30.0,540.9,image_sweep_check,13.8,OK
31.0,344.9,OK,13.8,OK
32.0,344.9,OK,13.8,OK
33.0,344.4,OK,13.8,OK
34.0,344.4,OK,13.8,OK
35.0,344.9,OK,13.8,OK
36.0,344.9,OK,13.8,OK
37.0,344.9,OK,13.8,OK
38.0,345.4,image_sweep_check,18.9,image_sweep_check
39.0,845.4,image_sweep_check,13.8,OK
40.0,344.9,OK,13.8,OK
41.0,344.9,OK,13.8,OK
42.0,344.9,OK,13.8,OK
43.0,344.4,OK,13.8,OK
44.0,344.4,OK,13.8,OK
45.0,344.9,OK,13.8,OK
46.0,344.9,OK,13.8,OK
47.0,344.9,OK,13.8,OK
48.0,345.4,image_sweep_check,13.8,OK
49.0,345.4,image_sweep_check,13.8,OK
50.0,344.9,OK,13.8,OK
51.0,344.9,OK,13.8,OK
