time,Viscosity,Viscosity_verbose,Temperature,Temperature_verbose
0.0,16.0,OK,42.1,OK
1.0,10.0,OK,42.1,OK
2.0,15.0,OK,42.1,OK
3.0,15.0,OK,42.1,OK
4.0,16.0,OK,42.1,OK
5.0,16.0,OK,42.1,OK
6.0,16.0,OK,42.1,OK
7.0,14.9,OK,42.1,OK
8.0,16.0,OK,42.1,OK
9.0,15.0,OK_inner,42.1,OK
10.0,15.0,OK,42.1,OK
11.0,16.0,OK,42.1,OK
12.0,16.0,OK,42.1,OK
13.0,14.9,OK,42.1,OK
14.0,16.0,OK,42.1,OK
15.0,16.0,OK,42.1,OK
16.0,15.0,OK,42.1,OK
17.0,16.0,OK,42.1,OK
18.0,14.9,OK,42.1,OK
19.0,14.9,OK,42.1,OK
20.0,16.0,OK,42.0,OK
21.0,16.0,OK,42.1,OK
22.0,15.0,OK_inner,42.1,OK
23.0,16.0,OK,42.1,OK
24.0,14.9,OK,42.1,OK
25.0,14.9,OK,42.1,OK
26.0,14.9,OK,42.1,OK
27.0,10.0,OK,42.1,OK
28.0,15.0,OK,42.1,OK
29.0,14.9,OK,42.1,OK
30.0,14.9,OK,42.1,OK
31.0,14.9,OK,42.1,OK
32.0,14.9,OK,42.1,OK
33.0,14.9,OK,42.1,OK
34.0,14.9,OK,42.1,OK
35.0,14.9,OK,42.1,OK
36.0,14.9,OK,42.1,OK
37.0,14.9,OK,42.1,OK
38.0,14.9,OK,42.1,OK
39.0,14.9,OK,42.1,OK
40.0,14.9,OK,42.1,OK
41.0,14.9,OK,42.1,OK
42.0,14.9,OK,42.1,OK
43.0,14.9,OK,42.1,OK
44.0,14.9,OK,42.1,OK
45.0,14.9,OK,42.1,OK
46.0,14.9,OK,42.1,OK
47.0,14.9,OK,42.1,OK
48.0,14.9,OK,42.1,OK
49.0,14.9,OK,42.1,OK
50.0,14.9,OK,42.1,OK
51.0,14.9,OK,42.1,OK
52.0,14.9,OK,42.1,OK
53.0,14.9,OK,42.1,OK
54.0,14.9,OK,42.1,OK
55.0,14.9,OK,42.1,OK
56.0,14.9,OK,42.1,OK
57.0,14.9,OK,42.1,OK
58.0,14.9,OK,42.1,OK
59.0,14.9,OK,42.1,OK
60.0,14.9,OK,42.1,OK
61.0,14.9,OK,42.1,OK
62.0,14.9,OK,42.1,OK
63.0,14.9,OK,42.1,OK
64.0,14.9,OK,42.1,OK
65.0,14.9,OK,42.1,OK
66.0,14.9,OK,42.1,OK
67.0,14.9,OK,42.1,OK
68.0,14.9,OK,42.1,OK
69.0,14.9,OK,42.1,OK
70.0,14.9,OK,42.0,OK
71.0,14.9,OK,42.1,OK
72.0,14.9,OK,42.1,OK
73.0,14.9,OK,42.1,OK
74.0,14.9,OK,42.1,OK
75.0,14.9,OK,42.0,OK
