% Model,Parametric search.mph
% Version,COMSOL 6.0.0.318
% Date,"Jan 9 2024, 16:11"
% Table,Table 1 - Global Evaluation 1
% Time (s),fsens_KH,fsens_Kd,fsens_Ke,fsens_Kp,fsens_Kph,fsens_KqH,fsens_Kr,fsens_KrD,fsens_Ks
0,6.399999987583967E-23,3.839999991961572E-36,9.599999976703947E-18,-1.0240052337403668E-66,-2.55999999367678E-26,-1.0649590444712032E-62,-6.399999980159942E-43,-1.2799999957247879E-42,1.9199999821051913E-54
2.0000000000000002E-7,8.030736505804109E-15,3.2125507346046585E-22,1.6062110272003307E-9,-2.685500061522832E-38,-3.212561101252824E-15,-4.136115844110061E-32,-1.2900613541452031E-23,-2.5801221922627916E-23,2.5759823493498303E-29
4.0000000000000003E-7,4.00818813412826E-14,2.246066832431105E-21,8.017078033051709E-9,-2.060270804988011E-34,-2.2452227351085428E-14,-4.977213228515414E-28,-3.343253091677154E-22,-6.686504612393956E-22,4.700120138145866E-28
8.000000000000001E-7,2.2408810567174065E-13,2.23592480549255E-20,4.482808813125286E-8,-1.9797581415482026E-31,-1.89314749894969E-13,-3.6674723804616843E-25,-1.3849120382559368E-20,-2.7698233221751284E-20,-1.323562071105453E-25
1.6000000000000001E-6,1.4745492845707622E-12,3.554772882999967E-19,2.951272093678605E-7,-4.579319782480767E-28,-2.182893090391343E-12,-5.233159600678063E-22,-9.639418988950316E-19,-1.9278840192437334E-18,-2.5295485226446807E-22
3.2000000000000003E-6,1.2667311290643996E-11,1.5979515084991483E-17,2.542341393881874E-6,-6.419178054230129E-24,-3.8142597934837184E-11,-3.0201177494632014E-18,-1.747576581102673E-16,-3.495177763354815E-16,-1.5071606207494789E-18
6.4000000000000006E-6,9.815896031316472E-11,5.179187315556226E-16,1.9906520982711543E-5,-6.050102787113258E-20,-5.863559850348275E-10,-1.4178750811135179E-14,-2.19410940041412E-14,-4.388875544287395E-14,-7.145981938047497E-15
9.600000000000001E-6,2.9757971721375105E-10,2.7606708145898044E-15,6.105730572035289E-5,-3.3521423550322838E-18,-2.492906739517134E-9,-7.091503133645613E-13,-2.3824361923241293E-13,-4.767836202889549E-13,-3.578746404776175E-13
1.6000000000000003E-5,1.1269211757011677E-9,3.25133533210029E-14,2.4151963864399743E-4,-2.6168032664363225E-15,-1.666361508317177E-8,-3.0296168976738E-10,-7.421676514445294E-12,-1.491348549291896E-11,-1.540715384467078E-10
2.1760000000000002E-5,2.2363821710797797E-9,1.1327692845614475E-13,4.996502165051503E-4,-4.1269686309047055E-14,-4.5211985669823424E-8,-4.325713744181767E-9,-3.8913484391037194E-11,-7.872025561983027E-11,-2.2035130294070604E-9
2.752E-5,3.4029729683804743E-9,2.853518617049941E-13,7.999485396148036E-4,-3.2726413615951426E-13,-9.062851272998967E-8,-3.083063514367752E-8,-1.2990609814710032E-10,-2.6543320125441595E-10,-1.5735262664402882E-8
3.328E-5,4.298289821158055E-9,5.848416669219526E-13,0.0010750167855778994,-1.6565333464346976E-12,-1.488225756796295E-7,-1.39390757452754E-7,-3.1654478161790036E-10,-6.553240900309975E-10,-7.129935822996335E-8
3.833330049933728E-5,4.691304380332898E-9,9.709509350749619E-13,0.0012530804123176474,-5.082494511132932E-12,-2.0456740712636022E-7,-3.9060226371093886E-7,-5.703142425028325E-10,-1.1963699423920103E-9,-2.0018078916375896E-7
4.288127094874083E-5,4.694266478948727E-9,1.4255147481977962E-12,0.0013459356933181476,-1.1920836496662304E-11,-2.5379051996668866E-7,-8.431193844305824E-7,-8.611417991641241E-10,-1.830688346723628E-9,-4.3291066792933947E-7
4.697444435320403E-5,4.453012944357358E-9,1.9246430423149237E-12,0.0013765006751010381,-2.3231837718557078E-11,-2.949281890121685E-7,-1.5212685300227917E-6,-1.1543386457555129E-9,-2.4859389207222866E-9,-7.825808507513441E-7
5.106761775766722E-5,4.0535296576531545E-9,2.5116317923154987E-12,0.0013673323695769012,-4.200387314035676E-11,-3.321877383643215E-7,-2.534545481211146E-6,-1.4544631204287929E-9,-3.1748343342764315E-9,-1.3066124434740645E-6
5.516079116213042E-5,3.5696987703977063E-9,3.1896446556117043E-12,0.0013315729686977432,-7.108954196991318E-11,-3.658365347291126E-7,-3.9396656522892246E-6,-1.7418142014210046E-9,-3.853999493475359E-9,-2.0358128562348247E-6
5.9253964566593614E-5,3.062810806440077E-9,3.962933725205284E-12,0.0012814347905030813,-1.1361614528245938E-10,-3.967029014292062E-7,-5.770744996598793E-6,-2.002192011672539E-9,-4.488926875795188E-9,-2.9898476384082173E-6
6.334713797105681E-5,2.569282356925422E-9,4.835994916323554E-12,0.0012249597845461727,-1.7224723679703831E-10,-4.256410976481303E-7,-8.037786728742185E-6,-2.228807345287431E-9,-5.0603613377593405E-9,-4.1758789219699215E-6
6.744031137552E-5,2.1211432259360386E-9,5.814985209268158E-12,0.0011698679138660232,-2.504934055792498E-10,-4.5368619077866794E-7,-1.0736928020729651E-5,-2.4177004996002896E-9,-5.5533887308384885E-9,-5.594757645298066E-6
7.15334847799832E-5,1.733509077027306E-9,6.905836604968058E-12,0.0011206044903101775,-3.5188085643643084E-10,-4.816556196320688E-7,-1.3845836276892328E-5,-2.569962490247914E-9,-5.964424370130565E-9,-7.238028670642183E-6
7.56266581844464E-5,1.4077040013159697E-9,8.113473953042125E-12,0.0010786731045255536,-4.797004640414689E-10,-5.100486651286962E-7,-1.7328454427648222E-5,-2.6901289712984004E-9,-6.298870009029412E-9,-9.090107311408514E-6
7.971983158890959E-5,1.137937905765617E-9,9.441725522212881E-12,0.0010438862880315066,-6.369539147709828E-10,-5.391036405895085E-7,-2.1141515185658057E-5,-2.7839658503512992E-9,-6.566584437163184E-9,-1.1131509250394713E-5
8.56711722698621E-5,8.308913142739187E-10,1.1594028349339913E-11,0.0010046067863853396,-9.236271854137165E-10,-5.827049060018528E-7,-2.7184035296810545E-5,-2.884289051676465E-9,-6.857976743581367E-9,-1.4395678045080347E-5
9.162251295081461E-5,6.016333771882277E-10,1.4013652728606651E-11,9.754973945540173E-4,-1.2852992814073326E-9,-6.277680535117358E-7,-3.369589541226152E-5,-2.9545223575358286E-9,-7.061862499613786E-9,-1.7954041620156836E-5
9.757385363176712E-5,4.29938765829996E-10,1.6704972103629125E-11,9.536937953234313E-4,-1.727551356416589E-9,-6.74043092652292E-7,-4.0557625596520644E-5,-3.0046495969429574E-9,-7.203134890660971E-9,-2.1750250689516536E-5
1.0352519431271962E-4,3.020271792880769E-10,1.9671405279365616E-11,9.373908351290742E-4,-2.254617353751557E-9,-7.213252807785359E-7,-4.767193115011838E-5,-3.0409904996523215E-9,-7.299169865850894E-9,-2.5737997454098325E-5
1.0947653499367213E-4,2.0784753095026593E-10,2.2915479241651553E-11,9.2534986796688E-4,-2.869617579426569E-9,-7.694466562134925E-7,-5.4961804507423283E-5,-3.0677758760528804E-9,-7.362340387284215E-9,-2.9880304587588175E-5
1.1542787567462464E-4,1.3913425003212632E-10,2.6438737470906636E-11,9.165115301420415E-4,-3.574770724650353E-9,-8.182369835498884E-7,-6.23659822644723E-5,-3.088114988366554E-9,-7.402063534752616E-9,-3.414743879803513E-5
1.2137921635557715E-4,8.909372861560316E-11,3.024196630231194E-11,9.099615231751245E-4,-4.371543737821339E-9,-8.675246055983396E-7,-6.983532171733399E-5,-3.104268666286685E-9,-7.4255275510102635E-9,-3.851521937032382E-5
1.3328189771748218E-4,2.629966788700344E-11,3.8690289975502455E-11,9.012746109989782E-4,-6.242739140108279E-9,-9.670440960354412E-7,-8.482525193990061E-5,-3.1292508548696362E-9,-7.442113968848981E-9,-4.748015055505659E-5
1.451845790793872E-4,-7.254828677164523E-12,4.8264002562376614E-11,8.958547501614684E-4,-8.484596647922912E-9,-1.0671465369251209E-6,-9.97156415322705E-5,-3.14927891831947E-9,-7.437266648808944E-9,-5.6663708133009644E-5
1.5580521696541318E-4,-2.3321993938879302E-11,5.776016483287416E-11,8.926109611871698E-4,-1.0795462651908358E-8,-1.1565939735047604E-6,-1.1282023371842876E-4,-3.1651020701917327E-9,-7.424323485892625E-9,-6.498900663524541E-5
1.6642585485143917E-4,-3.1612175566996434E-11,6.815772508987876E-11,8.903317569141976E-4,-1.3395281382389537E-8,-1.2459501214544048E-6,-1.2571002517740008E-4,-3.1798862011090353E-9,-7.4071358192038954E-9,-7.341119728456227E-5
1.7704649273746515E-4,-3.6004657871106254E-11,7.945821496350478E-11,8.884873738574895E-4,-1.62794953610553E-8,-1.3350211144835494E-6,-1.3836092384535422E-4,-3.1942078960895442E-9,-7.388139432922948E-9,-8.191318956479451E-5
1.8766713062349114E-4,-3.852420094170346E-11,9.166541153837453E-11,8.868106389222271E-4,-1.944305304752307E-8,-1.4237074287236443E-6,-1.5076151344266638E-4,-3.20822261341929E-9,-7.3684221669057295E-9,-9.048413780585489E-5
1.9828776850951713E-4,-3.976103919397882E-11,1.047848918272052E-10,8.852741254146966E-4,-2.2881026044454023E-8,-1.5119983322258497E-6,-1.6291196076493087E-4,-3.2218913710005916E-9,-7.348234223276456E-9,-9.911931887535091E-5
