% Model,Parametric search.mph
% Version,COMSOL 6.0.0.318
% Date,"Jan 9 2024, 16:11"
% Table,Table 1 - Global Evaluation 1
% Time (s),fsens_KH,fsens_Kd,fsens_Ke,fsens_Kp,fsens_Kph,fsens_KqH,fsens_Kr,fsens_KrD,fsens_Ks
0,-1.919999994961898E-32,3.839999990809561E-36,-3.999999994399974E-8,-7.67231587433626E-53,-3.9999999971999725E-7,-1.279998715828362E-43,-1.919999992928226E-52,3.83999998469114E-52,-1.2799999942205234E-43
2.0000000000000002E-7,-1.6061464361646462E-21,3.2125500920370754E-22,-2.0039983968197112E-5,-1.0306037675306176E-27,-2.0039991983896645E-4,-2.578059864205497E-21,-2.580121813222093E-30,5.160242266741542E-30,-2.580120117219093E-21
4.0000000000000003E-7,-9.210793601645004E-21,2.246066370389743E-21,-4.003995193759647E-5,-2.876935797904812E-26,-4.003997596775171E-4,-6.938759022830878E-20,-7.184022259565291E-29,1.3889025277516716E-28,-6.944510031391573E-20
8.000000000000001E-7,-4.6480089885665124E-20,2.2359247425617752E-20,-8.003985054739942E-5,-2.054276794132141E-24,-8.003992526865162E-4,-3.7815793699971965E-18,-5.138838967596345E-27,7.571375347184624E-27,-3.785685916644331E-18
1.6000000000000001E-6,1.1690695480098205E-18,3.5547825298555174E-19,-1.6003944872077669E-4,-3.709088172246484E-22,-0.0016003972447584762,-4.231152772508165E-16,-1.6186809310671008E-24,8.477157783339056E-25,-4.238570703611019E-16
3.2000000000000003E-6,2.7432983342441945E-16,1.5980201173220344E-17,-3.200378490677222E-4,-3.9799333876903257E-19,-0.0032003895203450133,-1.8613622691657323E-13,-3.0587766090982534E-21,3.7391066842697776E-22,-1.8693415776695897E-13
6.4000000000000006E-6,3.8552828369826164E-14,5.183422909534493E-16,-6.400239421636764E-4,-2.0018556167937346E-16,-0.006400358710894176,-4.6652241300509524E-11,-6.771583376719787E-18,9.613659836653812E-20,-4.70658106479794E-11
9.600000000000001E-6,4.4237712138296454E-13,2.770023896064694E-15,-9.599309561564556E-4,-2.6906185152469866E-15,-0.009600307483342858,-5.660954326459255E-10,-3.0093706256378567E-16,1.5037965200661453E-18,-5.721737173228516E-10
1.6000000000000003E-5,1.2925200639815322E-11,3.334757503778785E-14,-0.0015972372698045156,-2.80276453834481E-13,-0.016000143808723194,-3.2184364328842055E-8,-7.240956273863529E-14,7.434724481334368E-16,-3.305216763075792E-8
2.1760000000000002E-5,6.584645424154714E-11,1.2057509144029976E-13,-0.002161411415474066,-1.841699970867273E-12,-0.021759927508075365,-1.9137554100079246E-7,-9.459070200274381E-13,2.1170836114555466E-14,-1.9962311799592619E-7
2.752E-5,2.1218064992730728E-10,3.2180772173033297E-13,-0.00270315435150391,-8.0734449084883E-12,-0.027519648033543412,-7.471138130497298E-7,-6.195570046650281E-12,2.496714831675631E-13,-7.974299264136023E-7
3.328E-5,5.016816369188437E-10,7.124099800533153E-13,-0.0032074233340426707,-2.6615433279572185E-11,-0.03327930907051835,-2.1735363372064347E-6,-2.584890473292814E-11,1.6293448080910344E-12,-2.3909946765759653E-6
3.833330049933728E-5,8.86397401404812E-10,1.2777408282176856E-12,-0.003611521899639619,-6.249496665154612E-11,-0.03833226654552315,-4.594609081101997E-6,-6.824624222960706E-11,5.733171018953181E-12,-5.206198785095805E-6
4.288127094874083E-5,1.3217505518275798E-9,2.0233279675372816E-12,-0.003944038723569835,-1.2105478231059422E-10,-0.04287989428910972,-8.085077361247233E-6,-1.400369335814581E-10,1.4659222583721307E-11,-9.437034190374256E-6
4.697444435320403E-5,1.758903723978441E-9,2.9319280371633453E-12,-0.004221629129512393,-2.0500278151213845E-10,-0.04697273310564603,-1.2534874264148639E-5,-2.417827728732795E-10,3.0122794960968946E-11,-1.5057221186027595E-5
5.106761775766722E-5,2.208213651013872E-9,4.109823075577381E-12,-0.004484283945885935,-3.2972896470227815E-10,-0.05106554790854514,-1.839832669520564E-5,-3.8562922570958603E-10,5.622673752742254E-11,-2.2787132877172265E-5
5.516079116213042E-5,2.6435747443655137E-9,5.598760766529509E-12,-0.004737688018747352,-5.06979330677616E-10,-0.05515833898507417,-2.5771762408829548E-5,-5.74474389171926E-10,9.630896379646606E-11,-3.294715889327156E-5
5.9253964566593614E-5,3.045916494051221E-9,7.440666081630108E-12,-0.004986738829325587,-7.492774861380211E-10,-0.05925110638199601,-3.4693807162110575E-5,-8.077967571792738E-10,1.5310108041055434E-10,-4.580220559296896E-5
6.334713797105681E-5,3.405579123877426E-9,9.67000487211939E-12,-0.005234532711338961,-1.067196764738546E-9,-0.06334385003662389,-4.51635095219822E-5,-1.0829966390195672E-9,2.2812332950970514E-10,-6.152933377685582E-5
6.744031137552E-5,3.7159163639455105E-9,1.2331847077018093E-11,-0.0054839722802482475,-1.4746947874993067E-9,-0.06743656985625093,-5.715011202304008E-5,-1.395219594404068E-9,3.2245176492294695E-10,-8.031609354558115E-5
7.15334847799832E-5,3.97649284287131E-9,1.547179813614892E-11,-0.005736659364484471,-1.985783039859893E-9,-0.07152926577892436,-7.059196178625425E-5,-1.738510827345691E-9,4.3602991672130756E-10,-1.0229956026767178E-4
7.56266581844464E-5,4.191387839840517E-9,1.9133890543249277E-11,-0.005993060207403893,-2.6135402464632265E-9,-0.07562193779807352,-8.540844542847092E-5,-2.1069097647361267E-9,5.677723442778277E-10,-1.2756516217967052E-4
7.971983158890959E-5,4.366639560816342E-9,2.3361054648099466E-11,-0.00625300353404005,-3.3700181371319228E-9,-0.07971458595356058,-1.0151302579602875E-4,-2.4951220457344908E-9,7.159389854344347E-10,-1.5616316855361103E-4
8.56711722698621E-5,4.562971701906392E-9,3.0602895708209074E-11,-0.006636540632381724,-4.722443199757167E-9,-0.08566512049801481,-1.270567272605061E-4,-3.0860429133946683E-9,9.56638819608554E-10,-2.0375455083777093E-4
9.162251295081461E-5,4.705734863528074E-9,3.9259658509603446E-11,-0.0070252627332793235,-6.401849280663502E-9,-0.09161560496419939,-1.5491466899171007E-4,-3.699459916456322E-9,1.2215098613188155E-9,-2.585053940403934E-4
9.757385363176712E-5,4.808670121749697E-9,4.946168251211255E-11,-0.007417877980647975,-8.436504464555224E-9,-0.09756603955813094,-1.848956287969323E-4,-4.328517566287601E-9,1.5048399462293877E-9,-3.2043949088195124E-4
1.0352519431271962E-4,4.881700346682152E-9,6.13397497766946E-11,-0.007813527529077598,-1.085241740062241E-8,-0.10351642442710446,-2.1684869719807998E-4,-4.9686288073117196E-9,1.802110672450441E-9,-3.8957746660074833E-4
1.0947653499367213E-4,4.932253027508437E-9,7.502488579929005E-11,-0.008211594300404504,-1.3673731935789357E-8,-0.10946675967624883,-2.5065080619130034E-4,-5.616606735509476E-9,2.1098854470577246E-9,-4.659369425381484E-4
1.1542787567462464E-4,4.966185421093229E-9,9.064819714506383E-11,-0.008611555160295378,-1.6922940242135342E-8,-0.11541704538720414,-2.8619747206186575E-4,-6.270205768878324E-9,2.425529948230615E-9,-5.495302371502822E-4
1.2137921635557715E-4,4.988073562499456E-9,1.0834087773481568E-10,-0.009012967513606767,-2.0621125843471296E-8,-0.12136728162102083,-3.2340020784985067E-4,-6.927895869211922E-9,2.747014197819235E-9,-6.403663505927987E-4
1.3328189771748218E-4,5.008156260556427E-9,1.5046018283999287E-10,-0.009818941520784887,-2.944361743298157E-8,-0.13326760577130795,-4.0249984720706384E-4,-8.252004793999961E-9,3.4019413443193603E-9,-8.438087505169177E-4
1.451845790793872E-4,5.009916562455085E-9,2.0243675690654083E-10,-0.010627834625832685,-4.029241505724234E-8,-0.1451677321591139,-4.875158015080941E-4,-9.58446545981962E-9,4.066709550948785E-9,-0.001076366751037696
1.5580521696541318E-4,5.003336174581566E-9,2.57998266919476E-10,-0.011351454093773049,-5.1799899959037297E-8,-0.1557859231346004,-5.681229642940733E-4,-1.0778633409921026E-8,4.6648273911904614E-9,-0.0013085691078048242
1.6642585485143917E-4,4.992652018675943E-9,3.2300588848702746E-10,-0.012076517655175437,-6.513168048026746E-8,-0.1664039562556976,-6.530284510745435E-4,-1.1976874221311923E-8,5.266224017802283E-9,-0.0015641682109664727
1.7704649273746515E-4,4.980046985363668E-9,3.9821751110908937E-10,-0.012802765599515514,-8.038171615590844E-8,-0.1770218312686359,-7.420856073895056E-4,-1.3178849402746825E-8,5.870135864067208E-9,-0.0018432686773052155
1.8766713062349114E-4,4.966532940272374E-9,4.84393992434464E-10,-0.013530072404209599,-9.76423649765722E-8,-0.18763954786208675,-8.351808526603203E-4,-1.4384448098561552E-8,6.476145726929233E-9,-0.002145986657602053
1.9828776850951713E-4,4.952429680567483E-9,5.822996586111868E-10,-0.01425841729415488,-1.170043188045692E-7,-0.19825710568736282,-9.322202112930807E-4,-1.5593564427841342E-8,7.0840496174830115E-9,-0.0024724464013397593
2.0E-4,4.950122598059153E-9,5.992333504139718E-10,-0.014375934319338615,-1.203284852024141E-7,-0.1999688257343674,-9.482272994388841E-4,-1.578881426452505E-8,7.182220944685605E-9,-0.0025273078526304106
