% Model,Parametric search.mph
% Version,COMSOL 6.0.0.318
% Date,"Jan 9 2024, 16:14"
% Table,Table 1 - Global Evaluation 1
% Time (s),fsens_KH,fsens_Kd,fsens_Ke,fsens_Kp,fsens_Kph,fsens_KqH,fsens_Kr,fsens_KrD,fsens_Ks
0,1.2287487960027109E-42,1.1520073701215634E-50,-1.1999999983999914E-22,1.2799999959033486E-46,3.999999998399973E-7,-3.8399964036127794E-58,1.919999870714352E-55,6.39999998054394E-43,-3.8783999839566795E-56
2.0000000000000002E-7,2.059255652119576E-28,6.4662722960291485E-34,-4.008004676010199E-17,2.5801222076429953E-24,2.0039995991905438E-4,-5.156119728404917E-33,2.5799568523271023E-33,1.2900613541435692E-23,-5.211843719408019E-31
4.0000000000000003E-7,4.1188882959766764E-22,2.0611178871300384E-29,-3.7776492079705434E-17,6.944517202069695E-23,4.0039987983750083E-4,-1.4393439981631605E-31,-2.3265919326278556E-30,3.3432530126285654E-22,-1.4549094192092787E-29
8.000000000000001E-7,2.612084190392585E-20,2.4083821880169036E-27,4.851601785070299E-15,3.785692412104684E-21,8.003996263393184E-4,-1.0310583425769448E-29,-1.3500868807388543E-27,1.3849121073500166E-20,-1.0390229127439162E-27
1.6000000000000001E-6,1.9182752385827385E-18,4.511439518452753E-25,3.825520080355209E-13,4.2385883594313413E-19,0.0016003986223642778,-2.4978141879629833E-27,-1.1954422137853686E-24,9.63943031411677E-19,-1.8797185460635033E-25
3.2000000000000003E-6,2.8941354488768243E-16,2.8138319889029453E-22,5.8035658978311055E-11,1.8693838912410331E-16,0.003200394760109315,-5.0471220035896324E-23,-2.877781506415074E-21,1.747605140805296E-16,-2.258184565150166E-22
6.4000000000000006E-6,3.894649642969465E-14,1.6990187216335985E-19,7.879727233924466E-9,4.708066489904917E-14,0.006400379354875486,-4.263633126001724E-18,-6.7531418354215265E-18,2.194780135063825E-14,-2.2500100321017505E-18
9.600000000000001E-6,4.454158822265957E-13,3.7456866943440096E-18,9.116101751599382E-8,5.728979404066385E-13,0.009600353736015248,-8.503803019158405E-16,-3.0167900896524122E-16,2.3854322074680486E-13,-4.3050117909188027E-16
1.6000000000000003E-5,1.3041162048609541E-11,3.3469185126428537E-16,2.776118317575954E-6,3.336590455400231E-11,0.016000271649274495,-2.884714660479508E-12,-7.298200297012577E-14,7.493263952902848E-12,-1.467138582728693E-12
2.1760000000000002E-5,6.647246553223349E-11,2.93891543483629E-15,1.4670859308964087E-5,2.0424983342592959E-10,0.021760162007216033,-9.886134980116014E-11,-9.532528194686491E-13,3.9836937147558996E-11,-5.035744525016793E-11
2.752E-5,2.1437233151027153E-10,1.4760511214133388E-14,4.922960811999422E-5,8.319996339784508E-10,0.027520016875648513,-1.3245514399810726E-9,-6.245531753506729E-12,1.3584026428247542E-10,-6.759016392890016E-10
3.328E-5,5.073325003070929E-10,5.200213854618413E-14,1.2171638638206699E-4,2.5570390141788644E-9,0.033279833751165035,-9.763294806672648E-9,-2.6064166440262835E-11,3.4069890801063345E-10,-4.99206278273543E-9
3.833330049933728E-5,8.971253862947277E-10,1.2583335959721353E-13,2.241362383416683E-4,5.698075443553038E-9,0.038332940309999244,-3.761798558143966E-8,-6.882299249005851E-11,6.326148840701948E-10,-1.926509806506328E-8
4.288127094874083E-5,1.3388045414159158E-9,2.466282781980307E-13,3.479763148614911E-4,1.0558875726155792E-8,0.042880708483555886,-1.0435737509795483E-7,-1.4123455670282102E-10,9.860143968760397E-10,-5.3524763726515927E-8
4.697444435320403E-5,1.7829411320499057E-9,4.177659390787674E-13,4.8150520178096755E-4,1.7192533921755624E-8,0.04697367714580293,-2.3102531844521977E-7,-2.438757007951607E-10,1.3650284077172989E-9,-1.1866428071704423E-7
5.106761775766722E-5,2.2401660004794112E-9,6.663756426884853E-13,6.30304018665274E-4,2.655762959400325E-8,0.051066624653110966,-4.6657482648067316E-7,-3.890173256694418E-10,1.7821764426015341E-9,-2.4004187519180044E-7
5.516079116213042E-5,2.6840253303309003E-9,1.0096660630723264E-12,7.8862085578339E-4,3.9177992399411126E-8,0.05515955170141294,-8.66748333319898E-7,-5.796091291776255E-10,2.2172766030840145E-9,-4.4671668897362347E-7
5.9253964566593614E-5,3.0951045736671796E-9,1.4645592623787548E-12,9.514825371870825E-4,5.552294736646937E-8,0.05925245912576133,-1.4959122502432466E-6,-8.151533882021435E-10,2.652859299170973E-9,-7.724702297456007E-7
6.334713797105681E-5,3.4635059817052862E-9,2.0445519147644228E-12,0.0011157347570505947,7.592912829008736E-8,0.06334534762030068,-2.4101298735604074E-6,-1.0930506215018584E-9,3.078024165997596E-9,-1.2469474106487693E-6
6.744031137552E-5,3.782319033330795E-9,2.7671405590069974E-12,0.0012784051832274528,1.0077804429771869E-7,0.06743821799214546,-3.682941059115571E-6,-1.408431430508105E-9,3.4829096666315083E-9,-1.909349990454427E-6
7.15334847799832E-5,4.050903225244968E-9,3.650099122015444E-12,0.001437831355362111,1.3038097993839872E-7,0.07153107088423974,-5.3864704783851805E-6,-1.7553101518193315E-9,3.862751822612919E-9,-2.798619655213492E-6
7.56266581844464E-5,4.273207583825656E-9,4.710874137097593E-12,0.0015935015088186664,1.6496633776772843E-7,0.07562390672653788,-7.585225567638643E-6,-2.1276842464550583E-9,4.217259317416009E-9,-3.950220906970988E-6
7.971983158890959E-5,4.455205115120348E-9,5.966854531592645E-12,0.0017455564255641747,2.0469965102197998E-7,0.07971672578203681,-1.0334990624489814E-5,-2.5202117632991304E-9,4.548689090250653E-9,-5.3955551445820365E-6
8.56711722698621E-5,4.660115788318016E-9,8.177540162044039E-12,0.0019608827005457583,2.7191423281983546E-7,0.08566752163865823,-1.5413476744848653E-5,-3.1179155641963576E-9,4.995498154698039E-9,-8.077526995893556E-6
9.162251295081461E-5,4.810070342084236E-9,1.0893224807625766E-11,0.0021708087608226646,3.505484311371677E-7,0.09161828258139713,-2.187424874523156E-5,-3.738590708631353E-9,5.410419706892783E-9,-1.1509682563043263E-5
9.757385363176712E-5,4.918957641457991E-9,1.4169816514669257E-11,0.002376634533151968,4.4078616348932926E-7,0.09756900869664145,-2.9802204016343235E-5,-4.375258549751461E-9,5.8023547536498445E-9,-1.5747805122946916E-5
1.0352519431271962E-4,4.9968603655473346E-9,1.8063867446648744E-11,0.002579237661583424,5.42767188379927E-7,0.10351970003890243,-3.92566886629642E-5,-5.023235539335883E-9,6.177594799804075E-9,-2.0835408429123905E-5
1.0947653499367213E-4,5.051345792822641E-9,2.263242784161012E-11,0.002779254107629115,6.565994738597843E-7,0.1094703566411993,-5.027747342992978E-5,-5.679262241907678E-9,6.540645988086841E-9,-2.6806516025588105E-5
1.1542787567462464E-4,5.0883919522535045E-9,2.7932992730113694E-11,0.0029772239083589165,7.823637288466582E-7,0.1154209785068936,-6.288950194830792E-5,-6.3410372536378285E-9,6.895019635091731E-9,-3.368791271280418E-5
1.2137921635557715E-4,5.112688588616849E-9,3.40233995813669E-11,0.003173606545889795,9.201197440819095E-7,0.12137156561879066,-7.710626206836422E-5,-7.006985635225824E-9,7.24348092815485E-9,-4.1500739120049926E-5
1.3328189771748218E-4,5.135892055217955E-9,4.880589120942861E-11,0.0035628831873715417,1.231784020181086E-6,0.13327263551463508,-1.1036265800886214E-4,-8.347730287167012E-9,7.929913090068263E-9,-5.9982526331389194E-5
1.451845790793872E-4,5.139164311904034E-9,6.744481864143105E-11,0.003948899016030915,1.591879994452507E-6,0.1451735662521548,-1.500077188597276E-4,-9.696834021722612E-9,8.609989054152397E-9,-8.234621838932412E-5
1.5580521696541318E-4,5.133065653340826E-9,8.771073701642969E-11,0.0042912781424440365,1.9542732264063426E-6,0.1557925246503012,-1.9069453796988355E-4,-1.0905776912823242E-8,9.21513691334428E-9,-1.0562799296846033E-4
1.6642585485143917E-4,5.122308356010467E-9,1.1174944968130694E-10,0.0046320573582398685,2.355565950236599E-6,0.16641137239739454,-2.3629308977491818E-4,-1.2118694071958841E-8,9.820149600420798E-9,-1.3207830798566965E-4
1.7704649273746515E-4,5.109251365164848E-9,1.3989332639317656E-10,0.00497152116101538,2.795886891033175E-6,0.1770301095730189,-2.866999654902824E-4,-1.3335233738692463E-8,1.042603188095187E-8,-1.617202274638794E-4
1.8766713062349114E-4,5.09505854295181E-9,1.7247424316925268E-10,0.005309820392176105,3.2753592380974606E-6,0.18764873629952314,-3.41805210664106E-4,-1.4555281042410757E-8,1.1033249584007694E-8,-1.945712861424701E-4
1.9828776850951713E-4,5.0801539864124675E-9,2.098237879643394E-10,0.00564699465101188,3.7941079759374173E-6,0.19826725274153628,-4.014966567523317E-4,-1.577873396979874E-8,1.1641869532666442E-8,-2.3064529716790438E-4
2.0E-4,5.077710327440646E-9,2.1631395063158827E-10,0.005701250331717348,3.881424181603715E-6,0.19997913190616018,-4.115418713105099E-4,-1.5976284894701455E-8,1.1740125501533338E-8,-2.367636524346168E-4
