,time,Viscosity,Viscosity_mark,Temperature,Temperature_mark
0,0.0,345.4,1,13.8,0
1,1.0,344.9,0,13.8,0
2,2.0,344.9,0,13.8,0
3,3.0,344.9,0,13.8,0
4,4.0,345.4,1,13.8,0
5,5.0,345.4,1,13.8,0
6,6.0,345.4,1,13.8,0
7,7.0,345.4,1,13.8,0
8,8.0,345.9,1,13.8,0
9,9.0,345.9,1,13.8,0
10,10.0,345.4,1,13.8,0
11,11.0,340.9,1,13.8,0
12,12.0,344.9,0,13.8,0
13,13.0,344.4,0,13.8,0
14,14.0,344.9,0,13.8,0
15,15.0,346.4,1,13.8,0
16,16.0,345.4,1,13.8,0
17,17.0,345.4,1,13.8,0
18,18.0,345.4,1,13.8,0
19,19.0,345.4,1,13.8,0
20,20.0,345.4,1,13.8,0
21,21.0,344.9,0,13.8,0
22,22.0,344.9,0,13.8,0
23,23.0,344.9,0,13.8,0
24,24.0,344.9,0,13.8,0
25,25.0,344.9,0,13.8,0
26,26.0,344.9,0,13.8,0
27,27.0,345.4,1,13.8,0
28,28.0,345.4,1,13.8,0
29,29.0,845.4,1,13.8,0
30,30.0,540.9,1,13.8,0
31,31.0,344.9,0,13.8,0
32,32.0,344.9,0,13.8,0
33,33.0,344.4,0,13.8,0
34,34.0,344.4,0,13.8,0
35,35.0,344.9,0,13.8,0
36,36.0,344.9,0,13.8,0
37,37.0,344.9,0,13.8,0
38,38.0,345.4,1,18.9,1
39,39.0,845.4,1,13.8,0
40,40.0,344.9,0,13.8,0
41,41.0,344.9,0,13.8,0
42,42.0,344.9,0,13.8,0
43,43.0,344.4,0,13.8,0
44,44.0,344.4,0,13.8,0
45,45.0,344.9,0,13.8,0
46,46.0,344.9,0,13.8,0
47,47.0,344.9,0,13.8,0
48,48.0,345.4,1,13.8,0
49,49.0,345.4,1,13.8,0
50,50.0,344.9,0,13.8,0
51,51.0,344.9,0,13.8,0
52,52.0,344.4,0,13.8,0
53,53.0,344.4,0,13.8,0
54,54.0,343.9,1,13.8,0
55,55.0,344.4,0,13.8,0
56,56.0,344.4,0,13.8,0
57,57.0,344.9,0,13.8,0
58,58.0,344.9,0,13.8,0
59,59.0,344.9,1,13.8,0
60,60.0,344.9,0,13.8,0
61,61.0,344.4,0,13.8,0
62,62.0,344.4,0,13.8,0
63,63.0,343.9,1,13.8,0
64,64.0,343.9,1,13.8,0
65,65.0,344.4,0,13.8,0
66,66.0,344.4,0,13.8,0
67,67.0,344.4,0,13.8,0
68,68.0,344.9,0,13.8,0
69,69.0,344.9,0,13.9,1
70,70.0,344.9,0,13.9,1
71,71.0,344.4,0,13.8,0
72,72.0,344.4,0,13.8,0
73,73.0,343.9,1,13.8,0
74,74.0,343.9,1,13.8,0
75,75.0,344.4,0,13.8,0
76,76.0,344.4,0,13.8,0
77,77.0,344.4,0,13.8,0
78,78.0,344.9,0,13.9,1
79,79.0,344.9,0,13.9,1
80,80.0,344.4,0,13.8,0
81,81.0,344.4,0,13.8,0
82,82.0,343.9,1,13.8,0
83,83.0,343.4,1,13.9,1
84,84.0,343.4,1,13.9,1
85,85.0,343.9,1,13.9,1
86,86.0,344.4,0,13.9,1
87,87.0,344.4,0,13.9,1
88,88.0,344.4,0,13.9,1
89,89.0,344.9,0,13.8,0
90,90.0,344.4,0,13.8,0
91,91.0,343.9,1,13.9,1
92,92.0,343.9,1,13.9,1
93,93.0,343.4,1,13.9,1
94,94.0,343.4,1,13.9,1
95,95.0,343.9,1,13.9,1
96,96.0,343.9,1,13.9,1
97,97.0,343.9,1,13.9,1
98,98.0,344.4,0,13.9,1
99,99.0,344.4,0,13.9,1
100,100.0,343.9,1,13.9,1
101,101.0,343.9,1,13.9,1
102,102.0,343.9,1,13.9,1
103,103.0,342.9,1,13.9,1
104,104.0,343.4,1,13.9,1
105,105.0,343.9,1,13.9,1
106,106.0,343.9,1,13.9,1
107,107.0,343.9,1,13.9,1
108,108.0,344.4,0,13.9,1
109,109.0,344.4,0,13.9,1
110,110.0,343.9,1,13.9,1
111,111.0,343.9,1,13.9,1
112,112.0,343.4,1,13.9,1
113,113.0,342.9,0,13.9,1
114,114.0,342.9,1,13.9,1
115,115.0,343.4,1,13.9,1
116,116.0,343.4,1,13.9,1
117,117.0,343.4,1,13.9,1
118,118.0,343.9,1,13.9,1
119,119.0,343.9,1,13.9,1
120,120.0,343.4,1,13.9,1
121,121.0,343.4,1,13.9,1
122,122.0,343.4,1,13.9,1
123,123.0,342.9,1,13.9,1
124,124.0,342.9,1,13.9,1
125,125.0,343.4,1,13.9,1
126,126.0,343.4,1,13.9,1
127,127.0,343.4,1,13.9,1
128,128.0,343.9,1,13.9,1
129,129.0,343.9,1,13.9,1
130,130.0,343.4,1,13.9,1
131,131.0,343.4,1,13.9,1
132,132.0,343.4,1,13.9,1
133,133.0,342.9,1,13.9,1
134,134.0,342.9,1,13.9,1
135,135.0,342.9,1,13.9,1
136,136.0,343.4,1,13.9,1
137,137.0,343.4,1,13.9,1
138,138.0,343.4,1,13.9,1
139,139.0,343.4,1,13.9,1
140,140.0,343.4,1,13.9,1
141,141.0,342.9,1,13.9,1
142,142.0,342.9,1,13.9,1
143,143.0,342.4,0,13.9,1
144,144.0,342.4,0,13.9,1
145,145.0,342.9,0,13.9,1
146,146.0,342.9,1,13.9,1
147,147.0,342.9,1,13.9,1
148,148.0,343.4,1,13.9,1
149,149.0,343.4,1,13.9,1
150,150.0,342.9,1,13.9,1
151,151.0,342.9,1,13.9,1
152,152.0,342.9,1,13.9,1
153,153.0,342.4,0,13.9,1
154,154.0,342.4,0,13.9,1
155,155.0,342.4,1,13.9,1
156,156.0,342.9,1,13.9,1
157,157.0,342.9,1,13.9,1
158,158.0,343.4,0,13.9,1
159,159.0,343.4,1,13.9,1
160,160.0,342.9,1,13.9,1
161,161.0,342.9,1,13.9,1
162,162.0,342.4,1,13.9,1
163,163.0,341.9,0,13.9,1
164,164.0,341.9,1,13.9,1
165,165.0,342.4,1,3.9,1
166,166.0,342.4,0,13.9,1
167,167.0,342.9,1,13.9,1
168,168.0,342.9,1,13.9,1
169,169.0,342.9,1,13.9,1
170,170.0,342.4,0,13.9,1
171,171.0,342.4,0,13.9,1
172,172.0,342.4,0,13.9,1
173,173.0,341.9,1,13.9,1
174,174.0,341.4,0,3.9,1
175,175.0,341.9,0,3.9,1
176,176.0,342.4,0,13.9,1
177,177.0,342.4,0,3.9,1
178,178.0,342.9,1,13.9,1
179,179.0,342.9,1,13.9,1
180,180.0,342.4,1,13.9,1
